company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
haynes international inc,HAYN,2023-10-01,2023-12-31,442056000.0,34.967252017085904,0.6046511627906976,0.36910609948592943,7.617058050508513,-0.01654682536119413,47.36,46.33,46.52,58.34,56.84,57.05
haynes international inc,HAYN,2023-07-01,2023-09-30,434324000.0,28954.933333333334,868.3333333333334,0.3850549568797688,7.021396293739989,17.295007169860515,51.14,50.21,50.82,47.36,46.33,46.52
haynes international inc,HAYN,2023-04-01,2023-06-30,413501000.0,32.7889144397748,0.6891602569185632,0.39916449920809055,6.5130183825836,-0.021337880786029863,49.34,48.9,50.09,48.29,48.29,50.58
haynes international inc,HAYN,2023-01-01,2023-03-31,405759000.0,32.34685905612245,0.9767219387755102,0.4099458456455478,6.853047020208012,0.037754452680118844,46.16,45.51,45.69,48.98,48.79,48.9
haynes international inc,HAYN,2022-10-01,2022-12-31,389144000.0,31.24399839421919,0.6166198313930149,0.4155259371404712,5.606552030499668,0.02861687465303304,35.73,34.99,35.12,46.16,45.51,45.69
haynes international inc,HAYN,2022-07-01,2022-09-30,375488000.0,,,0.4061506100791561,5.742182766849244,,31.54,31.445,32.77,36.29,35.09,35.62
haynes international inc,HAYN,2022-04-01,2022-06-30,354073000.0,28.695437231542265,1.2524515763027797,0.42382559509474,3.157676408417681,0.043116484540186295,41.95,41.69,42.6,32.71,31.17,31.91
haynes international inc,HAYN,2022-01-01,2022-03-31,345310000.0,28.003406049793202,0.6812099586408239,0.389386274055592,4.034322723290643,0.03037167335265309,41.59,40.69,40.88,42.32,41.94,42.09
haynes international inc,HAYN,2021-10-01,2021-12-31,340209000.0,27.504972107688577,0.3726251111650093,0.3588329636323545,5.451971135824066,-0.013728049542314087,37.42,37.25,37.25,41.59,40.69,40.88
haynes international inc,HAYN,2021-07-01,2021-09-30,343321000.0,-49045.857142857145,-364.85714285714283,0.37173051760895226,4.872542546454126,31.621141369478078,34.57,34.57,35.38,36.92,36.44,37.25
haynes international inc,HAYN,2021-04-01,2021-06-30,295012000.0,23.57267279264882,0.030683180183779465,0.4765652723169295,6.412624020656845,-0.007678538109584784,29.72,28.73,29.67,34.865,34.43,34.52
haynes international inc,HAYN,2021-01-01,2021-03-31,293891000.0,23.48497682595493,-0.2932715358798146,0.4708670915703432,7.54497308934338,-0.009482314139003883,24.06,23.48,23.84,28.13,28.13,29.02
haynes international inc,HAYN,2020-10-01,2020-12-31,297891000.0,23.844632994476907,-0.645561514448091,0.4626795406213192,9.019021809938245,-0.01850852289126626,17.645,17.07,17.09,23.48,23.48,23.98
haynes international inc,HAYN,2020-07-01,2020-09-30,301501000.0,301501.0,-5717.0,0.4623005257488533,9.198874787387151,-1387.1103622577928,23.74,22.9469,23.36,17.75,17.19,17.34
haynes international inc,HAYN,2020-04-01,2020-06-30,295124000.0,23.657234468937876,-0.6490581162324649,0.5113938133679463,5.226135831381733,-0.010989407107847196,20.57,20.23,20.61,21.96,21.96,23.85
haynes international inc,HAYN,2020-01-01,2020-03-31,303612000.0,24.33981853763075,0.3240370819635044,0.5124922926729011,4.865324330841572,0.061309209180972546,35.56,35.46,35.78,20.78,19.74,20.6
haynes international inc,HAYN,2019-10-01,2019-12-31,303626000.0,24.368194684881857,0.2605151072277292,0.4997652261160821,5.93141460264748,-0.005766882413103052,35.85,35.35,35.84,35.76,35.525,35.65
haynes international inc,HAYN,2019-07-01,2019-09-30,296275000.0,151083.63080061192,3078.5313615502296,0.5010525429437521,6.189630492676431,-45.03672578334034,31.67,31.404,31.81,35.58,35.25,35.84
haynes international inc,HAYN,2019-04-01,2019-06-30,330140000.0,26.51782712214506,0.3019340647971869,0.4383683523781819,5.5575053355465975,,,,,31.67,31.404,31.81
haynes international inc,HAYN,2019-01-01,2019-03-31,329692000.0,26.48385481900573,0.11960999910674064,0.43904364574329796,5.573576378427237,,,,,,,
haynes international inc,HAYN,2018-10-01,2018-12-31,328624000.0,26.43630309751154,-0.13072384406938098,0.43587155427837687,5.9788214385624245,,,,,,,
