company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"warrior met coal, inc.",HCC,2023-10-01,2023-12-31,1874446000.0,124963.06666666667,8591.733333333334,0.2047518559152978,7.240238369337035,-14.629990896085316,51.26,50.6,51.08,61.46,60.78,60.97
"warrior met coal, inc.",HCC,2023-07-01,2023-09-30,1745212000.0,33.549510755685425,1.6413618101078453,0.21360208503060496,7.67016761484013,-0.08223573142160581,39.0,38.725,38.95,51.26,50.6,51.08
"warrior met coal, inc.",HCC,2023-04-01,2023-06-30,1661295000.0,31.941838108056142,1.5784079984618342,0.25969885209083454,9.79487571886528,-0.006563669063148743,35.89,35.89,36.71,38.24,38.0,38.81
"warrior met coal, inc.",HCC,2023-01-01,2023-03-31,1578291000.0,30.44425369391613,3.5160101847922536,0.2662486883940364,9.7367366113373,-0.04225260343677013,34.17,34.04,34.64,35.99,35.45,35.67
"warrior met coal, inc.",HCC,2022-10-01,2022-12-31,1447515000.0,144751.5,9965.4,0.28626864126187385,7.661170032130822,-44.0422583997229,28.87,28.32,28.44,34.17,34.04,34.64
"warrior met coal, inc.",HCC,2022-07-01,2022-09-30,1347633000.0,26.08961551864328,1.905041235915902,0.3036506805464627,7.005645938299714,-0.05529581445773803,31.68,29.97,30.61,28.64,28.34,29.02
"warrior met coal, inc.",HCC,2022-04-01,2022-06-30,1291057000.0,24.998199279711883,5.750532471052938,0.32010949387519955,7.708225180139959,,37.22,36.0973,37.11,32.88,31.365,32.21
"warrior met coal, inc.",HCC,2022-01-01,2022-03-30,,,-2659.072727272727,,,,25.82,25.39,25.44,36.46,35.63,37.54
"warrior met coal, inc.",HCC,2021-10-01,2021-12-31,871983000.0,13014.671641791045,2067.0149253731342,0.4044690280294302,5.135603628979432,-14.983928969226364,23.45,23.215,23.27,25.82,25.39,25.44
"warrior met coal, inc.",HCC,2021-07-01,2021-09-30,735363000.0,14.302221098490742,0.7473743581764432,0.4531019100748397,3.5658585948777475,-0.058871406245981805,16.82,16.82,17.2,22.77,21.93,23.12
"warrior met coal, inc.",HCC,2021-04-01,2021-06-30,698154000.0,13.569826430056949,-0.09098330385430232,0.48172711602446183,3.459554603198898,-0.009843981121573876,17.02,16.75,17.13,17.25,16.91,16.91
"warrior met coal, inc.",HCC,2021-01-01,2021-03-31,700303000.0,13.658052814291844,-0.41648788859851,0.4925307483889388,2.9641967408659133,-0.012309068651898934,21.23,20.77,21.32,16.77,16.4,16.81
"warrior met coal, inc.",HCC,2020-10-01,2020-12-31,725241000.0,103605.85714285714,-4815.857142857143,0.4797171462678344,2.744765673622283,-47.46256576284905,17.65,16.9,17.08,20.28,20.28,21.13
"warrior met coal, inc.",HCC,2020-07-01,2020-09-30,759711000.0,14.841004102363742,-0.2819691345966009,0.453843350134039,3.604457304508282,-0.00724587487129038,15.06,14.9,15.39,18.12,17.3,17.48
"warrior met coal, inc.",HCC,2020-04-01,2020-06-30,774963000.0,15.139840193799207,-0.17897122316213102,0.4453413246167841,3.959831334304254,-0.06726090063747109,10.75,9.92,10.62,15.16,14.95,15.29
"warrior met coal, inc.",HCC,2020-01-01,2020-03-31,785122000.0,15.362618870582711,0.4215747661722694,0.45446346306978863,4.253356539035305,0.05950722949532805,20.57,20.57,21.13,10.25,10.0,10.57
"warrior met coal, inc.",HCC,2019-10-01,2019-12-31,765582000.0,-7222.471698113208,-195.76415094339623,0.4304824052418275,3.443498355977418,3.3158539573633914,19.25,19.02,19.52,20.88,20.54,20.65
"warrior met coal, inc.",HCC,2019-07-01,2019-09-30,745937000.0,14.527089662693776,0.8768014333567032,0.44728293649441087,3.0820420964315915,-0.01403433280039964,25.83,25.69,26.12,19.19,19.04,19.33
"warrior met coal, inc.",HCC,2019-04-01,2019-06-30,712658000.0,13.823792989738715,2.434019358718212,0.447756567721418,3.305178257750068,,,,,25.83,25.69,26.12
"warrior met coal, inc.",HCC,2019-01-01,2019-03-31,819064000.0,15.900759061171401,2.1441439692492867,0.4149547036037831,3.835440329218107,,,,,,,
"warrior met coal, inc.",HCC,2018-10-01,2018-12-31,712612000.0,-6852.038461538462,-3597.980769230769,0.4891816722101158,3.770485084222708,,,,,,,
"warrior met coal, inc.",HCC,2018-07-01,2018-09-30,365694000.0,6.938243497068701,0.9977991538125865,0.6675865679863433,2.727630963777634,,,,,,,
"warrior met coal, inc.",HCC,2018-04-01,2018-06-30,314870000.0,5.935008387838576,1.7211467777505514,0.6942365527494627,2.5325992065207057,,,,,,,
"warrior met coal, inc.",HCC,2018-01-01,2018-03-31,584910000.0,11.005098872979737,3.3621328717379444,0.5506257634775393,4.791077602365976,,,,,,,
"warrior met coal, inc.",HCC,2017-07-01,2017-09-30,,,,,,,,,,,,
"warrior met coal, inc.",HCC,2017-04-01,2017-06-30,,,,,,,,,,,,
