company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"highwoods properties, inc.",HIW,2023-10-01,2023-12-31,2487542000.0,44420.392857142855,678.5178571428571,0.5856118880652909,1.7076156075036995,-45.42218656104889,20.92,20.4228,20.61,23.33,22.94,22.96
"highwoods properties, inc.",HIW,2023-07-01,2023-09-30,2501774000.0,23.675123733096118,0.209149151612079,0.584724239953469,1.7102078752192276,-0.01642231377426711,24.15,23.56,23.91,20.92,20.4228,20.61
"highwoods properties, inc.",HIW,2023-04-01,2023-06-30,2532019000.0,24.009966147339675,0.4010923883668225,0.5799361978970091,-2.434635006763435,-0.05016175556748945,22.89,22.58,23.19,23.27,23.19,23.86
"highwoods properties, inc.",HIW,2023-01-01,2023-03-31,2541841000.0,24.14179203707925,0.4163247473596231,0.5812462016143952,-2.44054079373293,0.003688934886871021,27.76,27.58,27.98,22.89,22.62,22.79
"highwoods properties, inc.",HIW,2022-10-01,2022-12-31,2564977000.0,98652.96153846153,1059.6153846153845,0.5769721356551202,1.7331859516310175,240.03593736630444,26.97,26.9,26.96,27.76,27.58,27.98
"highwoods properties, inc.",HIW,2022-07-01,2022-09-30,2589888000.0,24.622452083967143,0.3636579707940371,0.5588339152491819,1.789440427133174,0.03103937685368472,34.05,33.67,34.19,27.52,26.44,26.66
"highwoods properties, inc.",HIW,2022-04-01,2022-06-30,2606284000.0,24.783279290244668,0.48031151640786207,0.5413340410262439,-2.2533654862333004,-0.016002578953337735,46.61,45.74,45.74,35.08,34.5093,34.78
"highwoods properties, inc.",HIW,2022-01-01,2022-03-31,2607091000.0,24.845291757597707,0.3836733915927306,0.541418232905321,-2.2808702514442207,-0.0027846806988962754,44.9,44.87,44.9,46.83,46.29,46.56
"highwoods properties, inc.",HIW,2021-10-01,2021-12-31,2611247000.0,22706.49565217391,1086.2782608695652,0.5414953948438124,1.8467377738058834,-38.37700291768307,45.45,43.83,43.86,44.9,44.87,44.9
"highwoods properties, inc.",HIW,2021-07-01,2021-09-30,2526218000.0,24.226032586284607,0.6914755890560718,0.5609686496797398,1.7826308129178086,0.003297507502325153,44.99,44.79,45.17,44.98,44.8,45.17
"highwoods properties, inc.",HIW,2021-04-01,2021-06-30,2495823000.0,23.97386317791482,0.5696597698499606,0.5234269635351854,-2.2119132825345713,-0.009016686450220756,43.55,42.59,42.94,45.2,44.99,45.1
"highwoods properties, inc.",HIW,2021-01-01,2021-03-31,2476816000.0,23.824014312784357,0.5238305935765609,0.5241754868198153,-2.210398565387119,-0.014482030135018505,39.14,38.58,39.63,43.58,43.35,43.84
"highwoods properties, inc.",HIW,2020-10-01,2020-12-31,2470669000.0,224606.27272727274,7464.454545454545,0.5257302304653284,1.90211622244909,-141.22388059701493,33.5,33.25,33.57,38.51,38.51,39.14
"highwoods properties, inc.",HIW,2020-07-01,2020-09-30,2435498000.0,23.44169169169169,0.38792638792638795,0.532052463196775,1.8795138997978074,0.017813140960540586,37.11,36.9,37.33,33.92,32.84,33.58
"highwoods properties, inc.",HIW,2020-04-01,2020-06-30,2443575000.0,23.521696860019638,0.3564291627360761,0.5167732956176925,-2.1633576787229964,-0.034409845361445465,35.14,34.13,35.42,36.71,36.22,37.18
"highwoods properties, inc.",HIW,2020-01-01,2020-03-31,2455534000.0,23.653434540953445,1.7866066870237831,0.5214045466230885,-2.1787745343672236,-0.03683079047407501,48.48,48.47,48.91,35.03,33.82,35.26
