company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
innovative industrial properties inc,IIPR,2023-10-01,2023-12-31,1952972000.0,311826.9200063867,6593.485550055883,0.1832294058358322,5.457639266133781,-90.08240601570722,74.58,74.28,75.66,101.96,100.82,100.82
innovative industrial properties inc,IIPR,2023-07-01,2023-09-30,1948669000.0,69.6375914465795,1.4743234857844425,0.18446043249772015,5.421216823897231,-0.02490305222754133,73.3,72.07,73.01,74.58,74.28,75.66
innovative industrial properties inc,IIPR,2023-04-01,2023-06-30,1953220000.0,69.80393521909481,1.4627870247349348,0.18488641651243296,-1.22682288733476,-0.024241275104371362,75.28,74.6811,75.99,72.74,72.38,74.3
innovative industrial properties inc,IIPR,2023-01-01,2023-03-31,1958147000.0,70.05956082536275,1.4581169554057145,0.18858039578391836,-1.2324079857130237,-0.01829240264170485,100.55,99.97,101.35,75.47,74.0,74.52
innovative industrial properties inc,IIPR,2022-10-01,2022-12-31,1961893000.0,9804.85671734285,205.7433006486951,0.18756677472093344,5.331434639678723,-2.8584270421588993,88.89,88.5,88.5,100.55,99.97,101.35
innovative industrial properties inc,IIPR,2022-07-01,2022-09-30,1966915000.0,70.40142501219103,1.334284563188779,0.1908143795248678,5.2406951849751735,-0.016215433529269928,109.19,107.0,109.87,90.81,87.52,88.09
innovative industrial properties inc,IIPR,2022-04-01,2022-06-30,1975772000.0,70.94191029042467,1.4317844441266372,0.18547773368479462,-1.2277135216006705,,203.92,203.71,205.4,111.17,108.25,110.65
innovative industrial properties inc,IIPR,2022-01-01,2022-03-30,,,-31.300468082305297,,,,260.0,260.0,261.1,205.92,205.0201,210.1
innovative industrial properties inc,IIPR,2021-10-01,2021-12-31,1611699000.0,122899.11544913832,2157.3890498703677,0.22685529420004394,4.408096374943699,-12.496023887899524,232.18,230.5429,231.17,260.0,260.0,261.1
innovative industrial properties inc,IIPR,2021-07-01,2021-09-30,1511131000.0,63.25228269251545,1.2455140711152703,0.28112754717340166,3.5571042754596807,-0.0073783213179860006,194.37,188.84,191.02,234.46,229.642,231.19
innovative industrial properties inc,IIPR,2021-04-01,2021-06-30,1515167000.0,63.42327995663079,1.2139510311551462,0.2753337401858002,-1.3799455769562035,0.06154419227140942,177.87,177.57,180.16,193.79,192.5,193.99
innovative industrial properties inc,IIPR,2021-01-01,2021-03-31,1517618000.0,63.526841488429305,1.0711446140250165,0.15590818329968353,-1.1847052420306032,-0.007638629885254794,183.3,180.34,183.13,173.0,170.51,176.75
innovative industrial properties inc,IIPR,2020-10-01,2020-12-31,1524972000.0,66.87246222568358,0.9206643429703802,0.1374987910621742,7.2727912171083755,0.08254088336886982,125.66,122.1501,124.11,180.9,180.38,183.68
innovative industrial properties inc,IIPR,2020-07-01,2020-09-30,1269996000.0,58.81071304880003,0.8741522258512612,0.15325132513251324,6.525229058445796,0.15455732501759878,85.75,85.4,88.02,127.06,124.25,124.75
innovative industrial properties inc,IIPR,2020-04-01,2020-06-30,969971000.0,55.32978364095806,0.7399581568835646,0.17739673052068103,-1.215652839105499,0.07054944338545187,80.5,73.55,75.93,88.9,86.41,90.42
innovative industrial properties inc,IIPR,2020-01-01,2020-03-31,858979000.0,54.4198486901158,0.730726286430513,0.204995048451137,-1.2578538008496134,0.2618085826458479,73.25,73.25,75.87,77.85,73.5,80.12
innovative industrial properties inc,IIPR,2019-10-01,2019-12-31,548010000.0,46.03183816307422,0.8033585157052642,0.2652613034402037,3.7698676249829415,0.07997413444293798,96.0,90.57,92.37,74.75,73.0,73.44
innovative industrial properties inc,IIPR,2019-07-01,2019-09-30,449783000.0,41.194664787039436,0.5661961828559057,0.2782107036829014,3.5943980111555254,0.13702918456484361,120.0,119.7,123.56,94.83,94.26,95.74
innovative industrial properties inc,IIPR,2019-04-01,2019-06-30,266188000.0,27.535515123027338,0.3179864362337372,0.3819943768704103,-1.6181082543164982,,,,,120.0,119.7,123.56
innovative industrial properties inc,IIPR,2019-01-01,2019-03-31,268376000.0,27.768468484781074,0.3417565333905859,0.36162965500180777,-1.5664888067487406,,,,,,,
innovative industrial properties inc,IIPR,2018-10-01,2018-12-31,264292000.0,351.9697853491971,3.100304437110964,0.06101625063062679,16.38907651100501,,,,,,,
innovative industrial properties inc,IIPR,2018-07-01,2018-09-30,151090000.0,22.766045096930103,0.22511398090418672,0.09098019396914783,10.991403253537891,,,,,,,
innovative industrial properties inc,IIPR,2018-04-01,2018-06-30,151585000.0,22.844028415599315,0.18144414165241662,0.0625483150792522,15.987640893810559,,,,,,,
innovative industrial properties inc,IIPR,2018-01-01,2018-03-31,151714000.0,25.7858695596751,0.1031679530084421,0.04521139347254213,22.118318485523385,,,,,,,
innovative industrial properties inc,IIPR,2017-10-01,2017-12-31,73549000.0,,,0.08095916429249762,12.351906158357771,,,,,,,
innovative industrial properties inc,IIPR,2017-07-01,2017-09-30,59960000.0,,,0.14517485707768416,6.888245114406364,,,,,,,
innovative industrial properties inc,IIPR,2017-04-01,2017-06-30,59978000.0,,,0.06155338590562023,16.246059989832233,,,,,,,
innovative industrial properties inc,IIPR,2017-01-01,2017-03-31,60618000.0,,,0.04549104823090368,21.982346832814123,,,,,,,
innovative industrial properties inc,IIPR,2016-10-01,2016-12-31,60439000.0,,,0.045604560456045606,21.92763157894737,,,,,,,
