company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
first internet bancorp,INBK,2023-10-01,2023-12-31,362795000.0,-0.04085209803911413,-0.00046651757101407094,0.9297939148211191,1.0755071463254173,0.00012477983591482216,16.11,15.97,16.21,25.09,24.15,24.19
first internet bancorp,INBK,2023-07-01,2023-09-30,347744000.0,0.0397676909239472,0.00038985017242493323,0.9327253912393115,1.0721269190187914,0.0016751099650361809,15.5,14.8,14.85,16.11,15.97,16.21
first internet bancorp,INBK,2023-04-01,2023-06-30,354332000.0,0.03979821666627542,0.00043602236630753416,0.9283750777483708,-13.961620739871082,0.0015468732465002534,16.62,16.35,16.65,14.99,14.99,15.5
first internet bancorp,INBK,2023-01-01,2023-03-31,355572000.0,0.039402611149379124,-0.0003343280062481771,0.924687995028508,-13.278095575579629,0.0007935582859030747,24.31,24.01,24.28,17.59,16.37,16.63
first internet bancorp,INBK,2022-10-01,2022-12-31,364974000.0,-0.03799632429625694,-0.0006611831407320188,0.9196641767390753,1.0873534332344852,-0.0008026381887564958,34.47,33.81,33.86,24.31,24.01,24.28
first internet bancorp,INBK,2022-07-01,2022-09-30,360857000.0,0.038152581780642715,0.0008919189038912975,0.9153796620598702,1.0924428862115085,,36.04,35.72,36.82,35.135,33.69,34.16
first internet bancorp,INBK,2022-03-31,2022-06-30,,,,,,,45.43,43.54,43.7,37.17,36.27,36.8
first internet bancorp,INBK,2022-01-01,2022-03-31,374655000.0,0.038268675303535546,0.001144929552461144,0.9113325919434316,1.0972942357602768,7.180245897476866e-05,47.38,46.94,47.04,45.43,43.54,43.7
first internet bancorp,INBK,2021-10-01,2021-12-31,380338000.0,-0.038367757113140874,-0.0012587563516077063,0.9096797573209556,1.0992879548568182,,31.32,31.18,31.18,47.38,46.94,47.04
first internet bancorp,INBK,2021-07-01,2021-09-30,370442000.0,0.03728192071102974,0.0012167584166923554,0.9128841575319852,1.0954292412123086,0.0001699558204454473,30.5,30.5,30.98,30.79,30.79,31.32
first internet bancorp,INBK,2021-04-01,2021-06-30,358641000.0,0.036106879044003976,0.0013184652283488951,0.9147035585907195,-11.723818526046939,-3.4238680084432976e-05,35.45,34.625,35.23,31.04,29.88,30.46
first internet bancorp,INBK,2021-01-01,2021-03-31,344566000.0,34.80735370326783,1.055637660706944,0.9177366022294005,-12.156074598190187,-0.2271238143969766,28.5,28.45,28.74,36.0,35.32,35.86
first internet bancorp,INBK,2020-10-01,2020-12-31,330944000.0,33.484125080221204,1.1220597658203597,0.922060329389688,1.0845277343857753,-0.6366746248026524,14.68,14.5601,14.73,28.08,28.01,28.48
first internet bancorp,INBK,2020-07-01,2020-09-30,318102000.0,32.54848091843234,0.8606210366641343,0.9265967698166707,1.0792180941855132,-0.055795601933705426,16.49,16.06,16.62,15.2,14.36,14.62
first internet bancorp,INBK,2020-04-01,2020-06-30,307711000.0,31.501213065584984,0.4025295480950637,0.928846367294085,-14.05409621365502,1.2290150115315315,16.8,16.0,16.42,17.12,16.12,16.47
first internet bancorp,INBK,2020-01-01,2020-03-31,305127000.0,31.38687145019511,0.6191440916691225,0.9267955105219443,-13.660364372867692,0.10241434558665749,23.97,23.65,23.71,16.12,15.91,16.95
first internet bancorp,INBK,2019-10-01,2019-12-31,304913000.0,31.03192579849099,0.7221815582349459,0.9256324810985533,1.080342382554668,0.02260799037189675,21.95,21.34,21.41,24.0,23.7827,23.85
first internet bancorp,INBK,2019-07-01,2019-09-30,295140000.0,29.57432274610523,0.6338929514530789,0.9279353806417838,1.0776612476058132,0.6814199523971449,19.96,19.96,21.54,22.2,21.74,21.82
first internet bancorp,INBK,2019-04-01,2019-06-30,296120000.0,29.17931453442626,0.6031560997744939,0.9252001033638988,-13.369002431446711,,,,,19.96,19.96,21.54
