company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
ingersoll rand inc.,IR,2023-10-01,2023-12-31,9846700000.0,,,0.3673209753590131,2.2166037322826027,,64.78,63.43,63.72,77.93,77.28,77.34
ingersoll rand inc.,IR,2023-07-01,2023-09-30,9619800000.0,23.78195302843016,0.5149567367119902,0.3651973076415468,2.2562398017767573,-0.001066121540890883,65.16,64.6511,65.36,64.78,63.43,63.72
ingersoll rand inc.,IR,2023-04-01,2023-06-30,9480400000.0,23.43733003708282,0.4437577255871446,0.36917610422793873,2.294809432916692,-0.003279082543606647,57.6,57.49,58.18,63.45,63.0003,64.4
ingersoll rand inc.,IR,2023-01-01,2023-03-31,9381700000.0,23.16469135802469,0.3977777777777778,0.37434478159386464,2.1601082289277103,-0.004202283727091554,52.47,51.86,52.25,57.26,57.015,57.33
ingersoll rand inc.,IR,2022-10-01,2022-12-31,9257200000.0,-92572.0,-2174.0,0.37306903067202135,2.369952210274791,4.387568555758684,43.76,43.17,43.26,52.47,51.86,52.25
ingersoll rand inc.,IR,2022-07-01,2022-09-30,8815000000.0,21.81930693069307,0.35915841584158414,0.38034248116072433,2.4588312541037425,-0.0011911682024795358,41.56,41.53,42.08,43.31,42.58,43.69
ingersoll rand inc.,IR,2022-04-01,2022-06-30,8844000000.0,21.864029666254634,0.34239802224969096,0.37812029757970383,2.4268842162752593,-0.03915400485368476,50.43,50.17,50.35,42.82,41.54,42.28
ingersoll rand inc.,IR,2022-01-01,2022-03-31,9063300000.0,22.23577036310108,0.2544160942100098,0.3999721942693713,2.8797468354430378,-0.004637546019954949,61.42,61.25,61.25,50.43,50.34,50.8
ingersoll rand inc.,IR,2021-10-01,2021-12-31,9071200000.0,-3944.0,-127.3913043478261,0.4014187205120591,2.803638345710976,0.12477763445211658,51.57,50.38,50.41,61.42,61.25,61.25
ingersoll rand inc.,IR,2021-07-01,2021-09-30,8722800000.0,21.1564394858113,0.30560271646859083,0.415471627308548,2.469006492711013,-0.056708305520166084,48.42,48.42,48.81,51.75,51.2404,51.41
ingersoll rand inc.,IR,2021-04-01,2021-06-30,9346400000.0,22.258633007859014,0.5570373898547273,0.42223073927315213,3.133516182117389,-0.0001093312303708848,50.1,49.17,49.21,49.03,48.505,48.54
ingersoll rand inc.,IR,2021-01-01,2021-03-31,9025700000.0,21.53077290076336,-0.21564885496183206,0.4309824169866157,2.703833886610688,-0.00041120155202226816,45.25,44.43,45.56,49.75,49.42,50.04
ingersoll rand inc.,IR,2020-10-01,2020-12-31,9189500000.0,765.7916666666666,12.633333333333333,0.4277521079047987,2.577138662751902,0.025062656641604012,35.91,35.21,35.6,44.5,44.5,45.24
ingersoll rand inc.,IR,2020-07-01,2020-09-30,8829900000.0,21.14439655172414,0.07064176245210728,0.43436148746036324,2.4265675410295975,-0.0016301714185305532,27.91,27.55,28.12,36.18,35.67,35.87
