company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
jakks pacific inc,JAKK,2023-10-01,2023-12-31,196113000.0,4902.825,-281.3,0.5084283533566779,1.7112186231019741,-0.7668793195108985,18.81,18.44,18.59,36.5,35.43,35.55
jakks pacific inc,JAKK,2023-07-01,2023-09-30,204324000.0,20.38958187805608,4.765392675381698,0.602699691413838,1.4832970424212044,-0.006334092945756839,20.15,19.4,19.97,18.81,18.44,18.59
jakks pacific inc,JAKK,2023-04-01,2023-06-30,156244000.0,15.828588795461453,0.6161483132408064,0.5765068127424168,1.3726702065299665,-0.18545965645907841,16.66,16.65,17.3,20.05,19.46,19.99
jakks pacific inc,JAKK,2023-01-01,2023-03-31,147077000.0,,,0.5534813258608441,1.6347351325765305,,17.52,17.2,17.49,15.86,15.78,16.51
jakks pacific inc,JAKK,2022-10-01,2022-12-31,151188000.0,5599.555555555556,1392.851851851852,0.6270112645617775,1.5476768903735196,-1.4830508474576272,18.88,18.8,19.33,17.52,17.2,17.49
jakks pacific inc,JAKK,2022-07-01,2022-09-30,110458000.0,11.39329551315111,3.1290355853532748,0.768487195932209,1.5135134116937914,-0.1556483196047427,12.43,12.32,12.66,19.47,18.6,19.03
jakks pacific inc,JAKK,2022-04-01,2022-06-30,81839000.0,8.535565289945765,2.733521068001669,0.8155271088750488,1.471044294218545,-0.07627618775075824,14.52,13.84,14.03,12.96,12.325,12.9
jakks pacific inc,JAKK,2022-01-01,2022-03-31,56628000.0,,,0.820666373203196,1.79828715733997,,10.35,9.94,10.4,15.05,14.49,14.49
jakks pacific inc,JAKK,2021-10-01,2021-12-31,60973000.0,6.410787509199873,-0.36936179160971505,0.8292297652689982,1.6614877045391514,-0.0020416611285575324,12.72,11.88,11.88,10.35,9.94,10.4
jakks pacific inc,JAKK,2021-07-01,2021-09-30,63754000.0,7.225886886546526,4.080018134421398,0.8441633993957586,1.5085409062106756,-0.0009075277612742174,11.24,10.5,11.0,13.04,12.5,12.7
jakks pacific inc,JAKK,2021-04-01,2021-06-30,-3638000.0,-0.5848874598070739,-2.4782958199356915,1.01154440534254,1.2371228882777445,-0.7169440940825353,7.24,6.92,7.13,11.32,11.0759,11.28
jakks pacific inc,JAKK,2021-01-01,2021-03-31,-3582000.0,-0.6659230340211936,-4.538390035322551,1.012003820311322,1.9290010685602013,-0.006073493718007687,5.02,4.9503,4.98,7.01,6.75,7.12
jakks pacific inc,JAKK,2020-10-01,2020-12-31,14678000.0,3.2083060109289616,-2.5495081967213116,0.9554360003521886,1.8140974643079282,-0.8557518983748491,3.85,3.8,3.8,4.9,4.9,5.05
jakks pacific inc,JAKK,2020-07-01,2020-09-30,13315000.0,3.4819560669456067,8.385460251046025,0.9673324484593625,1.4867815378389688,0.0,9.1,8.02,8.2,3.82,3.7013,3.85
