company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
johnson & johnson,JNJ,2022-10-03,2023-12-31,68774000000.0,27.185548264684954,15.286979207842517,0.5895510808197758,1.1558489261483946,-0.033839062616041034,165.0,163.32,163.36,156.51,155.98,156.74
johnson & johnson,JNJ,2023-04-03,2023-07-02,76409000000.0,29.40617302955665,1.979679802955665,0.6013845559926129,1.1180911943880376,-0.014992194749605774,153.79,153.24,155.0,164.86,164.35,165.52
johnson & johnson,JNJ,2023-01-02,2023-04-02,70869000000.0,27.199769717904434,-0.02609863749760123,0.6383662722165241,1.0665032382025077,0.013272780650465506,177.49,175.4,176.65,153.79,153.24,155.0
johnson & johnson,JNJ,2022-07-04,2022-10-02,74599000000.0,28.387305453023327,1.6964115833935842,0.5740218359562367,1.4324045407636739,-0.008416951457167834,177.45,176.69,179.52,165.0,163.32,163.36
johnson & johnson,JNJ,2021-10-04,2022-01-02,74023000000.0,-740230.0,-47360.0,0.5933204408355217,1.3483173395834254,212.7159041664087,161.53,158.62,160.47,172.12,171.75,172.31
johnson & johnson,JNJ,2021-07-05,2021-10-03,70272000000.0,26.693003114791463,1.3929195472156803,0.6079184056062669,1.3439779179102802,-0.0050496008078922,166.02,165.64,168.98,161.53,158.62,160.47
johnson & johnson,JNJ,2021-04-05,2021-07-04,69580000000.0,26.431149097815766,2.3848053181386515,0.6056449784629335,1.3886263267994112,,,,,166.02,165.64,168.98
johnson & johnson,JNJ,2021-01-04,2021-04-04,65834000000.0,25.01671986624107,2.3548411612707096,0.6184796907688473,1.2834212840809147,-0.012441604932758187,156.53,155.1098,157.38,,,
johnson & johnson,JNJ,2020-06-29,2020-09-27,64473000000.0,24.491168091168092,1.3500474833808167,0.6222867955920863,1.482173655623343,0.011423508401458185,139.53,137.02,137.81,144.0,143.89,145.66
johnson & johnson,JNJ,2020-03-30,2020-06-28,62978000000.0,23.91963234456303,1.3771886512970488,0.6023614092688471,1.248014793864897,,121.65,120.58,123.16,139.53,137.02,137.81
johnson & johnson,JNJ,2019-12-30,2020-03-29,61294000000.0,23.272961992633938,2.200706230777993,0.604598205358122,1.3127727151295676,-0.01120642589706076,146.2,145.54,145.75,121.65,120.58,123.16
johnson & johnson,JNJ,2019-09-30,2019-12-29,59471000000.0,-13516.136363636364,-911.3636363636364,0.6229521708257253,1.2588699810922033,7.195821051664298,128.61,126.7,128.6,146.2,145.54,145.75
johnson & johnson,JNJ,2019-07-01,2019-09-29,58210000000.0,22.08940497874924,0.6652246508803886,0.6257097112287087,1.260821341220636,-0.010496711846369512,140.74,138.505,139.28,128.61,126.7,128.6
johnson & johnson,JNJ,2019-04-01,2019-06-30,60785000000.0,22.916116870876532,2.113854853911404,0.6081345049220911,1.333173858960865,,,,,140.74,138.505,139.28
johnson & johnson,JNJ,2018-12-31,2019-03-31,58955000000.0,22.156870114251355,1.4089747444377632,0.6070373999346784,1.4423070317062279,,,,,,,
johnson & johnson,JNJ,2018-10-01,2018-12-30,59752000000.0,-54320.0,-2765.4545454545455,0.6093466009388444,1.4739993595901377,,,,,,,
johnson & johnson,JNJ,2018-07-02,2018-09-30,64626000000.0,24.08542039355993,1.466159809183065,0.5849405599121404,1.7200860152349018,,,,,,,
johnson & johnson,JNJ,2018-04-02,2018-07-01,62889000000.0,23.445923274801476,1.4741080416060843,0.5952177131271522,1.6530122235157159,,,,,,,
johnson & johnson,JNJ,2018-01-01,2018-04-01,63255000000.0,23.583252553873685,1.6281410782193722,0.5961372705506783,1.5792622133599203,,,,,,,
johnson & johnson,JNJ,2017-10-02,2017-12-31,60160000000.0,-25066.666666666668,4463.75,0.6175533842329771,1.4110095949176409,,,,,,,
johnson & johnson,JNJ,2017-07-03,2017-10-01,73979000000.0,27.556805483125977,1.4020710720405274,0.5247337110845571,1.3151292209017167,,,,,,,
johnson & johnson,JNJ,2017-04-03,2017-07-02,71922000000.0,26.717931572495264,1.4216724246814518,0.52932784492857,1.3434815738431698,,,,,,,
johnson & johnson,JNJ,2017-01-02,2017-04-02,70341000000.0,25.98869430281534,1.6337840833518067,0.5146151616776384,2.5218758708547315,,,,,,,
