company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"james river group holdings, ltd.",JRVR,2023-10-01,2023-12-31,679519000.0,53615.19646520435,-12054.599968439325,0.8722048051154262,1.1465197097459943,-24.468733747633717,15.42,15.19,15.35,9.7,9.23,9.24
"james river group holdings, ltd.",JRVR,2023-07-01,2023-09-30,707442000.0,18.7936380219109,0.4496497481897653,0.8637828495575324,1.1576983735116344,-0.004418778175581489,18.06,17.88,18.26,15.42,15.19,15.35
"james river group holdings, ltd.",JRVR,2023-04-01,2023-06-30,740821000.0,19.68055130759981,0.35303379132974616,0.8601134468935226,-9.04438964241677,-0.0057836370126137585,20.78,20.52,20.65,18.1,17.9,17.94
"james river group holdings, ltd.",JRVR,2023-01-01,2023-03-31,735813000.0,19.60504498862685,0.11672762250079059,0.8586357922547693,-8.808520684023929,-0.011160843936193867,21.02,20.58,20.91,20.81,20.38,20.67
"james river group holdings, ltd.",JRVR,2022-10-01,2022-12-31,698664000.0,98988.94871068292,2139.4162652309437,0.8639957563399405,1.1574130922079997,-14.039125233303562,23.03,22.77,22.81,21.02,20.58,20.91
"james river group holdings, ltd.",JRVR,2022-07-01,2022-09-30,671702000.0,17.935785486401326,-0.1934826777863755,0.870962796785164,1.1481546671007408,-0.004947626088947876,24.27,24.27,24.78,22.82,22.51,22.98
"james river group holdings, ltd.",JRVR,2022-04-01,2022-06-30,739284000.0,19.740760527322827,0.1345540986916797,0.8595925189092688,-8.85834289502108,-0.005956550899914458,24.23,24.205,24.74,24.78,24.425,24.58
"james river group holdings, ltd.",JRVR,2022-01-01,2022-03-31,792575000.0,21.187928552136874,0.24941913811492544,0.8495268280143332,-8.132476527651901,0.09662499729078847,28.18,28.03,28.14,24.5,24.01,24.24
"james river group holdings, ltd.",JRVR,2021-10-01,2021-12-31,725362000.0,911.3332118828799,-83.28946459195788,0.8534192844368552,1.1717569760095927,-0.35789494256580134,36.0,35.8,37.73,28.18,28.03,28.14
"james river group holdings, ltd.",JRVR,2021-07-01,2021-09-30,813639000.0,21.82597681251341,-0.6408256733934004,0.8299284776506506,1.2049231071462752,-0.007908790090250127,37.12,36.77,37.52,33.4,33.27,33.87
