company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
kaiser aluminum corp,KALU,2023-10-01,2023-12-31,652200000.0,31057.14285714286,357.14285714285717,0.7123577666049219,2.676216216216216,-8.384536610343062,74.4,74.39,75.26,72.8,70.595,71.19
kaiser aluminum corp,KALU,2023-07-01,2023-09-30,640700000.0,40.05626758361988,0.33760550171928727,0.7175168643357877,2.6822888283378745,-0.024284448394255437,72.6,71.02,71.64,74.4,74.39,75.26
kaiser aluminum corp,KALU,2023-04-01,2023-06-30,638100000.0,39.94616251408539,1.145611618880681,0.7185887541345094,2.809698336622498,-0.032321544248534305,73.6,72.94,74.63,70.1,69.48,71.77
kaiser aluminum corp,KALU,2023-01-01,2023-03-31,635600000.0,39.87452948557089,0.9974905897114178,0.7271751727690261,2.6112342941611235,0.02078152153655578,75.47,74.79,75.96,72.5,71.19,72.68
kaiser aluminum corp,KALU,2022-10-01,2022-12-31,631200000.0,70133.33333333333,-2933.3333333333335,0.7242222998951415,2.490088368760449,-24.150728961341077,62.57,61.29,61.35,75.47,74.79,75.96
kaiser aluminum corp,KALU,2022-07-01,2022-09-30,642000000.0,40.31144041190506,0.15697601406505085,0.7295247724974722,2.4085860743272107,-0.010901677058676762,77.18,76.44,79.09,62.54,59.24,62.5
kaiser aluminum corp,KALU,2022-04-01,2022-06-30,650000000.0,40.88307440719542,-0.8679791181835336,0.7359548279644148,2.2756164383561646,-0.009948682160170044,94.2,93.67,94.16,81.08,77.59,78.89
kaiser aluminum corp,KALU,2022-01-01,2022-03-31,708200000.0,44.63632925753183,0.5105256523383336,0.7213346974108759,2.3826181031373963,-0.009853269214870215,95.31,93.9,93.97,95.61,94.7,94.97
kaiser aluminum corp,KALU,2021-10-01,2021-12-31,692500000.0,138500.0,340.0,0.7141264861294584,2.6393693890956866,-22.74513429799824,108.155,108.155,108.96,95.31,93.9,93.97
kaiser aluminum corp,KALU,2021-07-01,2021-09-30,721000000.0,45.483219782992684,-0.1450921019429725,0.7041687182012145,2.750224820143885,-0.0062529978511829155,123.08,123.05,123.49,113.36,110.73,112.32
kaiser aluminum corp,KALU,2021-04-01,2021-06-30,720700000.0,45.513103883801705,-1.4145879381117776,0.7015117001449576,2.731740614334471,0.08454035718900287,110.63,109.29,110.5,122.94,122.3,123.98
kaiser aluminum corp,KALU,2021-01-01,2021-03-31,735000000.0,46.50427080037963,0.2847200253084467,0.6585841694537347,2.656392694063927,-0.009332972458398276,98.3,95.9076,98.9,107.69,107.06,109.61
kaiser aluminum corp,KALU,2020-10-01,2020-12-31,732400000.0,-366200.0,-2950.0,0.6072290448865769,7.084017687934302,105.92425946756654,53.34,53.335,53.59,95.28,95.28,98.4
kaiser aluminum corp,KALU,2020-07-01,2020-09-30,719300000.0,45.542611118146134,0.025326073192351525,0.6105576610720087,7.80309423347398,-0.009738122073411739,72.82,72.45,73.62,53.04,51.71,53.0
kaiser aluminum corp,KALU,2020-04-01,2020-06-30,718800000.0,45.548444331791394,-0.4182244471199544,0.6111231335208829,7.3650265957446805,0.30773140252908254,68.55,67.53,69.28,70.19,70.19,73.4
kaiser aluminum corp,KALU,2020-01-01,2020-03-31,721100000.0,45.52973860335901,1.8373532011617628,0.5357027879724422,4.050226017076846,-0.01613150721652881,111.55,110.89,110.89,69.03,67.06,68.93
kaiser aluminum corp,KALU,2019-10-01,2019-12-31,733900000.0,-16308.888888888889,235.55555555555554,0.5191324859127244,4.576291079812207,-19.386251953805846,98.81,98.81,98.97,111.73,111.54,111.9
kaiser aluminum corp,KALU,2019-07-01,2019-09-30,751400000.0,47.09200300827275,1.5918776635748308,0.4731823599523242,3.803185437997725,-0.014293467710129298,97.34,96.73,97.61,98.52,98.115,98.96
kaiser aluminum corp,KALU,2019-04-01,2019-06-30,746300000.0,46.460810558426196,1.195293531718857,0.4752127135925744,3.63163778647289,,,,,97.34,96.73,97.61
