company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
kewaunee scientific corp /de/,KEQU,2023-11-01,2024-01-31,45342000.0,15.673003802281368,0.8714137573453162,0.6410118364276949,2.2817142043566987,,,,,28.5,28.5,28.51
kewaunee scientific corp /de/,KEQU,2023-08-01,2023-10-31,43414000.0,14.954874267998623,0.9410954185325525,0.6432937851250534,2.346276980274708,,,,,,,
kewaunee scientific corp /de/,KEQU,2023-05-01,2023-07-31,40540000.0,14.174825174825175,0.865034965034965,0.675207101539842,2.11444979538312,0.028593823208726152,15.97,15.97,16.25,15.554,15.28,15.66
kewaunee scientific corp /de/,KEQU,2023-02-01,2023-04-30,38485000.0,19242.5,502.5,0.6763191979680062,2.195091503757521,-65.43359611885992,16.49,16.49,16.5,15.97,15.97,16.25
kewaunee scientific corp /de/,KEQU,2022-11-01,2023-01-31,36338000.0,12.840282685512367,0.2554770318021201,0.7016241604125268,2.0709067468844005,0.11599278693309151,16.95,16.9,16.9,16.5167,16.5,16.5
kewaunee scientific corp /de/,KEQU,2022-08-01,2022-10-31,35009000.0,12.370671378091872,-0.08586572438162544,0.7060981547708994,2.114284380979047,-0.002783093379500694,18.41,18.41,18.56,17.1055,17.1055,17.1055
kewaunee scientific corp /de/,KEQU,2022-05-01,2022-07-31,35183000.0,12.534022087638048,-0.26612041325258284,0.7199764411865365,1.9747359492699477,0.2925730812207442,14.21,14.21,14.26,18.41,18.41,18.56
kewaunee scientific corp /de/,KEQU,2022-02-01,2022-04-30,36180000.0,36180.0,-362.0,0.6953853148442828,2.1650154871964626,623.2167832167831,14.3,14.3,14.65,14.21,14.21,14.26
kewaunee scientific corp /de/,KEQU,2021-11-01,2022-01-31,36180000.0,12.96774193548387,-0.47275985663082437,0.6218882595154986,1.4507030394880862,-0.13215625566573228,12.85,12.8,12.8,14.25,13.58,14.5
kewaunee scientific corp /de/,KEQU,2021-08-01,2021-10-31,37303000.0,13.375044818931517,-1.1115095016134815,0.6043926908678269,1.5265815265815266,0.1287434065559151,13.4683,13.31,13.31,12.85,12.8,12.8
kewaunee scientific corp /de/,KEQU,2021-05-01,2021-07-31,40340000.0,14.526467410875044,-0.48433561397191216,0.5532619408852811,1.7090182018753448,0.06039533393001493,12.05,11.99,12.0,13.4683,13.31,13.31
kewaunee scientific corp /de/,KEQU,2021-02-01,2021-04-30,41487000.0,41487.0,-2975.0,0.5358565291327307,1.7687311664374945,191.1740890688259,12.35,12.3,13.2,12.2,12.2,12.2
kewaunee scientific corp /de/,KEQU,2020-11-01,2021-01-31,38262000.0,13.853005068790731,0.029326574945691526,0.5730116394558582,1.9018441780280264,-0.1361285660854777,8.4338,8.2,8.2,12.35,12.3,13.2
kewaunee scientific corp /de/,KEQU,2020-08-01,2020-10-31,38069000.0,13.798115259151867,-0.06524102935846321,0.5833169151288282,1.842587123449498,-0.03780598865135036,9.52,9.52,9.52,8.4338,8.2,8.2
kewaunee scientific corp /de/,KEQU,2020-05-01,2020-07-31,38181000.0,13.85377358490566,-0.2169811320754717,0.5620339994035193,1.9073059360730593,0.13079687607989493,10.5,10.23,10.23,9.32,9.285,9.74
kewaunee scientific corp /de/,KEQU,2020-02-01,2020-04-30,38703000.0,,,0.5388602270967127,2.00410199556541,,12.52,12.3,12.5569,10.55,10.23,10.43
kewaunee scientific corp /de/,KEQU,2019-11-01,2020-01-31,42949000.0,15.617818181818182,-0.6974545454545454,0.4908903403231351,2.0874254785064323,-0.06382363957408102,16.99,15.95,16.09,12.5724,12.45,12.45
kewaunee scientific corp /de/,KEQU,2019-08-01,2019-10-31,44990000.0,16.36,-0.792,0.5018932264564558,2.0203467213657116,-0.16610499359795136,17.75,17.0,18.25,15.49,15.46,16.76
kewaunee scientific corp /de/,KEQU,2019-05-01,2019-07-31,47937000.0,17.431636363636365,0.17127272727272727,0.5135324382744239,1.8143142616743795,0.04760861628331507,22.41,22.41,22.6301,17.01,17.01,18.06
kewaunee scientific corp /de/,KEQU,2019-02-01,2019-04-30,47703000.0,47703.0,-1270.0,0.4530915010948947,1.9966700271896862,,,,,21.81,21.4436,22.31
kewaunee scientific corp /de/,KEQU,2018-11-01,2019-01-31,49511000.0,18.043367346938776,-0.008017492711370262,0.37770543726904804,2.520712056019573,,,,,,,
kewaunee scientific corp /de/,KEQU,2018-08-01,2018-10-31,49383000.0,18.00328107911046,0.5154939846882974,0.3872772842324681,2.5082792477949742,,,,,,,
kewaunee scientific corp /de/,KEQU,2018-05-01,2018-07-31,48397000.0,17.688961988304094,0.5142543859649122,0.4301274050349716,2.233111849390919,,,,,,,
kewaunee scientific corp /de/,KEQU,2018-02-01,2018-04-30,47521000.0,15840.333333333334,477.6666666666667,0.43667464852177623,2.3040417966765836,,,,,,,
kewaunee scientific corp /de/,KEQU,2017-11-01,2018-01-31,46093000.0,16.933504775900072,0.32439382806759737,0.44260768616828305,2.3906717850287906,,,,,,,
kewaunee scientific corp /de/,KEQU,2017-08-01,2017-10-31,45318000.0,16.679425837320576,0.6345233713654767,0.4722364559556529,2.122451655195018,,,,,,,
kewaunee scientific corp /de/,KEQU,2017-05-01,2017-07-31,44187000.0,16.293141592920353,0.42330383480825956,0.4228749804085471,2.5764123444223386,,,,,,,
kewaunee scientific corp /de/,KEQU,2017-02-01,2017-04-30,43257000.0,21628.5,694.0,0.4654085718522913,2.221264901400082,,,,,,,
kewaunee scientific corp /de/,KEQU,2016-11-01,2017-01-31,40717000.0,15.019181113980082,0.12578384360014755,0.44711793061307625,2.561393181260731,,,,,,,
kewaunee scientific corp /de/,KEQU,2016-08-01,2016-10-31,40749000.0,15.058758314855876,0.549150036954915,0.47457255589653663,2.2759740259740258,,,,,,,
kewaunee scientific corp /de/,KEQU,2016-05-01,2016-07-31,39659000.0,14.726698848867434,0.48273301151132564,0.49419702071217225,2.1801539581019496,,,,,,,
kewaunee scientific corp /de/,KEQU,2016-02-01,2016-04-30,38552000.0,6425.333333333333,222.83333333333334,0.46755058352323736,2.4323150357995225,,,,,,,
kewaunee scientific corp /de/,KEQU,2015-11-01,2016-01-31,36792000.0,13.718120805369127,0.3094705443698732,0.4948859814110573,2.2911276223776222,,,,,,,
kewaunee scientific corp /de/,KEQU,2015-08-01,2015-10-31,36472000.0,13.654810932235119,0.26020217147135905,0.4804410382062167,2.4217930493603257,,,,,,,
kewaunee scientific corp /de/,KEQU,2015-05-01,2015-07-31,35808000.0,13.615209125475285,0.3574144486692015,0.4890119299046749,2.361609700210044,,,,,,,
kewaunee scientific corp /de/,KEQU,2015-02-01,2015-04-30,35199000.0,35199.0,609.0,0.4934666858540797,2.3159344573735456,,,,,,,
kewaunee scientific corp /de/,KEQU,2014-11-01,2015-01-31,36192000.0,13.771689497716896,0.1841704718417047,0.4470282658517953,2.500383982446517,,,,,,,
