company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
kkr real estate finance trust inc.,KREF,2023-10-01,2023-12-31,1404182000.0,20.237745683970132,-0.27006105948248327,0.8139569331675238,1.2285662290613917,-0.10491922459240263,11.9,11.79,11.87,13.42,13.08,13.23
kkr real estate finance trust inc.,KREF,2023-07-01,2023-09-30,1453297000.0,21.02490709411024,0.30960914164210984,0.8094147198286997,1.2354606056727442,-0.024437952370255523,12.24,12.085,12.17,11.9,11.79,11.87
kkr real estate finance trust inc.,KREF,2023-04-01,2023-06-30,1459735000.0,21.120179228861815,-0.3728822416988198,0.8081629649196471,1.2373741972937682,-0.32498919751813754,11.19,11.09,11.39,11.97,11.88,12.1
kkr real estate finance trust inc.,KREF,2023-01-01,2023-03-31,1513145000.0,21.89948272821029,-0.4459077371013082,0.8078797556789707,1.2378079695282926,0.09119344799175996,13.83,13.55,13.96,11.06,10.91,11.1
kkr real estate finance trust inc.,KREF,2022-10-01,2022-12-31,1571436000.0,22.738254594609533,0.21128699710996082,0.7985937774157202,1.25220109181922,0.204474313017378,16.23,16.18,16.25,13.83,13.55,13.96
kkr real estate finance trust inc.,KREF,2022-07-01,2022-09-30,1595214000.0,22.9915138824892,-0.6978825998919328,0.7884626146226321,1.2682909518526915,-0.12030519883868925,17.26,17.22,17.45,16.98,15.99,16.14
kkr real estate finance trust inc.,KREF,2022-04-01,2022-06-30,1676444000.0,24.456123381084396,0.2829215034040808,0.7826641199988229,1.2776872919656825,0.3765293914918801,20.5,20.5,20.61,17.47,17.355,17.45
kkr real estate finance trust inc.,KREF,2022-01-01,2022-03-31,1649720000.0,26.150147102899368,0.4723042595579793,0.7692622818406708,1.299946745870896,0.3024957121705567,20.88,20.77,20.83,20.63,20.48,20.51
kkr real estate finance trust inc.,KREF,2021-10-01,2021-12-31,1361581000.0,22.93588011401798,0.5929115552091317,0.7968771514785613,1.2548985726903519,0.714054178952919,21.33,21.09,21.1,20.88,20.77,20.83
kkr real estate finance trust inc.,KREF,2021-07-01,2021-09-30,1237177000.0,22.236395322002362,0.574954149612815,0.7849695958875801,1.2739346915332193,0.09996464750141075,21.56,21.52,21.63,21.27,21.2,21.34
kkr real estate finance trust inc.,KREF,2021-04-01,2021-06-30,1226811000.0,22.052126459866262,0.526025140564868,0.777885985270866,1.2855354369853984,0.27509419229934495,18.65,18.39,18.39,21.89,21.55,21.56
kkr real estate finance trust inc.,KREF,2021-01-01,2021-03-31,1053378000.0,18.93902972177276,0.5247087402624853,0.800227200315577,1.249645100298566,0.27097403054298724,17.88,17.716,17.92,18.47,18.435,18.66
kkr real estate finance trust inc.,KREF,2020-10-01,2020-12-31,1045406000.0,18.795698510239983,0.5173731739923683,0.7894708648198853,1.2666711902384722,-0.32613324003071525,16.47,16.37,16.53,18.21,17.75,17.86
kkr real estate finance trust inc.,KREF,2020-07-01,2020-09-30,1041058000.0,18.76070717618341,0.5649703769439609,0.8010158901271344,1.2484146848089164,-0.050591914430241226,16.45,16.27,16.58,16.77,16.34,16.54
kkr real estate finance trust inc.,KREF,2020-04-01,2020-06-30,1032503000.0,18.606360776341255,0.5152099844703565,0.8027921117837913,1.245652498724752,-0.3064958782264507,14.41,14.19,15.01,16.77,16.52,16.6
kkr real estate finance trust inc.,KREF,2020-01-01,2020-03-31,1032306000.0,18.001132270393256,-0.6131823462772749,0.8107832917650427,1.2333751942803854,0.3662063200666856,20.45,20.4,20.42,15.0,13.5755,14.6
kkr real estate finance trust inc.,KREF,2019-10-01,2019-12-31,1123712000.0,19.54737855961973,0.43121366249930004,0.7777915759841076,1.2856914768390764,-0.1624841240640257,19.48,19.48,19.53,20.45,20.37,20.44
kkr real estate finance trust inc.,KREF,2019-07-01,2019-09-30,1124071000.0,19.57624972701216,0.41130167916692645,0.7843067762155291,1.2750112970147256,0.10442698539592765,19.8,19.8,19.92,19.67,19.44,19.5
kkr real estate finance trust inc.,KREF,2019-04-01,2019-06-30,1124035000.0,19.578220235648246,0.30273883456992184,0.8182615577765544,1.2221031166578078,,,,,19.8,19.8,19.92
kkr real estate finance trust inc.,KREF,2019-01-01,2019-03-31,1130881000.0,19.706090115343464,0.43049530083144055,0.777998973308978,1.2853487399177523,,,,,,,
kkr real estate finance trust inc.,KREF,2018-10-01,2018-12-31,1135188000.0,19.512007643177572,0.3387651724995215,0.7830233884987036,1.277101060694122,,,,,,,
kkr real estate finance trust inc.,KREF,2018-07-01,2018-09-30,1146703000.0,20.512323407460254,0.3724478663321976,0.7513612540015837,1.3309177105875787,,,,,,,
kkr real estate finance trust inc.,KREF,2018-04-01,2018-06-30,1052396000.0,19.83236088626718,0.442536203760003,0.738971801952163,1.3532316082403568,,,,,,,
kkr real estate finance trust inc.,KREF,2018-01-01,2018-03-31,1052573000.0,19.73404847189846,0.43646250514291757,0.8615923338647907,1.1606417103485156,,,,,,,
kkr real estate finance trust inc.,KREF,2017-07-01,2017-09-30,1065952000.0,19.851251561377758,0.322904643757626,0.8512072091538767,1.1748020802056263,,,,,,,
kkr real estate finance trust inc.,KREF,2017-04-01,2017-06-30,1076715000.0,23.08913381571731,0.30195371408322114,0.8376086835537006,1.193874919917647,,,,,,,
