company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"medalist diversified reit, inc.",MDRR,2023-10-01,2023-12-31,13730421.0,-121508.15044247788,4632.6814159292035,0.8340654733153557,1.1989466438708527,488.2364817120361,5.26,5.25,5.2794,4.77,4.1188,5.25
"medalist diversified reit, inc.",MDRR,2023-07-01,2023-09-30,14270710.0,6.431695368237929,-0.8783208116062213,0.8309591501186336,1.2034285919557333,0.07112257866104053,5.0262,5.0,5.0,5.26,5.25,5.2794
"medalist diversified reit, inc.",MDRR,2023-04-01,2023-06-30,16217070.0,7.307708772592313,-0.3954914736255353,0.8099349281040977,-5.261355966275042,-0.03290812547260253,6.8,6.5768,6.6776,5.1,5.1,5.1
"medalist diversified reit, inc.",MDRR,2023-01-01,2023-03-31,17279688.0,0.9730419162829849,-0.06877272478223148,0.8003171801614264,-5.007942099417535,-0.0049373813326833845,5.4804,5.4736,5.6008,6.9048,6.576,6.7192
"medalist diversified reit, inc.",MDRR,2022-10-01,2022-12-31,18692439.0,124.37166239728533,-6.724189094780265,0.7873815264501315,1.2700323368119235,-0.4178797202710638,6.88,6.4,6.528,5.4804,5.4736,5.6008
"medalist diversified reit, inc.",MDRR,2022-07-01,2022-09-30,19634717.0,1.1258472861184727,-0.10059996168566337,0.7821020251974924,1.2786055626789679,,6.524,6.32,6.6352,6.88,6.48,6.5992
"medalist diversified reit, inc.",MDRR,2022-03-31,2022-06-30,,,,,,,9.28,8.68,8.8,7.12,6.1688,6.204
"medalist diversified reit, inc.",MDRR,2022-01-01,2022-03-31,22811616.0,1.4224301404626642,-0.06168731663190658,0.7525660397680968,1.3287870394844685,0.0028703258381376703,8.0,7.6816,8.16,9.28,8.68,8.8
"medalist diversified reit, inc.",MDRR,2021-10-01,2021-12-31,22998389.0,23.31169822413234,-0.5390062439182615,0.7514952712504579,1.3306803625471124,0.37144366113904204,9.6,9.6,9.92,8.0,7.6816,8.16
"medalist diversified reit, inc.",MDRR,2021-07-01,2021-09-30,23493553.0,1.4635341390129721,-0.05432229523696977,0.7384484187567915,1.3541907255804564,-0.005066987258034092,11.04,10.72,10.88,9.6,9.6,9.6
"medalist diversified reit, inc.",MDRR,2021-04-01,2021-06-30,25095603.0,1.74152279757829,-0.047394582804105634,0.7427917255436886,-3.887899804599236,0.0728677156151184,16.08,16.08,16.24,11.28,10.72,11.12
"medalist diversified reit, inc.",MDRR,2021-01-01,2021-03-31,13557100.0,2.314934263830892,-0.38889720842194775,0.8308116315627415,-5.910571803704332,0.010698075489213072,17.44,16.88,17.44,16.8,15.84,16.4
"medalist diversified reit, inc.",MDRR,2020-10-01,2020-12-31,11709743.0,436.0358592440886,-134.00852727611246,0.8522835720135031,1.1733184034481854,9.754510000797936,8.96,8.96,9.9808,17.92,17.44,17.44
"medalist diversified reit, inc.",MDRR,2020-07-01,2020-09-30,15532832.0,3.2714693949074634,-0.270834597031825,0.8095937145853564,1.235187455120205,-3.6942798647011016e-06,14.88,12.96,14.6408,9.76,8.56,9.32
"medalist diversified reit, inc.",MDRR,2020-04-01,2020-06-30,16879870.0,3.5551777097065522,-0.3310053900952997,0.7963585712595526,-4.910592143185937,0.027494021410447492,14.4008,13.6,13.6,16.4,15.28,15.28
"medalist diversified reit, inc.",MDRR,2020-01-01,2020-03-31,18979357.0,4.168135958747672,-0.3786791963877859,0.7715526494013839,-4.377376219858238,0.0070375756727723586,28.0,27.68,27.68,15.12,12.8008,13.6008
"medalist diversified reit, inc.",MDRR,2019-10-01,2019-12-31,20853235.0,76.5750907007829,-2.43782406251377,0.7494783169697773,1.3342614153843826,0.48932412446052537,33.4264,33.4264,34.0,27.76,26.72,26.72
"medalist diversified reit, inc.",MDRR,2019-07-01,2019-09-30,22500900.0,5.0028848815531,-0.1347847789424769,0.7162664125591452,1.3961285667816032,0.12602617666610458,35.04,35.04,35.04,33.68,32.0,32.8
"medalist diversified reit, inc.",MDRR,2019-04-01,2019-06-30,24081385.0,7.055009207898109,-0.3102487450833105,0.5916545813492005,-2.4489071122778028,,,,,35.04,35.04,35.04
"medalist diversified reit, inc.",MDRR,2019-01-01,2019-03-30,,,0.15258264683190106,,,,,,,,,
