company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"trxade health, inc",MEDS,2023-07-01,2023-09-30,11559685.0,14.989373593087064,-4.5709939937136275,0.4661601176290047,0.6101685725123783,0.011001132324832723,13.55,12.41,13.05,7.25,6.7567,7.03
"trxade health, inc",MEDS,2023-04-01,2023-06-30,-1294527.0,-1.9003653851517692,-2.899120521316091,1.34566947531165,0.49145462047733646,-0.23120789738500921,4.605,4.0665,4.425,11.08,11.0,12.84
"trxade health, inc",MEDS,2023-01-01,2023-03-31,655140.0,0.06511850277340572,-0.06738603094107935,0.8377471134445218,0.9356762823177321,0.015354747476349783,4.41,4.35,6.039,4.7235,4.5,4.566
"trxade health, inc",MEDS,2022-10-01,2022-12-31,342867.0,1.2710829527255472,-3.4298668367044307,0.9075836665295607,0.9750008268154655,-0.0651587205388942,17.25,16.05,16.95,4.41,4.35,6.039
"trxade health, inc",MEDS,2022-07-01,2022-09-30,1356578.0,0.1644406134415593,-0.06097262515162759,0.7107053755378513,1.151189122478839,-3.943700600580804e-05,24.15,22.2,24.3,17.1,15.9,16.8
"trxade health, inc",MEDS,2022-04-01,2022-06-30,1804533.0,0.22057498550612326,-0.13247250563834115,0.6818782327244265,1.3145484484228573,,39.75,37.7085,41.55,23.5515,22.398,24.0
"trxade health, inc",MEDS,2022-01-01,2022-03-31,2887578.0,0.35308562208154337,-0.11740430935016392,0.5055695761677104,2.2533312285093396,,36.0,33.6,35.55,35.55,35.25,39.75
"trxade group, inc.",MEDS,2021-10-01,2021-12-31,3770173.0,,,0.3461557805154345,4.723672985423735,,73.35,73.05,73.854,36.0,33.6,35.55
"trxade health, inc",MEDS,2021-07-01,2021-09-30,4617295.0,,,0.16263866040901317,7.924237357240697,,68.1,64.95,66.3,75.3,73.0515,73.5
"trxade health, inc",MEDS,2021-04-01,2021-06-30,5786977.0,,,0.1608248514000084,7.590917378877674,,80.25,75.75,78.6,69.8025,67.65,68.4
"trxade group, inc.",MEDS,2021-01-01,2021-03-31,8201624.0,1.0133970510301304,-0.08050203633940052,0.15387999194488186,7.397097795876156,,81.3,79.2,79.35,90.9,69.15,78.15
"trxade group, inc.",MEDS,2020-10-01,2020-12-31,8679158.0,,,0.11371161912207683,10.948565607346142,,93.582,90.0,93.75,81.3,80.1195,81.3
"trxade group, inc.",MEDS,2020-07-01,2020-09-30,10827089.0,1.3428043233801432,0.017163619244000065,0.08663068446880001,19.89776349465411,1.7698611132426964e-05,93.2205,88.3515,90.0,90.0,89.1,92.1
"trxade group, inc.",MEDS,2020-04-01,2020-06-30,10151377.0,1.3390592004170438,-0.07157217334916068,0.13474836909406293,14.063648803528636,3.1658188647716515e-05,90.0,81.45,86.25,90.75,88.5015,90.15
"trxade group, inc.",MEDS,2020-01-01,2020-03-31,9637297.0,1.3823994714425039,0.02586314107570803,0.16006818603328038,10.304765030840722,,,,,103.5,84.15,93.75
