company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"mind technology, inc",MIND,2023-08-01,2023-10-31,21203000.0,15.080369843527738,-0.26955903271692744,0.28932461873638343,3.0877703300872645,-0.34451177926304094,7.3,6.8,7.0,4.64,4.64,5.01
"mind technology, inc",MIND,2023-05-01,2023-07-31,21476000.0,1.5571345707656612,-0.17698665893271462,0.3725054784514244,2.049311639549437,3.045822325731448e-05,4.761,4.72,4.901,7.4,7.15,7.313
"mind technology, inc",MIND,2023-02-01,2023-04-30,22862000.0,1.6579882515048228,-0.08608310972514323,0.3245087900723888,2.376269482151835,0.032360005889630956,6.6,6.0,6.55,4.761,4.72,4.901
"mind technology, inc",MIND,2022-11-01,2023-01-31,23052000.0,11526.0,-140.5,0.2984356929819222,2.4894188780651665,0.0,6.0,5.75,6.0,5.6,5.4,6.9
"mind technology, inc",MIND,2022-08-01,2022-10-31,22255000.0,1.614084711343197,-0.4428488540760081,0.35037071632903266,2.2408787380238073,0.0,7.8,7.701,8.0,6.25,5.813,6.125
"mind technology, inc",MIND,2022-05-01,2022-07-31,25661000.0,1.8619213466840807,-0.20802496009287477,0.2785977341092463,2.8699362904195214,-0.006482340925954828,10.6,10.0,10.2,7.8,7.701,8.0
"mind technology, inc",MIND,2022-02-01,2022-04-30,27129000.0,1.9694373865698729,-0.2443557168784029,0.28195966333174527,2.7054174898617034,-0.005213661112027718,13.2,13.2,13.8,10.6,10.0,10.2
"mind technology, inc",MIND,2021-11-01,2022-01-31,30263000.0,15131.5,-3405.0,0.27979533555449787,2.733433031124404,257.0639534883721,17.2,16.7,17.0,13.6,13.1,13.5
"mind technology, inc",MIND,2021-08-01,2021-10-31,24860000.0,1.8048497168578481,-0.23711340206185566,0.2958105543438235,2.5570161025303975,-0.00014157107594017714,20.0,19.5,19.8,17.2,16.7,17.0
"mind technology, inc",MIND,2021-05-01,2021-07-31,27318000.0,1.9833018730942356,-0.24263104399593438,0.24219811922660822,3.1314391927774827,0.010333478534436861,24.0,23.11,23.2,20.0,19.5,19.8
"mind technology, inc",MIND,2021-02-01,2021-04-30,26568000.0,1.930954284468348,-0.3320008721564067,0.25204808423186287,2.8326491185703935,-0.00010659689415412941,22.5,20.7,21.4,23.9,23.575,23.8
"mind technology, inc",MIND,2020-11-01,2021-01-31,30416000.0,102.75675675675676,-13.672297297297296,0.23506777657621405,3.4189637570188873,0.4398326898326898,21.0,20.5,20.5,22.5,20.7,21.4
"mind technology, inc",MIND,2020-08-01,2020-10-31,30954000.0,2.5139283683911313,-0.336960935596524,0.24119334199495013,4.321486008362817,0.0043869679527063785,23.9,22.5,22.8,21.0,20.5,20.5
"mind technology, inc",MIND,2020-05-01,2020-07-31,33688000.0,2.7653915613199804,-0.5879986865867673,0.22542076703761613,4.686601307189543,0.008689754215940391,9.9,9.03,9.65,23.7,23.0,23.7
mitcham industries inc,MIND,2020-02-01,2020-04-30,40550000.0,3.331416365428853,-0.5916036805783766,0.20805421557330625,3.391299263244065,-0.0015674086669007032,29.3,27.5,28.4,9.6,8.5,8.6
mitcham industries inc,MIND,2019-11-01,2020-01-31,47652000.0,5956.5,-463.5,0.1816308305282682,3.6253551136363638,5.684389140271493,22.1,21.9,23.0,30.0,29.4,29.5
