company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
mks instruments inc,MKSI,2023-10-01,2023-12-31,2472000000.0,,,0.7288879140162317,3.1792452830188678,,86.09,86.04,86.54,104.56,102.205,102.87
mks instruments inc,MKSI,2023-07-01,2023-09-30,2476000000.0,37.01046337817638,0.5829596412556054,0.7291028446389497,3.31145584725537,-0.005262293479215187,107.94,106.605,108.1,86.09,86.04,86.54
mks instruments inc,MKSI,2023-04-01,2023-06-30,2495000000.0,37.3502994011976,-26.482035928143713,0.7296858071505958,3.2670658682634732,-0.006016214212979483,87.09,87.01,88.62,107.0,104.375,106.41
mks instruments inc,MKSI,2023-01-01,2023-03-31,4451000000.0,66.73163418290855,-0.6296851574212894,0.6083934541615345,3.136986301369863,-0.007734585017029578,83.35,82.45,84.73,88.04,86.78,87.41
mks instruments inc,MKSI,2022-10-01,2022-12-31,4483000000.0,1949.1304347826087,23.47826086956522,0.6100043497172684,2.9348739495798317,-0.7117363770020834,83.69,82.54,82.64,83.35,82.45,84.73
mks instruments inc,MKSI,2022-07-01,2022-09-30,4149000000.0,68.01639344262296,0.09836065573770492,0.6351565247977489,2.760633036597428,0.6670513076719764,101.72,99.85,102.63,84.25,83.505,85.04
mks instruments inc,MKSI,2022-04-01,2022-06-30,3129000000.0,56.175942549371634,2.3339317773788153,0.34112444725205304,5.1400437636761485,-0.0015998122277533823,157.11,150.0,150.0,103.32,101.53,102.84
mks instruments inc,MKSI,2022-01-01,2022-03-31,3027000000.0,54.44244604316547,2.5719424460431655,0.3488922348892235,5.178899082568807,-0.0017276268261015551,176.98,174.53,174.75,162.08,156.12,156.46
mks instruments inc,MKSI,2021-10-01,2021-12-31,2886600000.0,,,0.36422703345593904,4.659939236111111,,151.74,150.0,150.91,176.98,174.53,174.75
mks instruments inc,MKSI,2021-07-01,2021-09-30,2728600000.0,49.163963963963965,2.3855855855855856,0.3750200416867083,4.563944177533745,-0.0021460867575817852,177.99,175.66,177.95,152.01,148.65,150.55
mks instruments inc,MKSI,2021-04-01,2021-06-30,2614800000.0,47.1985559566787,2.6444043321299637,0.378745040271805,5.048060908874613,-0.00167820183634768,182.85,182.42,185.42,176.69,176.36,178.33
mks instruments inc,MKSI,2021-01-01,2021-03-31,2469000000.0,44.64737793851718,2.2115732368896928,0.38549988800119467,5.169400376445281,-0.0027895155050767996,152.34,149.37,150.45,177.4,176.75,181.64
mks instruments inc,MKSI,2020-10-01,2020-12-31,2360900000.0,,,0.3952302884369076,4.825889275207275,,110.52,108.39,109.23,151.07,151.07,152.76
mks instruments inc,MKSI,2020-07-01,2020-09-30,2226800000.0,40.34057971014493,1.661231884057971,0.4063291476712256,4.583310458413395,-0.0028162055335968377,110.0,109.64,113.24,110.01,109.15,110.74
mks instruments inc,MKSI,2020-04-01,2020-06-30,2126600000.0,38.595281306715066,1.337568058076225,0.4143372531739693,4.464732650739477,-0.003638478985060449,83.3,80.54,81.45,108.79,107.7376,110.28
mks instruments inc,MKSI,2020-01-01,2020-03-31,2052500000.0,37.38615664845173,1.2586520947176685,0.4093355204466316,4.529228855721393,-0.013465009561808936,110.25,109.45,110.01,81.1,78.95,82.94
mks instruments inc,MKSI,2019-10-01,2019-12-31,2023344000.0,26977.92,570.1866666666666,0.40774166354439867,4.512536160488037,-2.0187937062937062,91.52,90.51,92.28,110.34,107.97,110.85
mks instruments inc,MKSI,2019-07-01,2019-09-30,1973531000.0,35.91830011830012,0.8631904631904632,0.41168427064900626,4.3790579320601175,-0.014807967464728986,79.42,77.45,77.89,94.06,90.495,90.95
mks instruments inc,MKSI,2019-04-01,2019-06-30,1945487000.0,35.49187266259236,0.6884794308127338,0.42474366844197486,4.804387773709829,,,,,79.42,77.45,77.89
mks instruments inc,MKSI,2019-01-01,2019-03-31,1920861000.0,35.47492935896726,0.23002197721018708,0.43714958487876887,4.587120943893121,,,,,,,
mks instruments inc,MKSI,2018-10-01,2018-12-31,1873187000.0,-14084.112781954887,-538.6165413533835,0.28346949751477096,5.5609092808173655,,,,,,,
mks instruments inc,MKSI,2018-07-01,2018-09-30,1810293000.0,33.231019164402674,1.7122586092958367,0.29412156924521443,5.380985397705843,,,,,,,
mks instruments inc,MKSI,2018-04-01,2018-06-30,1801438000.0,32.92161771962207,2.2453261207258906,0.3000013988796528,5.026124628196447,,,,,,,
mks instruments inc,MKSI,2018-01-01,2018-03-31,1698340000.0,31.20629145765577,1.9315546735755103,0.315587300359144,4.494534833777167,,,,,,,
mks instruments inc,MKSI,2017-10-01,2017-12-31,1588907000.0,26047.655737704918,1272.7540983606557,0.3417998540193155,4.265559550344694,,,,,,,
mks instruments inc,MKSI,2017-07-01,2017-09-30,1507705000.0,27.77541358092922,1.3999852621495155,0.36393014518983524,4.229130397859963,,,,,,,
mks instruments inc,MKSI,2017-04-01,2017-06-30,1429756000.0,26.3899737900993,2.223042563402119,0.400441903598927,4.65468372467629,,,,,,,
mks instruments inc,MKSI,2017-01-01,2017-03-31,1305405000.0,24.278022652457736,1.2099908869422902,0.4121245801147195,4.43374884980642,,,,,,,
mks instruments inc,MKSI,2016-10-01,2016-12-31,1241792000.0,25342.69387755102,928.3061224489796,0.43867262261542816,4.208887484197219,,,,,,,
mks instruments inc,MKSI,2016-07-01,2016-09-30,1215539000.0,22.688972262664727,0.6075521708291335,0.4577517158005322,4.349786273786534,,,,,,,
mks instruments inc,MKSI,2016-04-01,2016-06-30,1181610000.0,22.1022801668506,0.1722751164400217,0.4737003859022737,4.8221532091097306,,,,,,,
mks instruments inc,MKSI,2016-01-01,2016-03-31,1171069000.0,21.998102751948906,0.3299145299145299,0.09265879472517936,9.792967194535485,,,,,,,
mks instruments inc,MKSI,2015-10-01,2015-12-31,1160881000.0,-52767.318181818184,-1160.090909090909,0.08832313579880426,10.326112283478414,,,,,,,
mks instruments inc,MKSI,2015-07-01,2015-09-30,1146672000.0,21.50789661252204,0.5583711595453352,0.11340593577119794,6.684774932163699,,,,,,,
mks instruments inc,MKSI,2015-04-01,2015-06-30,1129436000.0,21.15682601528548,0.6222838303611569,0.11785761985358496,6.141099144474808,,,,,,,
mks instruments inc,MKSI,2015-01-01,2015-03-31,1104689000.0,20.759367835532004,0.6349081068891645,0.11597298357087411,6.502041091406235,,,,,,,
mks instruments inc,MKSI,2014-10-01,2014-12-31,1081822000.0,-24586.863636363636,-777.0909090909091,0.11619026767011643,7.122574232584172,,,,,,,
mks instruments inc,MKSI,2014-07-01,2014-09-30,1058560000.0,19.95250122516681,0.5488181852452219,0.13045192579400805,7.026690696876073,,,,,,,
mks instruments inc,MKSI,2014-04-01,2014-06-30,1043286000.0,19.5514701748468,0.3977436704709432,0.129071601075548,8.22476609321778,,,,,,,
mks instruments inc,MKSI,2014-01-01,2014-03-31,1045768000.0,19.579637153395367,0.5849918556102676,0.14474794726683896,7.706815248257465,,,,,,,
mks instruments inc,MKSI,2013-10-01,2013-12-31,1021523000.0,16214.650793650793,321.22222222222223,0.15786657741270121,6.846420395259379,,,,,,,
