company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"mainstreet bancshares, inc.",MNSB,2023-10-01,2023-12-31,221517000.0,148969.06523201076,3098.856758574311,0.8911695404218859,1.1221209373096315,539.454387827031,20.75,20.54,20.54,24.98,24.0204,24.81
"mainstreet bancshares, inc.",MNSB,2023-07-01,2023-09-30,213743000.0,28.406907084908003,0.7710983513220842,0.8942646788929557,1.118237165799658,0.34470909494143337,22.56,22.35,22.66,20.75,20.54,20.54
"mainstreet bancshares, inc.",MNSB,2023-04-01,2023-06-30,210508000.0,27.982799938958607,0.8516816425452134,0.8920112386122355,-9.260222889391377,-0.6594447519623569,23.37,23.37,23.49,22.79,22.24,22.57
"mainstreet bancshares, inc.",MNSB,2023-01-01,2023-03-31,204988000.0,27.269148818850816,1.0126093274196168,0.9002495367414628,-10.025016098503327,0.6017318825469421,27.37,27.32,27.49,24.3,23.36,23.49
"mainstreet bancshares, inc.",MNSB,2022-10-01,2022-12-31,198282000.0,-6160.695976386515,-218.73543576200092,0.8970365327604659,1.1147817992681779,-77.71905186583258,23.06,22.81,22.81,27.37,27.32,27.49
"mainstreet bancshares, inc.",MNSB,2022-07-01,2022-09-30,190000000.0,25.45647819806721,0.9652024680993483,0.8978557777341724,1.1137646209991527,0.29067612320155517,23.1553,22.56,22.77,23.06,23.06,23.06
"mainstreet bancshares, inc.",MNSB,2022-04-01,2022-06-30,188404000.0,24.870226113605415,0.711637698660574,0.894944682635405,-9.518794717734231,0.11502267828912233,24.4,24.31,24.31,23.1,22.47,23.0
"mainstreet bancshares, inc.",MNSB,2022-01-01,2022-03-31,188796000.0,5270.833914961333,136.35221530472654,0.8928359788119526,-9.331490073942245,116.1821707766912,24.85,24.3175,24.35,24.58,24.58,24.58
"mainstreet bancshares, inc.",MNSB,2021-07-01,2021-09-30,184029000.0,,,0.8889517794785056,1.1249204097286802,,22.57,22.5,22.58,24.29,24.12,24.22
"mainstreet bancshares, inc.",MNSB,2021-04-01,2021-06-30,179628000.0,,,0.8948125982684262,-9.50684191774111,,21.02,20.56,20.76,22.94,22.4601,22.72
"mainstreet bancshares, inc.",MNSB,2021-01-01,2021-03-31,172178000.0,,,0.9012190847082866,-10.123471776137347,,17.09,16.9,16.91,20.6332,20.6332,20.97
"mainstreet bancshares, inc.",MNSB,2020-10-01,2020-12-31,167665000.0,,,0.8979621644813516,1.113632666892579,,12.5,12.2,12.24,16.89,16.82,16.99
"mainstreet bancshares, inc.",MNSB,2020-07-01,2020-09-30,173261000.0,,,0.8937171663636342,1.1189222246550445,,13.16,13.06,13.2,13.18,12.4,12.53
"mainstreet bancshares, inc.",MNSB,2020-04-01,2020-06-30,140170000.0,,,0.9083177280953805,-10.907234072911464,,15.92,15.105,16.76,13.15,13.02,13.29
"mainstreet bancshares, inc.",MNSB,2020-01-01,2020-03-31,140295000.0,,,0.8944945711273314,-9.478185252503653,,23.14,22.95,23.0,15.32,15.155,15.91
"mainstreet bancshares, inc.",MNSB,2019-07-01,2019-09-30,133217000.0,,,0.892068710725964,1.1209898833759135,,22.61,22.01,22.79,21.4,21.12,21.12
"mainstreet bancshares, inc.",MNSB,2019-04-01,2019-06-30,129036000.0,,,0.8910871701030754,-9.181654732012772,,,,,22.61,22.01,22.79
