company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
mesabi trust,MSB,2023-08-01,2023-10-31,21138759.0,1.6111846713531468,0.31143771994076225,0.1873771816109498,5.336828508549943,,18.48,18.48,19.66,20.0,19.86,20.39
mesabi trust,MSB,2023-05-01,2023-07-31,21644696.0,1.6497469133026574,0.6999491616241146,0.011708710920395432,-1.0118472904401152,,23.0,22.4697,23.21,18.2,18.05,18.5
mesabi trust,MSB,2023-02-01,2023-04-30,12461356.0,0.949797751678543,0.07798309604946947,0.14665927093872674,-1.1718646028570245,,23.28,22.8728,23.03,23.0,22.4697,23.21
mesabi trust,MSB,2022-11-01,2023-01-31,11438217.0,,,0.18977292963568523,5.269454339006548,,21.65,21.2,22.28,23.29,22.9493,23.65
mesabi trust,MSB,2022-08-01,2022-10-31,14453254.0,1.101619129863468,-0.03153137840596158,0.020073196594826065,49.81766565563084,,26.21,26.1,27.27,21.39,20.85,21.77
mesabi trust,MSB,2022-05-01,2022-07-31,14866946.0,1.1331505082694298,-0.370226165986154,0.430352712459343,-1.7554720384401745,,24.49,22.95,23.35,26.21,26.1,27.27
mesabi trust,MSB,2022-02-01,2022-04-30,30745127.0,2.34337679620671,1.036217579102455,0.31202054357022246,-1.4535316767434396,,30.62,27.66,27.98,24.49,22.95,23.35
mesabi trust,MSB,2021-11-01,2022-01-31,30794752.0,,,0.4288088153826039,2.33204147975075,,22.18,20.22,22.03,31.38,30.2501,31.13
mesabi trust,MSB,2021-08-01,2021-10-31,36311831.0,2.7676679362287073,1.2189705648090208,0.3410420628426531,2.9321894701879665,-0.04032890813087046,35.4,34.37,34.76,22.18,20.22,22.03
mesabi trust,MSB,2021-05-01,2021-07-31,38949339.0,2.9686973561757957,2.0393300005106703,0.055385655476107166,-1.0586330104344004,-0.06067119532244286,35.28,35.0,35.42,35.4,34.37,34.76
