company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"nasdaq, inc.",NDAQ,2023-10-01,2023-12-31,10827000000.0,760.8991583374434,13.844752396090916,0.6647364835573172,1.0078670360110804,1.7137826409034183,49.25,48.34,48.59,58.2,57.79,58.14
"nasdaq, inc.",NDAQ,2023-07-01,2023-09-30,6479000000.0,13.187037102228565,0.5983931020304365,0.7339219712525668,1.7524120317820657,-0.05672022561316901,50.13,49.81,49.85,49.25,48.34,48.59
"nasdaq, inc.",NDAQ,2023-04-01,2023-06-30,6247000000.0,12.728761538733384,0.544033829172693,0.7565186888568421,1.5953471977440958,0.18846770717971903,54.37,54.03,54.67,49.49,49.33,49.85
"nasdaq, inc.",NDAQ,2023-01-01,2023-03-31,6179000000.0,12.61197547219581,0.6164131077202031,0.702575210589651,0.9811580882352942,-0.02037778733699789,61.4,60.74,61.35,54.32,53.945,54.03
"nasdaq, inc.",NDAQ,2022-10-01,2022-12-31,6164000000.0,-16115.58039881094,-630.0867741910182,0.7046195131301515,0.9738539898132428,147.81395821975173,57.29,56.51,56.68,61.4,60.74,61.35
"nasdaq, inc.",NDAQ,2022-07-01,2022-09-30,5884000000.0,11.978122890895369,0.598499002366288,0.7435159757639161,0.9573003970004411,0.06334811107725719,50.5167,50.33,50.8467,57.96,56.79,57.11
"nasdaq, inc.",NDAQ,2022-04-01,2022-06-30,5851000000.0,35.659769330232436,1.8710560903061626,0.7410603646663126,0.9399319289853739,0.2338059505077221,60.8667,59.2933,59.4,51.5167,50.63,51.02
"nasdaq, inc.",NDAQ,2022-01-01,2022-03-31,6022000000.0,36.48633050412397,1.720710372496049,0.7108005570763098,0.9239633939667834,0.031846133192366795,70.0133,69.6033,69.7033,60.32,60.0667,60.6267
"nasdaq, inc.",NDAQ,2021-10-01,2021-12-31,6405000000.0,16314.314824248599,659.7045338767193,0.6815809097688292,0.9429623983739838,82.99365084314472,65.0333,64.3067,64.34,70.0133,69.6033,69.7033
"nasdaq, inc.",NDAQ,2021-07-01,2021-09-30,6355000000.0,37.896775135903766,1.7174305647742385,0.6545632440071751,0.9823056300268097,-0.03252709402981512,58.85,58.3933,58.6,63.9767,63.64,64.6633
"nasdaq, inc.",NDAQ,2021-04-01,2021-06-30,6671000000.0,40.65555476186519,2.078180808543851,0.6290385363954846,1.024923391215526,-0.06603714376329388,49.0967,49.0033,49.1533,59.2267,58.8833,58.95
"nasdaq, inc.",NDAQ,2021-01-01,2021-03-31,6334000000.0,38.45555847321573,1.8092447781841314,0.6574364521362899,1.017638588912887,0.021296237828597086,43.3333,43.16,44.2467,50.2033,49.0467,49.15
"nasdaq, inc.",NDAQ,2020-10-01,2020-12-31,6436000000.0,168755.57187057528,5899.627667942735,0.6420268090550086,1.5556458164094233,1154.0237886046145,40.6933,40.4333,40.9033,43.26,43.1533,43.38
"nasdaq, inc.",NDAQ,2020-07-01,2020-09-30,6014000000.0,36.63252063775647,1.6080787243710855,0.5944980109230665,1.155972122086037,-0.01783099097863877,38.9433,38.8167,39.8233,41.7733,39.3367,40.46
"nasdaq, inc.",NDAQ,2020-04-01,2020-06-30,5757000000.0,35.08252580706126,1.4686275350880256,0.6045744900061818,1.1099082136973406,-0.13997836581107334,33.1733,31.525,31.65,39.1333,38.7267,39.1833
"nasdaq, inc.",NDAQ,2020-01-01,2020-03-31,5398000000.0,32.74212368289303,1.2313173596938283,0.6352209758075416,0.9669724770642202,0.07956003616391896,35.68,35.5527,35.7,31.3433,30.9367,33.1467
"nasdaq, inc.",NDAQ,2019-10-01,2019-12-31,5639000000.0,-36304.990246132256,-1306.9538960746315,0.5950158000574548,1.014904187366927,40.086116818978475,33.4067,33.05,33.1167,36.04,35.61,35.6733
"nasdaq, inc.",NDAQ,2019-07-01,2019-09-30,5327000000.0,32.41611765150893,0.912787243800702,0.5895993836671802,0.9477248104008668,-0.029637799986035905,32.03,32.0,32.0567,34.19,33.2533,33.36
"nasdaq, inc.",NDAQ,2019-04-01,2019-06-30,5551000000.0,33.52130587268278,1.0507489140419393,0.6072035097650722,0.9629220922533657,,,,,32.03,32.0,32.0567
"nasdaq, inc.",NDAQ,2019-01-01,2019-03-31,5494000000.0,33.2277014181733,1.4938555242607943,0.6211818244501137,0.8395674525793299,,,,,,,
"nasdaq, inc.",NDAQ,2018-10-01,2018-12-31,5449000000.0,-19962.85129159538,161.1975512626531,0.6529299363057325,0.969558599695586,,,,,,,
"nasdaq, inc.",NDAQ,2018-07-01,2018-09-30,5602000000.0,34.111271051417454,0.992527165544635,0.6228879165264221,0.9410243145369891,,,,,,,
"nasdaq, inc.",NDAQ,2018-04-01,2018-06-30,5542000000.0,33.43627930544027,0.9773867281633569,0.6339739779406909,0.9315224463240078,,,,,,,
"nasdaq, inc.",NDAQ,2018-01-01,2018-03-31,5725000000.0,34.29755040245195,1.0603784141893442,0.6374287523749208,0.9340622929092114,,,,,,,
"nasdaq, inc.",NDAQ,2017-10-01,2017-12-31,5887000000.0,34861.96155531605,1456.776378903983,0.6270746230837451,1.0507411630558723,,,,,,,
"nasdaq, inc.",NDAQ,2017-07-01,2017-09-30,5735000000.0,34.40420185986056,1.025827117355912,0.6194930997876857,1.1530806690662714,,,,,,,
"nasdaq, inc.",NDAQ,2017-04-01,2017-06-30,5576000000.0,33.70895421723713,0.8886686280369185,0.6196452933151433,0.986765590535392,,,,,,,
"nasdaq, inc.",NDAQ,2017-01-01,2017-03-31,5352000000.0,32.14934345568307,1.0151791935744467,0.6306418219461698,1.0124846500204667,,,,,,,
"nasdaq, inc.",NDAQ,2016-10-01,2016-12-31,5430000000.0,25734.353228879347,-1066.3406034066027,0.6162544169611307,1.1170994610485057,,,,,,,
"nasdaq, inc.",NDAQ,2016-07-01,2016-09-30,5754000000.0,34.745076179183364,0.7910331907321899,0.6114262560777958,1.072027627035027,,,,,,,
"nasdaq, inc.",NDAQ,2016-04-01,2016-06-30,5717000000.0,34.64449758176317,0.42419360341497664,0.6213656533545268,1.0668523676880224,,,,,,,
"nasdaq, inc.",NDAQ,2016-01-01,2016-03-31,5697000000.0,34.67824034829152,0.8034979332937476,0.5846759495516513,1.0661548882366223,,,,,,,
"nasdaq omx group, inc.",NDAQ,2015-10-01,2015-12-31,5609000000.0,-6110.913793516701,-161.24358021759167,0.5271056403338673,1.1154891304347827,,,,,,,
"nasdaq, inc.",NDAQ,2015-07-01,2015-09-30,5546000000.0,33.22874268027748,0.826824105639793,0.528802039082413,1.1079943899018232,,,,,,,
"nasdaq omx group, inc.",NDAQ,2015-04-01,2015-06-30,5716000000.0,33.879053804969516,0.7882984877643361,0.5277594183740912,1.0953591862682772,,,,,,,
"nasdaq omx group, inc.",NDAQ,2015-01-01,2015-03-31,5545000000.0,32.81337769867692,0.05325886371291115,0.5470511354353864,1.072093023255814,,,,,,,
"nasdaq omx group, inc.",NDAQ,2014-07-01,2014-09-30,6118000000.0,36.28968280225111,0.7295898961550974,0.5179640718562875,1.1136505948653725,,,,,,,
"nasdaq omx group, inc.",NDAQ,2014-04-01,2014-06-30,6207000000.0,36.65458173708939,0.5964415587958801,0.5267612076852699,1.0858644859813085,,,,,,,
"nasdaq omx group, inc.",NDAQ,2014-01-01,2014-03-31,6240000000.0,36.79333122758337,0.607325819942482,0.5191863153028201,0.9835103409726104,,,,,,,
"nasdaq omx group, inc.",NDAQ,2013-10-01,2013-12-31,6184000000.0,13585.953565214335,309.7702866583475,0.5083088176830722,1.1296428571428572,,,,,,,
"nasdaq omx group, inc.",NDAQ,2013-07-01,2013-09-30,6056000000.0,36.190290651777815,0.6752811829014024,0.5149767739868653,1.1348356113779092,,,,,,,
"nasdaq omx group, inc.",NDAQ,2013-04-01,2013-06-30,5863000000.0,35.24033874963455,0.5289356660357907,0.5094955241362001,1.080298013245033,,,,,,,
"nasdaq omx group, inc.",NDAQ,2013-01-01,2013-03-31,5203000000.0,31.399499342436066,0.2534651109710388,0.43371789290378754,1.4434470377019748,,,,,,,
"nasdaq omx group, inc.",NDAQ,2012-10-01,2012-12-31,5209000000.0,-4127.202455562651,-68.13964507168131,0.42958826106000875,1.6094929881337647,,,,,,,
"nasdaq omx group, inc.",NDAQ,2012-07-01,2012-09-30,5136000000.0,30.895971255581834,0.5353857947326291,0.4242152466367713,1.6509316770186335,,,,,,,
"nasdaq omx group, inc.",NDAQ,2012-04-01,2012-06-30,4970000000.0,29.34712270977372,0.5491513907462688,0.4432620141144841,1.4285714285714286,,,,,,,
"nasdaq omx group, inc.",NDAQ,2012-01-01,2012-03-31,5161000000.0,29.839612171305482,0.491448756938765,0.4278904777740827,1.6367869615832362,,,,,,,
"nasdaq omx group, inc.",NDAQ,2011-10-01,2011-12-31,4986000000.0,-17519.325368938862,-284.60997891777936,0.6461571215669576,1.090049751243781,,,,,,,
"nasdaq omx group, inc.",NDAQ,2011-07-01,2011-09-30,4996000000.0,28.210483931709827,0.6211275485364454,0.6202781789161663,1.1399598393574297,,,,,,,
"nasdaq omx group, inc.",NDAQ,2011-04-01,2011-06-30,5160000000.0,29.21061042590089,0.5208093331749771,0.6370542308503904,1.0861632032437911,,,,,,,
"nasdaq omx group, inc.",NDAQ,2011-01-01,2011-03-31,5037000000.0,-18240.87956021989,-376.6232825616177,0.7211735399944644,1.038795303726391,,,,,,,
"nasdaq omx group, inc.",NDAQ,2010-07-01,2010-09-30,5078000000.0,,,0.5096088845968131,1.2167300380228137,,,,,,,
"nasdaq omx group, inc.",NDAQ,2010-04-01,2010-06-30,4693000000.0,,,0.5264379414732593,1.2373607540702656,,,,,,,
"nasdaq omx group, inc.",NDAQ,2010-01-01,2010-03-31,,,,,,,,,,,,
