company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
nextera energy inc,NEE,2023-10-01,2023-12-31,59024000000.0,7111.325301204819,145.78313253012047,0.6674498137912772,0.5493330472409971,5.110088350628105,57.67,56.98,57.29,60.8,60.265,60.74
nextera energy inc,NEE,2023-07-01,2023-09-30,56568000000.0,27.848176044897357,0.6001083050263378,0.6704917459836667,0.4998596294216732,0.0157596677529971,72.94,72.78,74.2,57.67,56.98,57.29
nextera energy inc,NEE,2023-04-01,2023-06-30,54376000000.0,26.892185954500494,1.3822947576656774,0.6768622790075769,0.5276024285312211,0.0030795232769116995,76.765,75.98,77.08,72.68,72.51,72.81
nextera energy inc,NEE,2023-01-01,2023-03-31,52979000000.0,26.490824541227063,1.0430521526076304,0.6796083625126242,0.5339086574457186,0.041038383068647176,83.95,82.475,83.6,76.365,76.17,76.59
nextera energy inc,NEE,2022-10-01,2022-12-31,49436000000.0,9693.333333333334,298.4313725490196,0.6889546040834303,0.505338078291815,7.3034942495055315,80.3,78.29,78.41,83.95,82.475,83.6
nextera energy inc,NEE,2022-07-01,2022-09-30,46746000000.0,23.698859315589353,0.8598225602027884,0.7011297303863588,0.46382182563954955,0.01036649907605134,75.46,75.32,77.46,82.17,79.46,79.97
nextera energy inc,NEE,2022-04-01,2022-06-30,44607000000.0,22.698453083655608,0.7022186037044575,0.7060881597153588,0.5343574065098244,0.021189290886920304,85.06,84.71,84.71,76.1,75.26,76.0
nextera energy inc,NEE,2022-01-01,2022-03-31,44252000000.0,22.523540489642183,-0.22955158548378887,0.6946979888923385,0.49003255585782457,0.022918884570944542,92.23,91.8125,92.77,85.13,84.63,85.5
nextera energy inc,NEE,2021-10-01,2021-12-31,45669000000.0,152230.0,4013.3333333333335,0.6759041103667537,0.5326604347078052,31.32927447995941,78.84,77.9,78.52,92.23,91.8125,92.77
nextera energy inc,NEE,2021-07-01,2021-09-30,44726000000.0,22.787996127783156,0.22774749070158457,0.6786071010254162,0.4679311693390692,0.0035466897245860977,74.27,73.07,73.28,77.62,77.45,78.35
nextera energy inc,NEE,2021-04-01,2021-06-30,45114000000.0,22.989196901752955,0.1304525071341215,0.6658543992060024,0.4793078844095612,0.0055100827130411265,74.54,74.43,75.61,74.75,74.025,74.08
nextera energy inc,NEE,2021-01-01,2021-03-31,45730000000.0,23.312601957585645,0.8493066884176182,0.6547141746136015,0.5218906418298169,0.025140134589386305,75.9,75.66,77.15,74.11,73.74,74.22
nextera energy inc,NEE,2020-10-01,2020-12-31,44929000000.0,30.576425752007623,-0.0034027494215325984,0.6481234923717929,0.4744825813086515,0.021910595551798806,70.1963,66.785,69.39,75.63,75.51,75.91
nextera energy inc,NEE,2020-07-01,2020-09-30,42227000000.0,86.19514186568688,2.5086752398448664,0.6658780522542768,0.5744653767820774,0.04070333413364427,59.7275,59.375,60.0425,71.025,70.55,70.78
nextera energy inc,NEE,2020-04-01,2020-06-30,163826000000.0,334.54359812129877,2.603634878497039,-0.34326547010929725,0.613101496158512,-0.041767434890856894,60.5275,59.79,60.155,59.3775,58.44,59.56
nextera energy inc,NEE,2020-01-01,2020-03-31,161750000000.0,330.57428980175763,0.8604128346617617,-0.3407992572759601,0.7087159306223583,0.13404376528936698,60.3925,59.98,60.54,59.3275,58.59,61.5025
nextera energy inc,NEE,2019-10-01,2019-12-31,41360000000.0,17982.608695652172,423.9130434782609,0.6485712586348998,0.5347578141918718,10.119067696562889,58.005,57.9375,58.2475,60.4225,60.0725,60.3225
nextera energy inc,NEE,2019-07-01,2019-09-30,40174000000.0,83.36584353600333,1.8240298817181988,0.6482814168899161,0.5767613038906414,0.01916715594291252,50.9925,50.8113,51.215,58.0625,57.5375,57.815
nextera energy inc,NEE,2019-04-01,2019-06-30,148978000000.0,311.08373355606597,2.576738358738776,-0.3475830378464433,0.5183874548986955,,,,,50.9925,50.8113,51.215
nextera energy inc,NEE,2019-01-01,2019-03-31,146869000000.0,307.06460380514324,1.4217018607568472,-0.3470636252740097,0.45866339395291755,,,,,,,
nextera energy inc,NEE,2018-10-01,2018-12-31,37413000000.0,24942.0,281.3333333333333,0.6392258587105359,0.3640038717758925,,,,,,,
nextera energy inc,NEE,2018-07-01,2018-09-30,37338000000.0,78.92200380469245,2.12428662016487,0.6213299798180583,0.6519091122042633,,,,,,,
nextera energy inc,NEE,2018-04-01,2018-06-30,36172000000.0,76.78199957546168,1.6578221184461899,0.6211959367473033,0.5778672427336999,,,,,,,
nextera energy inc,NEE,2018-01-01,2018-03-31,35993000000.0,76.4669640960272,9.41363926067559,0.6182491196809639,0.5858649128301493,,,,,,,
nextera energy inc,NEE,2017-10-01,2017-12-31,29498000000.0,58996.0,4310.0,0.6984677031903258,0.6371972934472935,,,,,,,
nextera energy inc,NEE,2017-07-01,2017-09-30,27321000000.0,58.2040903280784,1.8044311887515978,0.7177028548992054,0.6055670458462599,,,,,,,
nextera energy inc,NEE,2017-04-01,2017-06-30,26876000000.0,57.43962385125027,1.6948065826031202,0.7106685326730542,0.6644692737430168,,,,,,,
nextera energy inc,NEE,2017-01-01,2017-03-31,26469000000.0,56.61818181818182,3.386096256684492,0.7097856477166822,0.5969675238192809,,,,,,,
nextera energy inc,NEE,2016-10-01,2016-12-31,25331000000.0,18093.571428571428,690.0,0.7185225517540254,0.6785419910248192,,,,,,,
nextera energy inc,NEE,2016-07-01,2016-09-30,24869000000.0,53.67796244334125,1.6252967839412908,0.7169603022853501,0.6452754399387911,,,,,,,
nextera energy inc,NEE,2016-04-01,2016-06-30,23882000000.0,51.771081725558204,1.1706048124864514,0.7204167642238352,0.5744530698659139,,,,,,,
nextera energy inc,NEE,2016-01-01,2016-03-31,23630000000.0,51.31378935939197,1.4180238870792616,0.7208076845823931,0.6702559743081137,,,,,,,
nextera energy inc,NEE,2015-10-01,2015-12-31,23112000000.0,7222.5,158.4375,0.7197832175462845,0.672306322350846,,,,,,,
nextera energy inc,NEE,2015-07-01,2015-09-30,22826000000.0,50.266461131909274,1.9356969830433826,0.7145429761264585,0.6418860283482789,,,,,,,
nextera energy inc,NEE,2015-04-01,2015-06-30,21601000000.0,48.48709315375982,1.6071829405162739,0.7201979248973459,0.6736015285001592,,,,,,,
nextera energy inc,NEE,2015-01-01,2015-03-31,20464000000.0,46.26723943025096,1.4695907754917477,0.7268881207543141,0.6708928190922651,,,,,,,
nextera energy inc,NEE,2014-10-01,2014-12-31,20168000000.0,50420.0,2210.0,0.730838527139025,0.7186174066025044,,,,,,,
nextera energy inc,NEE,2014-07-01,2014-09-30,19144000000.0,44.059838895281935,1.518987341772152,0.7348219356447301,0.5884872544922691,,,,,,,
nextera energy inc,NEE,2014-04-01,2014-06-30,18429000000.0,42.453351762266756,1.133379405666897,0.7425757787400475,0.6294117647058823,,,,,,,
nextera energy inc,NEE,2014-01-01,2014-03-31,18160000000.0,41.891580161476355,0.9919261822376009,0.7417923817377827,0.596677030703459,,,,,,,
nextera energy inc,NEE,2013-10-01,2013-12-31,18040000000.0,9020.0,163.5,0.7397050760395926,0.6357601480030471,,,,,,,
nextera energy inc,NEE,2013-07-01,2013-09-30,41271000000.0,97.38319962246342,1.6470033034450213,0.3855373254325105,0.5939433409312928,,,,,,,
nextera energy inc,NEE,2013-04-01,2013-06-30,40115000000.0,95.10431484115695,1.4461830251303935,0.3848996427311897,0.5340024811097327,,,,,,,
florida power & light co,NEE,2013-01-01,2013-03-31,39068000000.0,92.79809976247031,0.6460807600950119,0.38806133796970693,0.46091613491340017,,,,,,,
nextera energy inc,NEE,2013-01-01,2013-03-30,,,-680.0,,,,,,,,,
florida power & light co,NEE,2012-10-01,2012-12-31,16068000000.0,14607.272727272728,390.0,0.7506478995639286,0.5898186732740174,,,,,,,
florida power & light co,NEE,2012-07-01,2012-09-30,38600000000.0,92.05819222513713,0.9897448127832101,0.37791100581798254,0.5634285714285714,,,,,,,
florida power & light co,NEE,2012-04-01,2012-06-30,37368000000.0,90.0433734939759,1.4626506024096386,0.3812220566318927,0.6350909328797593,,,,,,,
florida power & light co,NEE,2012-01-01,2012-03-31,35805000000.0,86.84210526315789,1.118117875333495,0.3952573175469117,0.6363522798251093,,,,,,,
florida power & light co,NEE,2011-10-01,2011-12-31,14943000000.0,-149430.0,-6670.0,0.7387039239001189,0.7251079029617502,,,,,,,
florida power & light co,NEE,2011-07-01,2011-09-30,34926000000.0,83.67513176808816,0.9750838524197413,0.38276928514624015,0.8427011726647796,,,,,,,
florida power & light co,NEE,2011-04-01,2011-06-30,34141000000.0,81.8925401775006,1.3912209162868794,0.37421412467694337,0.7533260291125372,,,,,,,
florida power & light co,NEE,2011-01-01,2011-03-31,32887000000.0,79.09331409331409,0.6445406445406445,0.38248493155829283,0.6705742691794034,,,,,,,
