company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
oil-dri corp of america,ODC,2023-11-01,2024-01-31,196038000.0,,,0.33804938004808344,3.0204492775599507,,57.5,57.13,57.28,66.93,66.2026,66.52
oil-dri corp of america,ODC,2023-08-01,2023-10-31,185916000.0,,,0.3561751994680851,2.6147787018449478,,63.6,62.45,62.77,56.12,54.8,57.36
oil-dri corp of america,ODC,2023-05-01,2023-07-31,177076000.0,,,0.3813614687232519,2.3228117342771575,,42.06,41.3222,42.38,63.55,63.55,63.62
oil-dri corp of america,ODC,2023-02-01,2023-04-30,167095000.0,,,0.3818073519400953,2.582941584463625,,35.93,35.3204,36.29,42.06,41.3222,42.38
oil-dri corp of america,ODC,2022-11-01,2023-01-31,156974000.0,,,0.38692568464795113,2.4139197836135726,,29.94,29.53,29.53,35.45,35.23,35.79
oil-dri corp of america,ODC,2022-08-01,2022-10-31,154028000.0,,,0.3816942512032692,2.524419323500839,,29.8,29.77,30.14,27.84,27.84,30.17
oil-dri corp of america,ODC,2022-05-01,2022-07-31,150349000.0,,,0.39766676949333163,2.363825620941977,,25.27,24.89,24.95,29.8,29.77,30.14
oil-dri corp of america,ODC,2022-02-01,2022-04-30,145755000.0,,,0.3963396451468615,2.745960827879344,,32.54,32.54,34.02,25.27,24.89,24.95
oil-dri corp of america,ODC,2021-11-01,2022-01-31,153291000.0,,,0.37992589416456995,3.003550113192015,,34.7,34.7,34.82,32.64,32.44,33.02
oil-dri corp of america,ODC,2021-08-01,2021-10-31,156301000.0,,,0.30187861788036874,2.532176803615021,,35.85,35.56,35.57,34.7,34.7,34.82
oil-dri corp of america,ODC,2021-05-01,2021-07-31,159232000.0,,,0.3002821159575684,2.6145678379071557,,34.72,34.5,34.93,35.85,35.56,35.57
oil-dri corp of america,ODC,2021-02-01,2021-04-30,152939000.0,,,0.33398799829293574,2.892589601492662,,34.6,34.39,34.67,35.01,34.71,34.87
oil-dri corp of america,ODC,2020-11-01,2021-01-31,152441000.0,,,0.33197631870708205,2.942740988863122,,34.95,34.05,34.16,34.6,34.39,34.67
oil-dri corp of america,ODC,2020-08-01,2020-10-31,150316000.0,,,0.33889546160240314,2.9673629242819843,,35.57,34.54,34.77,34.95,34.05,34.16
oil-dri corp of america,ODC,2020-05-01,2020-07-31,147964000.0,,,0.3727202584343019,2.3463977319453764,,35.88,35.53,37.39,36.0,34.922,35.57
oil-dri corp of america,ODC,2020-02-01,2020-04-30,146655000.0,,,0.32098193822604765,2.298410139936992,,35.36,35.03,35.4,35.79,35.43,36.48
oil-dri corp of america,ODC,2019-11-01,2020-01-31,146929000.0,,,0.2972560611060891,2.572183256230413,,34.58,34.32,35.01,35.01,34.465,35.49
oil-dri corp of america,ODC,2019-08-01,2019-10-31,137936000.0,,,0.3423539396019872,2.8513099126724883,,35.32,35.32,35.43,34.01,33.96,34.63
oil-dri corp of america,ODC,2019-05-01,2019-07-31,135546000.0,,,0.3395313482144162,2.7380236766239343,,32.07,31.6034,31.81,35.3,35.24,35.24
oil-dri corp of america,ODC,2019-02-01,2019-04-30,137515000.0,,,0.30715242999224096,2.7557220405701406,,,,,31.8,31.4682,32.08
oil-dri corp of america,ODC,2018-11-01,2019-01-31,132764000.0,,,0.3125915800701057,2.6472385731287593,,,,,,,
oil-dri corp of america,ODC,2018-08-01,2018-10-31,131787000.0,,,0.33086402201562826,2.3859506677492512,,,,,,,
oil-dri corp of america,ODC,2018-05-01,2018-07-31,131885000.0,,,0.3225619214924852,2.682283757148858,,,,,,,
oil-dri corp of america,ODC,2018-02-01,2018-04-30,129013000.0,,,0.34845209837886976,2.4393740026316526,,,,,,,
oil-dri corp of america,ODC,2017-11-01,2018-01-31,126262000.0,,,0.3856910015325857,2.8245635087298253,,,,,,,
oil-dri corp of america,ODC,2017-08-01,2017-10-31,128110000.0,,,0.3808628580541956,3.203986016506289,,,,,,,
oil dri corp of america,ODC,2017-05-01,2017-07-31,126037000.0,,,0.40709396683523463,2.944012866419858,,,,,,,
oil-dri corp of america,ODC,2017-02-01,2017-04-30,122788000.0,,,0.4209560817342834,2.9927985108785204,,,,,,,
oil dri corp of america,ODC,2016-11-01,2017-01-31,120505000.0,,,0.4166497235857368,3.1452301850972946,,,,,,,
oil dri corp of america,ODC,2016-08-01,2016-10-31,116774000.0,,,0.4163255309471327,3.1470340688696163,,,,,,,
oil dri corp of america,ODC,2016-05-01,2016-07-31,115551000.0,,,0.43615230343575706,2.9659401431359793,,,,,,,
oil dri corp of america,ODC,2016-02-01,2016-04-30,116551000.0,,,0.40580375122993234,2.934871276144484,,,,,,,
oil dri corp of america,ODC,2015-11-01,2016-01-31,118071000.0,,,0.40684233000929393,2.883622566399204,,,,,,,
oil dri corp of america,ODC,2015-08-01,2015-10-31,115226000.0,,,0.40013327363784973,2.9959991650431395,,,,,,,
