company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
omnicom group inc.,OMC,2023-10-01,2023-12-31,4225100000.0,-14083.666666666666,-1419.0,0.8493435456380194,0.9469530961467438,9.578132689124502,74.51,73.975,74.48,86.73,86.07,86.51
omnicom group inc.,OMC,2023-07-01,2023-09-30,3781600000.0,19.08934881373044,1.8773346794548207,0.8488013178306971,0.9651048467624241,-0.01474318459394222,94.74,94.23,95.15,74.51,73.975,74.48
omnicom group inc.,OMC,2023-04-01,2023-06-30,3659400000.0,18.398190045248867,1.841628959276018,0.854018733345035,0.9632514359606652,-0.022517503183829505,93.33,93.32,94.34,95.87,94.02,94.13
omnicom group inc.,OMC,2023-01-01,2023-03-31,3631200000.0,17.958456973293767,1.1251236399604352,0.8561194408343107,0.9576757692107746,-0.02927872502705073,80.91,80.6039,81.57,90.9,90.9,92.74
omnicom group inc.,OMC,2022-10-01,2022-12-31,3776400000.0,-6294.0,-716.3333333333334,0.8601462827515971,0.9707828443877551,7.120451693851945,63.76,62.945,63.09,80.91,80.6039,81.57
omnicom group inc.,OMC,2022-07-01,2022-09-30,3248000000.0,15.84390243902439,1.778048780487805,0.8654080440241669,0.9468493711335337,-0.023927703818870858,62.75,62.43,63.61,63.85,63.23,63.46
omnicom group inc.,OMC,2022-04-01,2022-06-30,3355800000.0,16.345835362883584,1.6970287384315637,0.8652586778020919,0.9457154317110272,-0.01732727345738489,85.88,84.81,84.88,63.5,62.53,63.32
omnicom group inc.,OMC,2022-01-01,2022-03-31,3548600000.0,17.036005760921746,0.8343734997599616,0.8642759612479298,0.9450032446463336,-0.03094608007764393,73.89,73.695,73.76,86.67,86.25,86.34
omnicom group inc.,OMC,2021-10-01,2021-12-31,3773700000.0,-5391.0,-594.5714285714286,0.8672251581532485,0.980482183135916,1.0181958962446767,73.8,72.375,72.46,73.89,73.695,73.76
omnicom group inc.,OMC,2021-07-01,2021-09-30,3751800000.0,17.53177570093458,1.6616822429906541,0.8533353139854891,0.9955009692445679,-0.022408045034705143,78.66,78.58,79.99,74.06,73.35,73.55
omnicom group inc.,OMC,2021-04-01,2021-06-30,3836900000.0,17.812906220984214,1.61652739090065,0.8504389110639891,0.9968178898814737,-0.04831351095483489,75.48,74.09,74.15,78.9,78.49,78.92
omnicom group inc.,OMC,2021-01-01,2021-03-31,3691700000.0,17.12291280148423,1.3348794063079776,0.8558734769249989,1.0193142763826928,-0.013205883405202802,61.71,61.36,62.37,75.24,74.7,75.45
