company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
oxford industries inc,OXM,2023-10-29,2024-02-03,560914000.0,560914.0,-60070.0,0.4890767722918739,1.2180440817140672,-533.5006846188954,87.64,84.93,85.9,95.5,94.34,96.16
oxford industries inc,OXM,2023-07-30,2023-10-28,627113000.0,40.233078847757746,0.6917302880605632,0.46038827833784796,1.371117866285198,0.003879243523391424,106.92,106.62,107.11,87.64,84.93,85.9
oxford industries inc,OXM,2023-04-30,2023-07-29,1774487000.0,114.11491961414791,3.3088745980707395,-0.5432227283716772,1.2142190651054992,-0.05415511642452419,100.66,100.66,103.19,106.92,106.62,107.11
oxford industries inc,OXM,2023-01-29,2023-04-29,1801655000.0,115.27640923923475,3.745473158871329,-0.5086331778635607,1.353891409071003,-0.02021790585054097,114.29,114.05,117.23,100.66,100.66,103.19
oxford industries inc,OXM,2022-10-30,2023-01-28,556270000.0,-6180.777777777777,-356.1,0.532021217079665,1.2255756771090236,2.8380755302638385,96.65,95.18,100.45,114.29,114.05,117.23
oxford industries inc,OXM,2022-07-31,2022-10-29,533039000.0,33.86524777636595,1.249428208386277,0.5325519131960674,1.2999197031185572,0.0720953191698504,95.14,93.81,95.4,96.65,95.18,100.45
oxford industries inc,OXM,2022-05-01,2022-07-30,1491218000.0,93.67535649224197,3.5562535335134116,-0.5578926914068295,1.8920589292130794,-0.0257456641660271,93.04,89.24,89.6,95.14,93.81,95.4
oxford industries inc,OXM,2022-01-30,2022-04-30,1460437000.0,89.50949987742094,3.518509438587889,-0.5421444388009931,1.8015961698989034,-0.04085319987873006,85.02,79.03,80.95,93.04,89.24,89.6
oxford industries inc,OXM,2021-10-31,2022-01-29,507664000.0,126916.0,6352.0,0.4698812291023159,1.7700936480284393,-41.40969162995595,90.8,90.2,92.72,85.02,79.03,80.95
oxford industries inc,OXM,2021-08-01,2021-10-30,495469000.0,29.759685266382366,1.5607543996636435,0.46883854361531857,1.77124804510262,-0.004621817971616627,87.24,86.23,86.93,90.8,90.2,92.72
oxford industries inc,OXM,2021-05-02,2021-07-31,1405448000.0,84.47724950411732,3.093105728196189,-0.5083976478643927,1.5852468844239362,-0.0044141581248734645,92.05,90.77,91.23,87.24,86.23,86.93
oxford industries inc,OXM,2021-01-31,2021-05-01,1328883000.0,80.08213812221285,1.7155598409063517,-0.4749273570393193,1.3716246834599493,-0.008599300660227285,67.71,65.17,65.24,92.05,90.77,91.23
oxford industries inc,OXM,2020-11-01,2021-01-30,405728000.0,,,0.5312938262591349,1.3162464586348164,,43.55,40.77,41.17,67.71,65.17,65.24
oxford industries inc,OXM,2020-08-02,2020-10-31,418946000.0,25.286455818445194,-0.6400289715113472,0.53554533894594,1.4879782752892754,-0.04711568755896361,43.74,42.26,42.94,43.55,40.77,41.17
oxford industries inc,OXM,2020-05-03,2020-08-01,1384099000.0,83.64652202816221,-0.36786124372998125,-0.4530475597580807,1.717992412248634,-0.21971660530526047,40.42,39.38,41.07,43.74,42.26,42.94
oxford industries inc,OXM,2020-02-02,2020-05-02,1536165000.0,92.47321213580544,-4.020226342403082,-0.3997330223149608,2.766932023744996,0.1515508856729745,73.05,69.05,69.4,40.42,39.38,41.07
oxford industries inc,OXM,2019-11-03,2020-02-01,528598000.0,31.50354609929078,0.9137612491805233,0.48847120438101005,1.6246350806338206,-0.005391900003161481,69.26,68.91,70.31,73.05,69.05,69.4
oxford industries inc,OXM,2019-08-04,2019-11-02,516816000.0,30.812377034519763,0.09944553747093543,0.489858688914246,1.6380165490683534,-0.005120963173295177,69.19,68.7,69.73,69.26,68.91,70.31
oxford industries inc,OXM,2019-05-05,2019-08-03,1529143000.0,91.2376491646778,1.7801909307875896,-0.5137122176532428,1.6149501276512774,-0.029326705907397187,82.74,82.6,84.26,69.19,68.7,69.73
oxford industries inc,OXM,2019-02-03,2019-05-04,1517597000.0,90.80338658529288,1.2958176269969486,-0.48141347585230737,1.6426058772947847,,,,,82.74,82.6,84.26
oxford industries inc,OXM,2018-11-04,2019-02-02,478355000.0,28.64744280752186,0.9988621391783448,0.34224493780714854,1.8971232481769789,,,,,,,
oxford industries inc,OXM,2018-08-05,2018-11-03,465347000.0,27.875104828081945,0.11147717742901642,0.3471132355809095,2.01779892501542,,,,,,,
oxford industries inc,OXM,2018-05-06,2018-08-04,1160522000.0,69.56314811484745,1.6294431457171972,-0.6736930154746967,2.0744043057671675,,,,,,,
oxford industries inc,OXM,2018-02-04,2018-05-05,443665000.0,26.66416250976621,1.2360718793196706,0.38098812525201226,2.2508701400318376,,,,,,,
oxford industries inc,OXM,2017-10-29,2018-02-03,429824000.0,25.85563041385948,1.4516361886429259,0.38591395560482955,1.748892674616695,,,,,,,
oxford industries inc,OXM,2017-07-30,2017-10-28,407175000.0,24.502045974244794,0.06450836442411842,0.4086133950318732,1.9905949200695416,,,,,,,
oxford industries inc,OXM,2017-04-30,2017-07-29,409366000.0,24.65317675398976,1.3663956639566395,0.3766762543262474,1.6773132540991003,,,,,,,
oxford industries inc,OXM,2017-01-29,2017-04-29,388406000.0,23.470058613813524,1.039156444498157,0.4359310986829398,1.986287706711145,,,,,,,
oxford industries inc,OXM,2016-10-30,2017-01-28,376130000.0,22.744754187579368,0.6051278950232811,0.45103253405413923,1.7628238302535846,,,,,,,
oxford industries inc,OXM,2016-07-31,2016-10-29,369269000.0,22.33797108462888,-0.09666686830802734,0.46904058377367985,2.4547157642578545,,,,,,,
oxford industries inc,OXM,2016-05-01,2016-07-30,373396000.0,22.60950650923403,1.4456554647290343,0.448099514606157,2.0056301006136277,,,,,,,
oxford industries inc,OXM,2016-01-31,2016-04-30,352368000.0,21.351754226504273,1.2226261891777253,0.4957491109695977,2.3365639572094725,,,,,,,
oxford industries inc,OXM,2015-11-01,2016-01-30,334400000.0,20.308514514757682,1.0610348597109194,0.4261099383891949,1.68190598840953,,,,,,,
oxford industries inc,OXM,2015-08-02,2015-10-31,319929000.0,19.44029896092848,-0.13027890867108222,0.473842525590085,1.9558536426642372,,,,,,,
oxford industries inc,OXM,2015-05-03,2015-08-01,324656000.0,19.734727372196218,-0.12278888821348247,0.4405521139381198,1.9143858634155473,,,,,,,
oxford industries inc,OXM,2015-02-01,2015-05-02,305999000.0,18.607418668288233,1.0492550927333537,0.534704893977754,2.378699185791583,,,,,,,
oxford industries inc,OXM,2014-11-02,2015-01-31,290605000.0,17.67670316301703,0.960705596107056,0.5494964089001607,1.7772007959821852,,,,,,,
oxford industries inc,OXM,2014-08-03,2014-11-01,280869000.0,17.089686644356558,-0.004502585944630362,0.5650122194104328,2.1370986039054345,,,,,,,
oxford industries inc,OXM,2014-05-04,2014-08-02,285487000.0,17.38124809741248,0.9174429223744293,0.5312808354909626,1.9010510008808967,,,,,,,
oxford industries inc,OXM,2014-02-02,2014-05-03,272241000.0,16.581861371665244,0.9117432086734072,0.5654885123973538,2.0678523822218837,,,,,,,
oxford industries inc,OXM,2013-11-03,2014-02-01,260163000.0,15.850067015961983,0.912209089801389,0.5852687289277146,2.037130015182719,,,,,,,
oxford industries inc,OXM,2013-08-04,2013-11-02,246996000.0,15.055223698646836,0.054187492380836276,0.5957194673231285,2.474127769919849,,,,,,,
oxford industries inc,OXM,2013-05-05,2013-08-03,247254000.0,15.08198121263877,0.964133219470538,0.5672149397261377,1.982090345276157,,,,,,,
oxford industries inc,OXM,2013-02-03,2013-05-04,234505000.0,14.138731460267696,0.8213553599421198,0.6014632529762157,2.5291627230075617,,,,,,,
oxford industries inc,OXM,2012-10-28,2013-02-02,229845000.0,13.858607175158275,0.3181790774796503,0.5866617512183718,1.789628699724784,,,,,,,
oxford industries inc,OXM,2012-07-29,2012-10-27,227300000.0,13.70928829915561,0.18154402895054284,0.5827995198431781,1.9805942940479446,,,,,,,
oxford industries inc,OXM,2012-04-29,2012-07-28,225582000.0,13.627038782167451,0.3037332366799565,0.5551501980883342,1.914715554417817,,,,,,,
oxford industries inc,OXM,2012-01-29,2012-04-28,222090000.0,13.434758937753312,1.0889843324662756,0.5687480703471336,2.110606970266626,,,,,,,
oxford industries inc,OXM,2011-10-30,2012-01-28,204069000.0,,,0.5992415658072258,1.8312690338057402,,,,,,,
oxford industries inc,OXM,2011-07-31,2011-10-29,198364000.0,12.02060356320446,0.09841231365895044,0.5947628299022882,1.9117168429617575,,,,,,,
oxford industries inc,OXM,2011-05-01,2011-07-30,198607000.0,12.026583504904929,0.15768438900326995,0.5976120963346712,1.9877032768471945,,,,,,,
