company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"b. riley financial, inc.",RILY,2023-07-01,2023-09-30,467731000.0,15.61129262815331,-2.53121817953886,0.9238577300200428,1.0824177441025529,0.12195822660291913,46.89,45.785,45.98,42.42,40.94,40.99
"b. riley financial, inc.",RILY,2023-04-01,2023-06-30,461938000.0,16.358089962872775,1.5710831741333546,0.9261290656855119,-13.537124029631682,-0.49534424603423777,28.7,27.91,28.39,47.03,45.73,46.19
"b. riley financial, inc.",RILY,2023-01-01,2023-03-31,615331000.0,21.526106199132794,0.5297471217498678,0.9070242770304268,-15.02890790346168,-0.0564224026993809,34.31,33.59,34.2,29.6,28.265,28.39
"b. riley financial, inc.",RILY,2022-10-01,2022-12-31,684515000.0,23.979606885993462,-2.082519288184559,0.8879901204378451,1.1261386551315749,0.021171750081445895,43.78,43.5,44.52,34.31,33.59,34.2
"b. riley financial, inc.",RILY,2022-07-01,2022-09-30,756453000.0,26.73634075121733,1.6200083525771547,0.8703368725367403,1.1489803908747829,0.0013318281409549638,42.7,41.66,42.25,46.25,43.46,43.84
"b. riley financial, inc.",RILY,2022-04-01,2022-06-30,896270000.0,31.95079633688952,-5.06784468748095,0.8474490389035844,-10.812433747533936,0.0020125440039917117,71.03,69.3,69.96,43.86,42.7605,43.13
"b. riley financial, inc.",RILY,2022-01-01,2022-03-31,1045177000.0,37.52201621875659,-0.43309946895413837,0.8009853460526273,-7.500616272742464,-0.005796186856567598,89.444,88.611,88.98,72.32,70.935,71.03
"b. riley financial, inc.",RILY,2021-10-01,2021-12-31,1050201000.0,15359.429616087751,1018.4862888482633,0.8205373314292286,1.2187135937595668,54.47135892748324,59.52,58.91,59.04,89.444,88.611,88.98
"b. riley financial, inc.",RILY,2021-07-01,2021-09-30,1092207000.0,39.61474921434757,1.7635015354697354,0.7835864383553229,1.2761833934988838,0.2476644613903581,73.71,73.38,75.5,59.76,58.8163,59.22
"b. riley financial, inc.",RILY,2021-04-01,2021-06-30,761747000.0,27.857733842048457,2.746470693731435,0.8145123841930569,-5.523023541990277,0.11166065030313108,56.28,56.27,56.38,73.62,72.8,74.13
"b. riley financial, inc.",RILY,2021-01-01,2021-03-31,765820000.0,28.392858963509752,9.513398480476711,0.8137511670648286,-5.369161160586039,0.15282427413423055,44.69,43.8,44.22,54.71,54.26,56.28
