company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"republic services, inc.",RSG,2023-10-01,2023-12-31,10543500000.0,,,0.664327716244138,0.563110469928813,,144.05,142.26,142.51,164.18,163.72,164.91
"republic services, inc.",RSG,2023-04-01,2023-06-30,10204700000.0,32.21180555555556,1.3491161616161615,0.6578279398993404,0.7569530439439071,0.00019407033295922184,135.0,134.64,135.22,148.45,148.0,151.44
"republic services, inc.",RSG,2023-01-01,2023-03-31,38998700000.0,123.1408272813388,1.2121881907167666,-0.3410186579738252,0.7399069091869409,-0.0010210780658914318,129.88,128.0,128.99,134.24,133.43,134.85
"republic services, inc.",RSG,2022-10-01,2022-12-31,9686800000.0,,,0.6665806167370555,0.6951661898722977,,137.27,135.92,136.04,129.88,128.0,128.99
"republic services, inc.",RSG,2022-07-01,2022-09-30,9490500000.0,29.98578199052133,1.317219589257504,0.6658392310129925,0.6951766862633542,-0.010697096581235908,128.75,128.47,130.87,139.84,136.45,137.45
"republic services, inc.",RSG,2022-04-01,2022-06-30,37428700000.0,118.25813586097946,1.1747235387045813,-0.3266519925282406,0.7294350166973352,0.04963878354681251,134.52,132.49,132.5,128.3,127.32,130.21
"republic services, inc.",RSG,2022-01-01,2022-03-31,33864800000.0,106.96399241945673,1.1114971572962729,-0.3611199311899872,0.7509853416589168,-0.0070999909755437235,140.0,138.45,138.58,133.6,133.21,134.69
"republic services, inc.",RSG,2021-10-01,2021-12-31,8979700000.0,-22449.25,-782.75,0.6401642957323181,0.7082298393773804,-0.2919797451813133,122.44,120.06,120.06,140.0,138.45,138.58
"republic services, inc.",RSG,2021-07-01,2021-09-30,8878900000.0,27.868487131198997,1.0994978028876334,0.6365411459378032,0.6725807834061884,0.00024099952832949456,109.4,109.06,110.01,121.11,121.04,122.49
"republic services, inc.",RSG,2021-04-01,2021-06-30,32705500000.0,102.36463223787167,1.0391236306729263,-0.36716676211536614,0.6397528944185242,-0.0003017367780358256,99.58,99.02,99.35,108.91,108.64,109.68
"republic services, inc.",RSG,2021-01-01,2021-03-31,31890900000.0,99.84627426424547,0.9279899812147777,-0.3714982410569141,0.671584139985108,-0.011221957400492416,95.5,95.11,96.3,100.87,100.25,100.43
"republic services, inc.",RSG,2020-10-01,2020-12-31,8488800000.0,,,0.6377571050610225,0.6668711656441718,,93.7,92.79,93.35,95.71,95.36,95.71
"republic services, inc.",RSG,2020-07-01,2020-09-30,8374100000.0,26.234649122807017,0.8145363408521303,0.6376432815089507,0.8098867993427059,-0.004892378552434174,80.62,80.51,82.05,94.56,93.78,93.92
