company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
sandy spring bancorp inc,SASR,2023-10-01,2023-12-31,1588142000.0,79407.1,1303.45,0.8867890983942883,1.127663840038971,-381.5289648622982,21.06,21.02,21.43,27.41,27.08,27.24
sandy spring bancorp inc,SASR,2023-07-01,2023-09-30,1537914000.0,34.2214953271028,0.4610369381397419,0.8911988148638653,1.1220840774488177,0.11319905030856649,23.53,22.67,22.68,21.06,21.02,21.43
sandy spring bancorp inc,SASR,2023-04-01,2023-06-30,1539032000.0,34.28146300173743,0.5504521762373591,0.8900262923874981,-9.093082534996023,-0.13698081833290746,26.1,25.64,25.98,23.05,22.955,23.22
sandy spring bancorp inc,SASR,2023-01-01,2023-03-31,1536865000.0,34.28588957055215,1.1396319018404908,0.8912262553199952,-9.193394995656742,0.14911241752377521,35.67,35.18,35.23,27.57,25.72,25.83
sandy spring bancorp inc,SASR,2022-10-01,2022-12-31,1483768000.0,-18094.731707317074,-413.0975609756098,0.8927380007357705,1.1201494718224463,-5.175258013060845,35.78,35.15,35.26,35.67,35.18,35.23
sandy spring bancorp inc,SASR,2022-07-01,2022-09-30,1451862000.0,32.41269841269841,0.7472149666242494,0.89452967423062,1.1179058993879598,0.26117548032330623,38.57,38.17,39.07,36.51,35.54,35.64
sandy spring bancorp inc,SASR,2022-04-01,2022-06-30,1477169000.0,32.69230258498584,1.2085251416430596,0.8889597834595165,-9.005746126543409,0.15134209492905804,44.69,44.69,44.92,39.52,38.94,39.18
sandy spring bancorp inc,SASR,2022-01-01,2022-03-31,1488910000.0,32.778046847481505,0.9613200070447341,0.8851806713072211,-8.70933501689155,0.18479086000769607,48.02,47.98,48.07,45.48,44.67,44.98
sandy spring bancorp inc,SASR,2021-10-01,2021-12-31,1519679000.0,-3670.722222222222,-108.97342995169082,0.8793017177881561,1.1372660598405915,22.623184239416872,46.38,45.58,45.82,48.02,47.98,48.07
sandy spring bancorp inc,SASR,2021-07-01,2021-09-30,1546060000.0,32.757590524821495,1.199694895862025,0.8812318589857441,1.1347751330177196,0.0034216392582396217,43.86,43.81,44.13,45.13,43.8,46.1
sandy spring bancorp inc,SASR,2021-04-01,2021-06-30,1562280000.0,32.75975591855564,1.1906729015076851,0.8791326685067908,-8.273534193614461,0.012274453455521299,43.91,42.7,43.43,43.75,43.74,44.02
sandy spring bancorp inc,SASR,2021-01-01,2021-03-31,1511694000.0,31.805049442457396,1.5742478434672837,0.8825719706873867,-8.515854399104581,-2.1669735889258982e-05,32.04,31.277,32.19,42.79,42.57,43.88
sandy spring bancorp inc,SASR,2020-10-01,2020-12-31,1469955000.0,1398.6251189343482,53.91246431969553,0.8851456690504749,1.1297575472212762,2.856964901971872,23.22,22.915,23.08,32.31,32.05,32.18
sandy spring bancorp inc,SASR,2020-07-01,2020-09-30,1424749000.0,30.048486765791417,0.9336496889170094,0.887621527179361,1.1266062948898385,-0.5751083608404752,24.17,23.65,24.78,23.23,22.57,22.98
sandy spring bancorp inc,SASR,2020-04-01,2020-06-30,1390093000.0,,,0.895406602953234,-9.560832980239452,,22.12,21.72,22.64,22.77,22.55,24.53
sandy spring bancorp inc,SASR,2020-01-01,2020-03-31,1116334000.0,,,0.874985021728852,-7.9990415054992505,,37.9,37.7524,37.88,22.47,21.54,22.42
sandy spring bancorp inc,SASR,2019-10-01,2019-12-31,1132974000.0,,,0.8687016181013749,1.151143245462797,,34.18,33.66,33.71,37.94,37.8,38.01
sandy spring bancorp inc,SASR,2019-07-01,2019-09-30,1140041000.0,,,0.8648846381491853,1.1562235654225004,,34.5,34.25,34.88,34.35,33.92,34.11
sandy spring bancorp inc,SASR,2019-04-01,2019-06-30,1119445000.0,,,0.8667092376644024,-7.502395383426609,,,,,34.5,34.25,34.88
sandy spring bancorp inc,SASR,2019-01-01,2019-03-31,1095848000.0,,,0.868412444914084,-7.599502850760325,,,,,,,
sandy spring bancorp inc,SASR,2018-10-01,2018-12-31,1067903000.0,,,0.8704515634083165,1.1488290009893567,,,,,,,
sandy spring bancorp inc,SASR,2018-07-01,2018-09-30,1042716000.0,,,0.8702212254179287,1.1491330833946787,,,,,,,
sandy spring bancorp inc,SASR,2018-04-01,2018-06-30,1026349000.0,,,0.8741077693005912,1.144023694927389,,,,,,,
sandy spring bancorp inc,SASR,2018-01-01,2018-03-31,1014608000.0,,,0.8714859356360636,1.1474654485045006,,,,,,,
sandy spring bancorp inc,SASR,2017-10-01,2017-12-31,563816000.0,,,0.8964843689039643,1.1154684171711695,,,,,,,
sandy spring bancorp inc,SASR,2017-07-01,2017-09-30,564480000.0,,,0.8941888599884381,1.1183319819181488,,,,,,,
sandy spring bancorp inc,SASR,2017-04-01,2017-06-30,554683000.0,,,0.8947574632564789,1.117621300816525,,,,,,,
sandy spring bancorp inc,SASR,2017-01-01,2017-03-31,544261000.0,,,0.8953578468204425,1.1168718781559333,,,,,,,
sandy spring bancorp inc,SASR,2016-10-01,2016-12-31,533572000.0,,,0.8952009699525649,1.11706760109184,,,,,,,
sandy spring bancorp inc,SASR,2016-07-01,2016-09-30,536655000.0,,,0.8884434846218079,1.1255639973832205,,,,,,,
sandy spring bancorp inc,SASR,2016-04-01,2016-06-30,529479000.0,,,0.8882825830597607,1.1257678795810897,,,,,,,
sandy spring bancorp inc,SASR,2016-01-01,2016-03-31,522392000.0,,,0.8892441347680367,1.1245505715490094,,,,,,,
sandy spring bancorp inc,SASR,2015-10-01,2015-12-31,524427000.0,,,0.8873503344517526,1.1269506092177761,,,,,,,
sandy spring bancorp inc,SASR,2015-07-01,2015-09-30,523594000.0,,,0.8864475950513486,1.128098271778913,,,,,,,
sandy spring bancorp inc,SASR,2015-04-01,2015-06-30,518873000.0,,,0.8848833476395421,1.1300924609639629,,,,,,,
sandy spring bancorp inc,SASR,2015-01-01,2015-03-31,521768000.0,,,0.8814535441157092,1.1344897376335572,,,,,,,
sandy spring bancorp inc,SASR,2014-10-01,2014-12-31,521751000.0,,,0.881342884407382,1.1346321819712695,,,,,,,
sandy spring bancorp inc,SASR,2014-07-01,2014-09-30,522404000.0,,,0.877044698758288,1.1401927420755076,,,,,,,
sandy spring bancorp inc,SASR,2014-04-01,2014-06-30,517269000.0,,,0.87783957932543,1.1391603016674678,,,,,,,
sandy spring bancorp inc,SASR,2014-01-01,2014-03-31,510386000.0,,,0.8775758587555091,1.1395026310524319,,,,,,,
sandy spring bancorp inc,SASR,2013-10-01,2013-12-31,499363000.0,,,0.8783850856043448,1.1384528453280625,,,,,,,
sandy spring bancorp inc,SASR,2013-07-01,2013-09-30,493882000.0,,,0.8781431587559638,1.1387664870232168,,,,,,,
sandy spring bancorp inc,SASR,2013-04-01,2013-06-30,485643000.0,,,0.8807540704171298,1.1353907220961177,,,,,,,
sandy spring bancorp inc,SASR,2013-01-01,2013-03-31,488947000.0,,,0.8756501101467793,1.1420086498160513,,,,,,,
sandy spring bancorp inc,SASR,2012-10-01,2012-12-31,483512000.0,,,0.8777530171626965,1.1392726432686753,,,,,,,
sandy spring bancorp inc,SASR,2012-07-01,2012-09-30,481810000.0,,,0.8760594089612487,1.1414750983448814,,,,,,,
sandy spring bancorp inc,SASR,2012-04-01,2012-06-30,471464000.0,,,0.8777062635515828,1.1393333299839554,,,,,,,
sandy spring bancorp inc,SASR,2012-01-01,2012-03-31,451917000.0,,,0.8768038801910327,1.1405059017098853,,,,,,,
