company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"star group, l.p.",SGU,2023-10-01,2023-12-31,270652000.0,7.60407945382519,0.36465035259742085,0.7135772785333233,0.7560433861778264,0.09407364759331527,12.22,11.93,12.03,12.05,11.5,11.53
"star group, l.p.",SGU,2023-07-01,2023-09-30,263724000.0,-8507.225806451614,636.4193548387096,0.6987657028503286,0.6980385385920341,25.010947306962485,13.26,13.15,13.66,12.22,11.93,12.03
"star group, l.p.",SGU,2023-04-01,2023-06-30,288809000.0,8.111928770047468,-0.6714602702019493,0.673422287555832,0.7946292384055925,-0.17153970857160378,13.1,12.85,12.97,13.24,13.19,13.27
"star group, l.p.",SGU,2023-01-01,2023-03-31,1325325000.0,37.17288867696968,1.7401340700642303,-0.31591619917589236,0.8934096968053861,-0.18342106269559774,11.8359,11.8359,12.05,13.1,13.0,13.07
"star group, l.p.",SGU,2022-10-01,2022-12-31,1309017000.0,36.446625459405276,0.3769629134647511,-0.2506802695090212,0.8184081658549903,0.34693071712784374,8.25,8.13,8.13,11.8359,11.8359,12.05
"star group, l.p.",SGU,2022-07-01,2022-09-30,257915000.0,,,0.717345680703581,0.7564369686155138,,9.3,9.17,9.17,8.2325,8.2,8.25
"star group, l.p.",SGU,2022-04-01,2022-06-30,318702000.0,,,0.6759317539130462,0.9420522241175698,,11.03,11.03,11.1,9.32,9.26,9.38
"star group, l.p.",SGU,2022-01-01,2022-03-31,1430496000.0,,,-0.3122107028258704,0.8737764048894653,,10.6,10.57,10.57,10.97,10.87,11.13
"star group, l.p.",SGU,2021-10-01,2021-12-31,1246113000.0,,,-0.28365476732519257,0.714883512186077,,10.3,10.16,10.19,10.6,10.57,10.57
"star group, l.p.",SGU,2021-07-01,2021-09-30,278204000.0,,,0.6741819237980801,0.6434606677739226,,11.32,11.19,11.2,10.43,10.16,10.24
"star group, l.p.",SGU,2021-04-01,2021-06-30,313323000.0,,,0.6399873148793936,0.734982633676446,,10.72,10.53,10.59,11.35,11.15,11.24
"star group, l.p.",SGU,2021-01-01,2021-03-31,1283538000.0,,,-0.3564298259889967,0.8407655842292927,,9.14,9.14,9.41,10.7,10.48,10.6
"star group, l.p.",SGU,2020-10-01,2020-12-31,1176030000.0,,,-0.28751037317142064,0.6500523340498259,,9.76,9.75,9.75,9.42,9.07,9.12
"star group, l.p.",SGU,2020-07-01,2020-09-30,255820000.0,,,0.6949497743901857,0.6563483203085355,,8.66,8.63,8.77,9.66,9.66,9.8
"star group, l.p.",SGU,2020-04-01,2020-06-30,301275000.0,,,0.6545502703743963,0.7604349223482896,,7.48,7.47,7.7,8.76,8.67,8.73
"star group, l.p.",SGU,2020-01-01,2020-03-31,1235036000.0,,,-0.3437727469069647,0.8271164185160556,,9.4,9.4,9.46,7.0,6.95,7.5
"star group, l.p.",SGU,2019-10-01,2019-12-31,1240046000.0,,,-0.2795218067828649,0.7597273895313111,,9.39,9.39,9.47,9.52,9.42,9.43
"star group, l.p.",SGU,2019-07-01,2019-09-30,260840000.0,,,0.6534636365327232,0.696744348915858,,9.99,9.825,9.99,9.3416,9.34,9.4
"star group, l.p.",SGU,2019-04-01,2019-06-30,317575000.0,,,0.6015090144351423,0.7484747650617829,,,,,9.99,9.825,9.99
"star group, l.p.",SGU,2019-01-01,2019-03-31,1242263000.0,,,-0.40077150157525243,0.9796435643564356,,,,,,,
"star group, l.p.",SGU,2018-10-01,2018-12-31,1165542000.0,,,-0.36117401261507665,0.919198295202934,,,,,,,
"star group, l.p.",SGU,2018-07-01,2018-09-30,309785000.0,,,0.5756201273749231,0.9065956184584093,,,,,,,
"star group, l.p.",SGU,2018-04-01,2018-06-30,341359000.0,,,0.5460826643653369,1.0984221831673502,,,,,,,
"star group, l.p.",SGU,2018-01-01,2018-03-31,366260000.0,,,0.5701294799207534,1.0683947236419342,,,,,,,
"star group, l.p.",SGU,2017-10-01,2017-12-31,330261000.0,,,0.5888491895525733,0.8855040728280643,,,,,,,
star gas partners lp,SGU,2017-07-01,2017-09-30,306068000.0,,,0.5458372470200337,0.8858309496094855,,,,,,,
star gas partners lp,SGU,2017-04-01,2017-06-30,329071000.0,,,0.5191108539128478,1.061307917507987,,,,,,,
star gas partners lp,SGU,2017-01-01,2017-03-31,348387000.0,,,0.5150157235987621,1.1565247822002835,,,,,,,
star gas partners lp,SGU,2016-10-01,2016-12-31,314226000.0,,,0.5541439051037927,1.0192561665130484,,,,,,,
star gas partners lp,SGU,2016-07-01,2016-09-30,301493000.0,,,0.564926331587226,1.0170252688654189,,,,,,,
star gas partners lp,SGU,2016-04-01,2016-06-30,337252000.0,,,0.5574289167472629,1.2938225270392067,,,,,,,
star gas partners lp,SGU,2016-01-01,2016-03-31,346105000.0,,,0.5641110247713852,1.3005715448782553,,,,,,,
star gas partners lp,SGU,2015-10-01,2015-12-31,296750000.0,,,0.59932381252,1.1110684492750769,,,,,,,
star gas partners lp,SGU,2015-07-01,2015-09-30,289886000.0,,,0.5899959266341551,1.1105841040960533,,,,,,,
star gas partners lp,SGU,2015-04-01,2015-06-30,340670000.0,,,0.5420258837984951,1.4065794263598568,,,,,,,
star gas partners lp,SGU,2015-01-01,2015-03-31,354255000.0,,,0.5563055079964079,1.5031784400028863,,,,,,,
star gas partners lp,SGU,2014-10-01,2014-12-31,283336000.0,,,0.6137226245528313,1.1970520745043722,,,,,,,
star gas partners lp,SGU,2014-07-01,2014-09-30,273245000.0,,,0.6011644896344659,1.1698009722529121,,,,,,,
star gas partners lp,SGU,2014-04-01,2014-06-30,306091000.0,,,0.559671894847535,1.2073737120479482,,,,,,,
star gas partners lp,SGU,2014-01-01,2014-03-31,320487000.0,,,0.6375721209845773,1.1526329933945318,,,,,,,
star gas partners lp,SGU,2013-10-01,2013-12-31,272770000.0,,,0.6351215414332418,1.2898022162996212,,,,,,,
star gas partners lp,SGU,2013-07-01,2013-09-30,259281000.0,,,0.5900721576464338,1.386418645127954,,,,,,,
star gas partners lp,SGU,2013-04-01,2013-06-30,276768000.0,,,0.5493354045459208,1.4907385283454015,,,,,,,
star gas partners lp,SGU,2013-01-01,2013-03-31,297289000.0,,,0.5817461233057488,1.4106614457027165,,,,,,,
star gas partners lp,SGU,2012-10-01,2012-12-31,261262000.0,,,0.6154484731981736,1.279000522181608,,,,,,,
star gas partners lp,SGU,2012-07-01,2012-09-30,260145000.0,,,0.5931082807927464,1.3205462293444985,,,,,,,
star gas partners lp,SGU,2012-04-01,2012-06-30,271185000.0,,,0.5603954714338514,1.3232147165556327,,,,,,,
star gas partners lp,SGU,2012-01-01,2012-03-31,287352000.0,,,0.5548491439406614,1.4787930864475778,,,,,,,
star gas partners lp,SGU,2011-10-01,2011-12-31,258257000.0,,,0.6186264722908077,1.215273119178278,,,,,,,
star gas partners lp,SGU,2011-07-01,2011-09-30,272633000.0,,,0.5645737539708271,1.450410781065318,,,,,,,
star gas finance co,SGU,2011-04-01,2011-06-30,316746000.0,,,0.4921981085643654,1.8784404238949695,,,,,,,
