company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
skyline champion corp,SKY,2023-10-01,2023-12-30,1421958000.0,24.667927277773924,0.8148289501075567,0.2393583246987433,2.564611535026835,0.001249259051878467,65.1,63.25,63.72,74.85,73.998,74.26
skyline champion corp,SKY,2023-07-02,2023-09-30,3009368000.0,52.58191221694157,0.7979626782219738,-0.8029074243263887,4.021936985659117,5.31619714013525e-05,66.72,65.36,65.45,65.1,63.25,63.72
skyline champion corp,SKY,2023-04-02,2023-07-01,2908580000.0,50.86441774653306,0.896577654197926,-0.7980180000853084,4.387291415932082,-0.00022530760155469934,74.59,74.59,75.23,66.72,65.36,65.45
skyline champion corp,SKY,2023-01-01,2023-04-01,1233001000.0,30073.19512195122,1408.439024390244,0.210992472119197,4.192023847306532,-0.37921227268809793,50.94,50.7,51.51,74.59,74.59,75.23
skyline champion corp,SKY,2022-10-02,2022-12-31,1173442000.0,20.597181021923436,1.4535991995927753,0.22375332988905772,3.861973313662437,-0.012589530923308879,53.66,52.8,52.87,50.94,50.7,51.51
skyline champion corp,SKY,2022-07-03,2022-10-01,2593361000.0,45.53270945993398,2.529882716482899,-0.7201711574152073,2.8307200520725595,7.542034531249466e-05,47.49,47.49,50.0,53.66,52.8,52.87
skyline champion corp,SKY,2022-04-03,2022-07-02,2316910000.0,40.71182568968547,2.0585310138815673,-0.6870720262835207,2.4509460207705915,0.0006516453538066612,55.44,55.02,55.53,47.49,47.49,50.0
skyline champion corp,SKY,2022-01-02,2022-04-02,825113000.0,28452.172413793105,2993.0344827586205,0.3316861315110168,2.234313591079426,0.6105694345240656,80.14,78.22,78.22,55.44,55.02,55.53
skyline champion corp,SKY,2021-10-03,2022-01-01,733378000.0,12.900909458722536,1.1895438633525075,0.3134135529527192,2.23797199665737,0.0012210209098347435,60.48,57.88,60.81,80.14,78.22,78.22
skyline champion corp,SKY,2021-07-04,2021-10-02,1673308000.0,29.455499225461203,0.8928848049570483,-0.6561994595825127,2.016845212786184,-0.008739587553584973,55.09,53.92,54.55,60.48,57.88,60.81
skyline champion corp,SKY,2021-04-04,2021-07-03,1598980000.0,28.197721581490494,0.7565513349557366,-0.621030883102848,1.949688499980932,,,,,55.09,53.92,54.55
skyline champion corp,SKY,2020-12-27,2021-04-03,568611000.0,,,0.38053190863512665,1.8956274038279182,,31.48,31.09,31.65,,,
skyline champion corp,SKY,2020-09-27,2020-12-26,532195000.0,9.385824133187542,0.38092130789037426,0.35559080479255084,2.1912969357238827,-0.02572332455891971,26.74,26.13,26.62,31.48,31.09,31.65
skyline champion corp,SKY,2020-06-28,2020-09-26,1336915000.0,23.597892470081547,0.30875136795283653,-0.6117682233616365,2.3444287801502064,-0.0033596303346657835,23.18,22.46,22.69,26.74,26.13,26.62
skyline champion corp,SKY,2020-03-29,2020-06-27,1279619000.0,22.635303898676856,0.21002264204344442,-0.6191109446529389,2.318747149669784,-0.004949008800177796,16.17,15.31,15.42,23.18,22.46,22.69
skyline champion corp,SKY,2019-12-29,2020-03-28,474315000.0,8039.237288135593,101.66101694915254,0.39322630165024947,2.1367233333511924,21.457529429004055,31.23,30.97,31.44,16.17,15.31,15.42
skyline champion corp,SKY,2019-09-29,2019-12-28,469197000.0,8.301286247589392,0.3006493161833655,0.3523654272455478,1.8778988575626883,-0.0018512293365887604,30.0,28.8,29.18,31.23,30.97,31.44
skyline champion corp,SKY,2019-06-30,2019-09-28,1181700000.0,20.922079991501565,0.31302561923478694,-0.6153372975189666,1.6952492522432703,-0.006010422226724799,27.03,27.03,27.38,30.0,28.8,29.18
skyline champion corp,SKY,2019-03-31,2019-06-29,1154659000.0,20.48429960261141,0.30675205790519444,-0.5981638525601011,1.6070688002503961,,,,,27.03,27.03,27.38
skyline champion corp,SKY,2018-12-30,2019-03-30,411972000.0,459.79017857142856,10.219866071428571,0.4114298939644605,1.5428277824365133,,,,,,,
skyline champion corp,SKY,2018-09-30,2018-12-29,398545000.0,7.085370406585006,0.18537218439438924,0.4124043145441893,1.5199995929353938,,,,,,,
skyline champion corp,SKY,2018-07-01,2018-09-29,386469000.0,7.142944275020793,-1.4236207374549488,0.41920344087572814,1.4460669562995145,,,,,,,
skyline champion corp,SKY,2018-04-01,2018-06-30,379569000.0,7.997324175129577,-0.017972272554886013,0.41547035687556017,1.4122451166903351,,,,,,,
skyline corp,SKY,2017-12-04,2018-03-04,31308000.0,3.7310320138468147,0.14515130295341191,0.4642527122762586,2.207025449331763,,,,,,,
skyline corp,SKY,2017-09-04,2017-12-03,30015000.0,3.576942822780508,0.3532253382216034,0.4915900198180802,2.2122200245897257,,,,,,,
skyline corp,SKY,2017-06-01,2017-09-03,26974000.0,3.214541252762999,0.19150914929895974,0.5279561801095497,2.1437260273972605,,,,,,,
skyline corp,SKY,2017-03-01,2017-05-31,25299000.0,,,0.5453418158291999,2.02893663312483,,,,,,,
skyline corp,SKY,2016-12-01,2017-02-28,22942000.0,2.7340403878137733,-0.2916134961633817,0.5779927893458907,1.7864797602722333,,,,,,,
skyline corp,SKY,2016-09-01,2016-11-30,25344000.0,3.020291151109418,-0.07090724569563225,0.5609680045732499,1.862739393939394,,,,,,,
skyline corp,SKY,2016-06-01,2016-08-31,25908000.0,3.0875040697183875,0.08866385007991663,0.5419296663660956,1.9652012711864406,,,,,,,
skyline corp,SKY,2016-03-01,2016-05-31,25133000.0,,,0.542853505038379,1.986467749986135,,,,,,,
skyline corp,SKY,2015-12-01,2016-02-29,23782000.0,2.8341447346781954,-0.06196935758273744,0.5292743755195757,2.1458946242310777,,,,,,,
skyline corp,SKY,2015-09-01,2015-11-30,24280000.0,2.893492311747817,0.2033071616079809,0.5388326463940436,2.0555656217913874,,,,,,,
skyline corp,SKY,2015-06-01,2015-08-31,22539000.0,2.686014135687152,-0.09938931581539043,0.5547060218112849,1.9701326751002777,,,,,,,
skyline corp,SKY,2015-03-01,2015-05-31,23373000.0,,,0.5366085766966038,2.089104981147053,,,,,,,
skyline corp,SKY,2014-12-01,2015-02-28,23573000.0,2.809237819803595,-0.3571580089912771,0.5365666653560335,2.2273716275021758,,,,,,,
skyline corp,SKY,2014-09-01,2014-11-30,26570000.0,3.1663958287948724,-0.41042782214413026,0.5175056294036464,2.219443513241703,,,,,,,
skyline corp,SKY,2014-06-01,2014-08-31,30014000.0,3.576823650939003,-0.4496353579993622,0.5035890311269888,2.1886500327517417,,,,,,,
skyline corp,SKY,2014-03-01,2014-05-31,52034000.0,-0.006207194795680603,0.00030538529955302966,0.20865650758889193,2.283663067901573,,,,,,,
skyline corp,SKY,2013-12-01,2014-02-28,36347000.0,0.004331538923191842,-0.0006807095586780697,0.4111939089583671,2.0723836389280677,,,,,,,
skyline corp,SKY,2013-09-01,2013-11-30,42059000.0,5.012248481869911,-0.2637272852511499,0.36256857930950864,2.5086515881844025,,,,,,,
skyline corp,SKY,2013-06-01,2013-08-31,44272000.0,5.275975767121061,-0.16433796943575946,0.3527580006140261,2.625576674663222,,,,,,,
skyline corp,SKY,2013-03-01,2013-05-31,45651000.0,,,0.32794028883948945,2.930738368409939,,,,,,,
skyline corp,SKY,2012-12-01,2013-02-28,45606000.0,5.434951003689084,-0.639356929675743,0.3520770585895323,2.5911092597000716,,,,,,,
skyline corp,SKY,2012-09-01,2012-11-30,50971000.0,6.074307933364826,-0.20557142659658093,0.3170538896481496,3.0211191220570406,,,,,,,
skyline corp,SKY,2012-06-01,2012-08-31,52696000.0,6.279879359961408,-0.41328794634025656,0.31229608748988597,3.1309111516907,,,,,,,
skyline corp,SKY,2012-03-01,2012-05-31,56164000.0,,,0.28776504007304454,3.5058919692119064,,,,,,,
skyline corp,SKY,2011-12-01,2012-02-29,57874000.0,6.896951155275666,-0.8803223931993873,0.29602238170538864,3.2473659003831417,,,,,,,
skyline corp,SKY,2011-09-01,2011-11-30,65261000.0,7.777273548475053,-0.4078060416310144,0.2638186986734049,3.7697949971788605,,,,,,,
skyline corp,SKY,2011-06-01,2011-08-31,69439000.0,8.275173502284048,-0.8157312551035341,0.25388962908840845,3.842218400687876,,,,,,,
