company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
skywest inc,SKYW,2023-10-01,2023-12-31,2113502000.0,-1960.5769944341373,-16.24860853432282,0.6992009869215531,0.9024182566738845,2.5229716103560422,43.11,41.91,41.94,52.67,51.87,52.2
skywest inc,SKYW,2023-07-01,2023-09-30,2136698000.0,51.08540142495099,0.5613254913211878,0.6973137437283241,0.9637761576550797,-0.09305848950138537,40.85,40.19,40.72,43.11,41.91,41.94
skywest inc,SKYW,2023-04-01,2023-06-30,9273013000.0,211.53393252275475,0.35173483586924287,-0.3031629447478236,1.0146990464787984,-0.22246785637872915,21.52,21.49,22.17,39.8,39.78,40.38
skywest inc,SKYW,2023-01-01,2023-03-31,9465819000.0,191.65068534753294,-0.4468627887671843,-0.3085612035011939,1.0866815611812148,-0.23327245700443705,15.77,15.6401,16.51,20.92,20.92,21.46
skywest inc,SKYW,2022-10-01,2022-12-31,2347631000.0,138095.9411764706,-2770.823529411765,0.683375248649514,1.1694931443878818,-116.1477761836442,16.4,16.24,16.26,15.77,15.6401,16.51
skywest inc,SKYW,2022-07-01,2022-09-30,2395948000.0,47.35730239361177,0.9561006463344731,0.6785776187504393,1.088192465697326,0.1175409161902938,20.6,20.2101,21.25,16.5,16.06,16.45
skywest inc,SKYW,2022-04-01,2022-06-30,9681678000.0,191.63291239460037,1.0678714223506591,-0.31963252423075555,1.0154128835384797,0.06004857117777361,28.75,28.53,28.85,21.29,20.67,21.13
skywest inc,SKYW,2022-01-01,2022-03-31,9438673000.0,186.97846671949287,0.3513074484944532,-0.32028653686313446,0.9384402182286778,0.045421984440498435,40.01,39.34,39.4,28.49,28.31,28.67
skywest inc,SKYW,2021-10-01,2021-12-31,2267514000.0,206137.63636363635,393.8181818181818,0.6817947144428663,0.8945037798598886,263.2088799192735,49.55,49.31,49.34,40.01,39.34,39.4
skywest inc,SKYW,2021-07-01,2021-09-30,2261807000.0,44.89493846764589,0.19221913457721318,0.6741147830517159,0.9638867770302042,-0.02221823816414604,42.78,42.575,43.07,50.47,49.29,50.54
skywest inc,SKYW,2021-04-01,2021-06-30,9240668000.0,183.54324077384499,1.231358995749414,-0.32165063375288894,1.0193580431204354,-0.033069951992047215,54.82,53.925,54.48,43.68,42.6,42.75
skywest inc,SKYW,2021-01-01,2021-03-31,9076206000.0,180.49170743348049,0.7139163982022829,-0.3164061882450032,1.050863917478047,-0.046889061648118104,40.25,39.64,40.31,54.11,54.11,55.6
skywest inc,SKYW,2020-10-01,2020-12-31,2139545000.0,42.6365556684801,-0.9256491500767222,0.6893637600902024,1.0436222154733563,0.08868029919398321,30.26,29.75,29.86,39.88,39.8,40.51
skywest inc,SKYW,2020-07-01,2020-09-30,2185100000.0,43.54436938283414,0.6708116617843407,0.6766931110227956,1.136496632182197,0.06187622458417201,32.33,31.2901,32.62,30.67,29.26,29.82
skywest inc,SKYW,2020-04-01,2020-06-30,8916345000.0,177.82897885919425,-0.5128639808536098,-0.31637986512795746,0.9590970069570984,0.049342957543651186,26.48,25.47,26.19,31.39,30.4,32.86
skywest inc,SKYW,2020-01-01,2020-03-31,8824849000.0,175.5245738608111,0.596455635777791,-0.32477173379633834,0.7540062539037872,-0.037831838185522444,64.21,64.16,64.63,26.0,23.5,26.16
skywest inc,SKYW,2019-10-01,2019-12-31,2175014000.0,43.15932136124616,1.4391705526341898,0.6732804787168764,0.8222836972085358,-0.0025941690250909405,57.56,57.13,57.4,64.94,64.12,64.54
skywest inc,SKYW,2019-07-01,2019-09-30,2116260000.0,41.70299136877784,1.7999251172506208,0.6792407731287718,0.8428040880297107,-0.03734889662930254,57.96,57.6901,60.67,58.68,56.89,57.13
skywest inc,SKYW,2019-04-01,2019-06-30,8632264000.0,168.78021311956203,1.721615016130609,-0.3118904367905321,0.841051925532282,,,,,57.96,57.6901,60.67
skywest inc,SKYW,2019-01-01,2019-03-31,8545099000.0,166.11778771384138,1.7142496111975116,-0.3056852651954334,0.8265859326984207,,,,,,,
skywest inc,SKYW,2018-10-01,2018-12-31,1964281000.0,38.03060987415295,1.2992255566311715,0.6888618661942606,1.103768708924706,,,,,,,
