company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
seritage growth properties,SRG,2023-10-01,2023-12-31,563164000.0,46930.333333333336,204.91666666666666,0.42172212957866806,2.371229607986365,-451.57952069716777,7.65,7.63,7.74,9.6,9.34,9.35
seritage growth properties,SRG,2023-07-01,2023-09-30,560262000.0,9.972091201965007,-0.03785842692629443,0.4487183776284328,2.2285692983764154,-0.2970111193321697,9.06,8.849,8.92,7.65,7.63,7.74
seritage growth properties,SRG,2023-04-01,2023-06-30,561682000.0,9.999145496946932,-1.7255977070834743,0.5190942894790692,-2.0794097015749125,-0.586921832641783,7.62,7.51,7.87,8.8,8.8,8.94
seritage growth properties,SRG,2023-01-01,2023-03-31,657955000.0,11.736830838937548,-1.127579871207121,0.5660995019035554,-2.304675851691985,-0.354657972514126,11.63,11.62,11.83,7.69,7.52,7.57
seritage growth properties,SRG,2022-10-01,2022-12-31,722599000.0,339.4077031470174,42.85063410051667,0.6076501272451148,1.645683848588447,-12.97873633997752,8.73,8.65,9.02,11.63,11.62,11.83
seritage growth properties,SRG,2022-07-01,2022-09-30,630645000.0,11.391503043658894,-0.08424703310995105,0.6930459872496137,1.4429056922593952,,5.15,4.9,5.21,8.81,8.44,8.68
seritage growth properties,SRG,2022-03-31,2022-06-30,,,,,,,12.58,12.4,12.53,5.46,5.095,5.25
seritage growth properties,SRG,2022-01-01,2022-03-31,777124000.0,17.81005637805381,-1.224503827290645,0.6673232096432622,1.4985242316606675,-0.002161234593176081,12.99,12.98,13.23,12.58,12.4,12.53
seritage growth properties,SRG,2021-10-01,2021-12-31,844800000.0,2025.8992805755395,171.99040767386091,0.6500614297939886,1.5383161562391277,-25.437334343051877,15.2,14.78,14.83,12.99,12.98,13.23
seritage growth properties,SRG,2021-07-01,2021-09-30,751689000.0,17.228323898145813,-0.49870504916229286,0.6986863381897506,1.4312574117177286,0.0032546943923045697,17.95,17.7,18.4,15.22,14.94,15.02
seritage growth properties,SRG,2021-04-01,2021-06-30,774889000.0,18.116735247358086,-1.731623492004115,0.6903581291435518,-3.2295373918070847,-0.0016893200699958214,18.31,18.0,18.35,18.11,17.92,17.97
seritage growth properties,SRG,2021-01-01,2021-03-31,871400000.0,22.073612483218078,-0.226587633305469,0.666433928347221,-2.9979068166169385,-0.002158970589933343,14.15,13.7722,14.68,17.89,17.63,18.29
seritage growth properties,SRG,2020-10-01,2020-12-31,882727000.0,7005.769841269841,-282.58730158730157,0.66676255396964,1.4997842845948628,-0.7350185568007349,13.13,13.13,13.45,14.5,14.25,14.3
seritage growth properties,SRG,2020-07-01,2020-09-30,939795000.0,24.31866994436538,-1.3268986932332774,0.6573861243923201,1.5211760073646032,0.0429582379936974,11.56,11.18,11.4,13.65,12.784,13.1
seritage growth properties,SRG,2020-04-01,2020-06-30,1011962000.0,26.193560076616453,-0.029844178702697108,0.6358456488938037,-2.746088291852856,-0.00451234773290669,7.09,6.9306,9.11,11.16,10.5,11.68
seritage growth properties,SRG,2020-01-01,2020-03-31,1012368000.0,27.190803609798024,-0.5879082509669102,0.6337795836154955,-2.7305959888103932,-0.0008783822381942182,39.72,39.72,40.08,7.99,6.7506,7.08
seritage growth properties,SRG,2019-10-01,2019-12-31,1043370000.0,28.31704934049829,-0.7022200510231775,0.6206771438501686,1.6111435871423032,-0.0007740741646460171,42.95,42.41,42.49,39.73,39.5,39.93
seritage growth properties,SRG,2019-07-01,2019-09-30,1079209000.0,29.303239295120694,-0.3286268972820332,0.6136296102173924,1.6296475648326798,-0.0008293498159408309,43.74,42.78,42.96,43.2,42.49,42.87
seritage growth properties,SRG,2019-04-01,2019-06-30,1095520000.0,30.187098729712602,-0.49951778677909126,0.6085678310444528,-2.554721045713451,,,,,43.74,42.78,42.96
seritage growth properties,SRG,2019-01-01,2019-03-31,1122980000.0,31.481595693981106,-0.22965434106136637,0.604560140149481,-2.5288295428235585,,,,,,,
seritage growth properties,SRG,2018-10-01,2018-12-31,1150458000.0,32.326224395178286,-1.5745876534884375,0.5999904035915602,1.6666933237831316,,,,,,,
seritage growth properties,SRG,2018-07-01,2018-09-30,1251405000.0,35.153800775324456,-0.658492050115175,0.5779461025093793,1.7302651504320359,,,,,,,
seritage growth properties,SRG,2018-04-01,2018-06-30,1299194000.0,36.61454781162811,-0.22534734943494067,0.5031018034060938,1.9876692813061134,,,,,,,
