company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
triumph group inc,TGI,2023-10-01,2023-12-31,-670280000.0,-8.716821639898564,-0.2068014825411275,1.3997895718789777,2.659573189231271,-0.051742468475220266,7.76,7.6,7.66,16.84,16.57,16.58
triumph group inc,TGI,2023-07-01,2023-09-30,1004916000.0,13.145264039138226,-0.016952921631980325,0.39938032384772987,2.85162112596821,0.06464243537659721,12.44,12.34,12.37,7.76,7.6,7.66
triumph group inc,TGI,2023-04-01,2023-06-30,897994000.0,13.534809411126352,-0.273757668018147,0.4557143705700733,2.4879408438251724,-0.0029142328136992006,11.58,11.385,11.59,12.36,12.32,12.36
triumph group inc,TGI,2023-01-01,2023-03-31,-797396000.0,-15334.538461538461,-337.36538461538464,1.4649962328934878,2.351865848373996,112.14759859429911,9.85,9.8,10.52,11.44,11.28,11.48
triumph group inc,TGI,2022-10-01,2022-12-31,-688063000.0,-10.574847078351212,0.1683213967356223,1.430768450602645,2.22455723221161,0.023830697780994402,8.8,8.58,8.59,9.85,9.8,10.52
triumph group inc,TGI,2022-07-01,2022-09-30,866171000.0,13.318331385694076,1.637954363737007,0.44769153859593414,2.2462049895746103,-0.0010546739060197233,12.64,12.52,13.29,9.21,8.67,8.82
triumph group inc,TGI,2022-04-01,2022-06-30,862174000.0,13.301049058932428,-0.1595495217525455,0.4829420298285837,1.6282468309016982,-0.002672945999012361,25.58,25.176,25.28,12.93,12.54,12.93
triumph group inc,TGI,2022-01-01,2022-03-31,-787423000.0,-15142.75,-203.3653846153846,1.4471032259310026,1.5994008067850993,-1.1567853543836077,18.32,18.25,18.27,26.41,25.55,25.61
triumph group inc,TGI,2021-10-01,2021-12-31,-812038000.0,-12.566162702527043,0.11200693273084601,1.4633494604114374,1.64828467930961,-0.02259623947744469,18.79,18.425,18.63,18.32,18.25,18.27
triumph group inc,TGI,2021-07-01,2021-09-30,971848000.0,15.05690603454954,-0.14052211635293207,0.46029942517341704,1.763865867652684,-0.002731353476894847,20.46,20.28,20.75,19.18,18.671,18.79
triumph group inc,TGI,2021-04-01,2021-06-30,1057267000.0,16.442977340238574,-0.47202911398311015,0.4386668811617564,1.7900092589137038,-0.3037281287616594,18.46,18.19,18.38,21.06,20.48,20.51
triumph group inc,TGI,2021-01-01,2021-03-31,-818853000.0,-1335.8123980424143,-119.93311582381729,1.3340982114988769,2.163843829129122,10.324304611954458,12.57,12.41,12.56,17.48,17.48,18.34
triumph group inc,TGI,2020-10-01,2020-12-31,-1069830000.0,-20.382373113854594,-1.297744246303917,1.4454058041851483,2.093517685792713,-0.01564356718173239,6.73,6.46,6.51,12.16,12.16,12.64
triumph group inc,TGI,2020-07-01,2020-09-30,1469068000.0,28.245332718078867,-0.6438830247447656,0.4201257191351629,2.172766682194878,0.9143031664364998,9.55,8.8,9.01,6.99,6.58,6.63
