company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"hanover insurance group, inc.",THG,2023-10-01,2023-12-31,2465600000.0,,,0.8312689049176738,1.2029801597102165,,111.91,110.94,110.98,121.69,120.03,121.42
"hanover insurance group, inc.",THG,2023-07-01,2023-09-30,2116300000.0,59.114525139664806,0.24022346368715083,0.8521620677610897,1.1734856992958267,-0.007305658306906233,112.41,112.2525,113.03,111.91,110.94,110.98
"hanover insurance group, inc.",THG,2023-04-01,2023-06-30,2237900000.0,62.68627450980392,-1.938375350140056,0.8422536601182798,1.187290773968934,-0.006199662963777061,129.22,128.35,128.5,110.74,110.74,111.98
"hanover insurance group, inc.",THG,2023-01-01,2023-03-31,2389000000.0,67.1067415730337,-0.33707865168539325,0.8304675802067883,1.2041409247438626,-0.007245940002791029,136.07,134.33,135.13,127.2,126.64,128.11
"hanover insurance group, inc.",THG,2022-10-01,2022-12-31,2325600000.0,,,0.8338524847826708,1.1992528873504917,,130.29,127.81,128.14,136.07,134.33,135.13
"hanover insurance group, inc.",THG,2022-07-01,2022-09-30,2295900000.0,64.49157303370787,0.0056179775280898875,0.8329756509213656,1.2005152838427948,-0.007388455930611395,142.95,142.95,146.25,130.45,128.55,129.99
"hanover insurance group, inc.",THG,2022-04-01,2022-06-30,2571800000.0,72.24157303370787,0.6348314606741573,0.8109095721606658,1.2331831246429898,-0.005458145154620124,150.79,149.52,149.52,145.68,144.01,144.18
"hanover insurance group, inc.",THG,2022-01-01,2022-03-31,2832800000.0,79.79718309859155,2.952112676056338,0.7954243457161014,1.2571905868681,-0.00988312361612512,133.39,131.53,131.75,151.12,149.74,150.95
"hanover insurance group, inc.",THG,2021-10-01,2021-12-31,3144900000.0,-31449.0,-1635.0,0.7793718386732424,1.2830845950276342,3.4742633205215165,132.69,129.61,129.62,133.39,131.53,131.75
"hanover insurance group, inc.",THG,2021-07-01,2021-09-30,3102300000.0,86.89915966386555,0.9523809523809523,0.780061395362027,1.2819503771698628,-0.009193145508074164,135.59,134.97,135.64,132.57,131.83,132.02
"hanover insurance group, inc.",THG,2021-04-01,2021-06-30,3154000000.0,87.85515320334262,3.5793871866295266,0.7702522563209767,1.2982759762060128,-0.019329975007129123,130.99,129.46,129.46,135.71,135.29,136.07
"hanover insurance group, inc.",THG,2021-01-01,2021-03-31,3046800000.0,83.7032967032967,2.5467032967032965,0.7734384295062463,1.2929277391070262,-0.016931237921439055,116.34,115.4,116.92,131.34,130.88,131.29
"hanover insurance group, inc.",THG,2020-10-01,2020-12-31,3202200000.0,-10674.0,-548.6666666666666,0.7618066454919404,1.31266904262071,5.163659933023658,92.57,92.0,93.18,116.14,115.89,116.13
"hanover insurance group, inc.",THG,2020-07-01,2020-09-30,3155000000.0,83.6870026525199,3.1538461538461537,0.7644432498618764,1.3081415790912998,0.013698459545958332,100.11,99.575,101.33,92.37,90.96,92.0
"hanover insurance group, inc.",THG,2020-04-01,2020-06-30,3071700000.0,80.83421052631579,3.031578947368421,0.7607449410371847,1.3145010187469923,-0.02683122387033961,91.9,90.27,90.58,97.24,95.9,100.02
"hanover insurance group, inc.",THG,2020-01-01,2020-03-31,2736600000.0,71.45169712793734,-1.0443864229765014,0.7771026438822553,1.2868312929733356,-0.0016292182857326862,136.22,136.185,136.67,91.41,85.9,92.68
"hanover insurance group, inc.",THG,2019-10-01,2019-12-31,2916200000.0,-9720.666666666666,-366.0,0.7665265601857412,1.3045862360694778,7.766654307254974,134.85,134.3002,135.54,136.42,135.65,136.15
