company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
timberland bancorp inc,TSBK,2023-10-01,2023-12-31,237369000.0,29.25349840015213,0.7759228287070249,0.8747469150948624,1.1431877983720062,0.22278282726244156,27.25,27.09,27.1,31.71,31.46,31.46
timberland bancorp inc,TSBK,2023-07-01,2023-09-30,233073000.0,-8519.68417589648,-242.78977958109442,0.8733233509338797,1.145051256136298,-36.32410335712642,25.79,25.57,25.58,27.25,27.09,27.1
timberland bancorp inc,TSBK,2023-04-01,2023-06-30,229263000.0,28.106871406309633,0.7730943549032706,0.8731751113146833,1.1452456523805,0.06467364503290379,27.35,26.76,27.02,25.32,25.32,25.65
timberland bancorp inc,TSBK,2023-01-01,2023-03-31,227661000.0,27.694193027896493,0.8105314838504369,0.8725743275842961,-7.847712168531281,-0.19886845551719382,33.76,33.64,34.13,27.59,26.96,27.16
timberland bancorp inc,TSBK,2022-10-01,2022-12-31,223549000.0,27.155197598524733,0.9118988157948601,0.8782110371639144,-8.210924674232494,-0.14782670170055626,27.67,27.46,27.65,33.76,33.64,34.13
timberland bancorp inc,TSBK,2022-07-01,2022-09-30,218569000.0,-10730.472777259562,-346.1141931366292,0.8825218703708879,1.1331163947016303,68.77161674547956,24.72,24.72,25.0,27.36,27.2601,27.55
timberland bancorp inc,TSBK,2022-04-01,2022-06-30,214319000.0,25.885700426937294,0.6930423763164544,0.8864712534994531,1.128068164706276,0.019319702009152697,27.42,27.0,27.01,24.66,24.66,24.83
timberland bancorp inc,TSBK,2022-01-01,2022-03-31,212269000.0,25.459834214642513,0.6389276665994595,0.8869388059463,-8.844767723972883,0.17965196931801897,27.67,27.55,27.69,28.03,27.4101,27.57
timberland bancorp inc,TSBK,2021-10-01,2021-12-31,210375000.0,25.176321010389337,0.6564093677575069,0.8851210222386042,-8.7048128342246,0.14264381531318368,28.54,28.26,28.9,27.67,27.55,27.69
timberland bancorp inc,TSBK,2021-07-01,2021-09-30,206899000.0,47097.42772592761,1369.9066697017984,0.8845545648316575,1.1305125085079555,364.85974375461024,28.28,28.06,28.12,28.23,28.16,28.5
