company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
tsr inc,TSRI,2023-09-01,2023-11-30,17359234.0,8.097745406099326,0.2145740659193026,0.28456579593877557,3.3170909047686297,-0.07880387145197153,8.2,8.2,8.5,7.4,7.21,8.38
tsr inc,TSRI,2023-06-01,2023-08-31,16847079.0,7.85883504873789,0.2550659790121061,0.28991590050692356,3.1718901647979165,-0.022370327012928258,6.5,6.43,6.45,7.94,7.94,8.39
tsr inc,TSRI,2023-03-01,2023-05-31,16249888.0,15946.896957801766,484.6378802747792,0.3040102477809124,3.0058840369132245,-5.301636438668678,8.87,8.87,8.9468,6.5099,6.4695,6.53
tsr inc,TSRI,2022-12-01,2023-02-28,15762211.0,7.383944515754266,0.037308049056992684,0.3381351415721822,2.6715441292603264,-0.008683252015526345,7.5201,7.5201,7.5943,8.35,8.35,8.8329
tsr inc,TSRI,2022-09-01,2022-11-30,15749202.0,7.359918237679924,0.3148956871497728,0.36072198643281844,2.49732015366722,-0.006261013450886585,8.69,8.34,8.34,,,
tsr inc,TSRI,2022-06-01,2022-08-31,15109524.0,7.039315184900822,0.23049521814644472,0.38423956549662114,2.3080118568173638,-0.003864605274730431,7.46,7.46,7.49,8.8,8.42,8.74
tsr inc,TSRI,2022-03-01,2022-05-31,14532565.0,352.9120425459579,8.04419728502392,0.4032853832734322,2.16967716244672,-0.3971913138885401,9.51,9.48,9.49,7.1701,7.1701,7.36
tsr inc,TSRI,2021-12-01,2022-02-28,14288962.0,7.047597674765005,-0.0229894638405835,0.39230790495158313,2.2251149153373557,0.09996326149028607,8.61,8.61,8.69,9.25,9.2,9.63
tsr inc,TSRI,2021-09-01,2021-11-30,12462020.0,6.35149144114712,0.12386764536492731,0.4277636315856152,1.9955225592938868,-0.0007790772958697356,10.77,9.56,9.98,9.21,8.38,8.75
tsr inc,TSRI,2021-06-01,2021-08-31,12055586.0,6.14434508185776,3.2626609148946364,0.4675654237761225,1.8247529272692886,-0.00378120192861075,8.02,8.02,8.1102,11.1,9.94,10.77
tsr inc,TSRI,2021-03-01,2021-05-31,5421052.0,,,0.7516703569902498,2.0501067776424042,,9.88,9.51,9.87,8.02,8.02,8.1102
tsr inc,TSRI,2020-12-01,2021-02-28,5303914.0,2.703234658232003,-0.15541252009365658,0.7475036662309955,2.1417507474788753,-0.00523396391252043,7.05,7.05,7.2499,9.88,9.51,9.87
tsr inc,TSRI,2020-09-01,2020-11-30,5545796.0,,,0.7240060330738135,2.3039843397387383,,4.98,4.98,4.98,6.9872,6.7409,7.0
tsr inc,TSRI,2020-06-01,2020-08-31,5793106.0,,,0.70168011836589,2.9119206241374496,,,,,4.61,4.61,4.795
tsr inc,TSRI,2020-03-01,2020-05-31,5790183.0,,,0.6932450888978363,3.2639076901334563,,3.88,3.46,3.46,,,
tsr inc,TSRI,2019-12-01,2020-02-29,5354655.0,,,0.5661635514041408,1.7838989019844258,,3.2,3.2,3.2001,3.88,3.46,3.46
tsr inc,TSRI,2019-09-01,2019-11-30,6314439.0,,,0.4660465491492643,1.977812089875137,,4.3,4.29,4.29,3.2,3.2,3.2001
tsr inc,TSRI,2019-06-01,2019-08-31,6257681.0,,,0.483202267749393,1.908444995711629,,,,,4.3,4.29,4.29
tsr inc,TSRI,2019-03-01,2019-05-31,6917023.0,,,0.44814560546411425,2.108195264407645,,,,,4.8502,4.8502,4.8502
tsr inc,TSRI,2018-12-01,2019-02-28,7509557.0,,,0.3851667770047652,2.512005419587592,,,,,,,
tsr inc,TSRI,2018-09-01,2018-11-30,8189517.0,,,0.3920192136228987,2.5225270897180554,,,,,,,
tsr inc,TSRI,2018-06-01,2018-08-31,8281114.0,,,0.38980219576815484,2.5365782609796974,,,,,,,
tsr inc,TSRI,2018-03-01,2018-05-31,8268778.0,,,0.3816557637788316,2.589717640609028,,,,,,,
tsr inc,TSRI,2017-12-01,2018-02-28,8122460.0,,,0.33866421319177,2.914453147539092,,,,,,,
