company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
united bankshares inc/wv,UBSI,2023-10-01,2023-12-31,4771240000.0,35.42359920113445,0.5894231982834784,0.8405679625156074,1.1896717988242769,0.13556216283135317,27.49,27.465,27.59,38.09,37.53,37.55
united bankshares inc/wv,UBSI,2023-07-01,2023-09-30,4648878000.0,34.5166722352155,0.712254519805472,0.8409269197928307,1.1891639766346858,-0.12893992169134658,30.51,29.63,29.67,27.49,27.465,27.59
united bankshares inc/wv,UBSI,2023-04-01,2023-06-30,4637043000.0,34.42931179139164,0.6848377300772927,0.8438424819338675,-6.403790303432597,-0.1171487239920567,35.27,34.85,35.2,29.93,29.84,30.09
united bankshares inc/wv,UBSI,2023-01-01,2023-03-31,4606537000.0,34.27202386709421,0.7295608246348885,0.8473759122127479,-6.552045712429966,0.09747489293767377,40.64,40.12,40.49,36.94,34.875,35.03
united bankshares inc/wv,UBSI,2022-10-01,2022-12-31,4516193000.0,33.6356615127953,0.7430288676378586,0.8468535791529018,1.180841676314681,0.06480096950026455,35.89,35.7,35.75,40.64,40.12,40.49
united bankshares inc/wv,UBSI,2022-07-01,2022-09-30,4440086000.0,33.09002697828323,0.7624867716981414,0.8471490844183731,1.180429771327168,,34.55,34.41,35.07,36.14,35.62,35.89
united bankshares inc/wv,UBSI,2022-03-31,2022-06-30,,,0.7102278213975324,,,,36.47,35.11,35.36,35.42,34.9601,35.21
united bankshares inc/wv,UBSI,2022-01-01,2022-03-31,4595140000.0,33.773390759823016,0.5986270561084244,0.8435191541533196,-6.39055850311416,0.013053296917169327,36.55,36.27,36.32,36.47,35.11,35.36
united bankshares inc/wv,UBSI,2021-10-01,2021-12-31,4718628000.0,36.03656636627463,0.5640140522376661,0.8391133769685616,1.1917340700879642,-0.02040386174680986,36.69,36.36,36.38,36.55,36.27,36.32
united bankshares inc/wv,UBSI,2021-07-01,2021-09-30,4430766000.0,34.41024207264509,0.7136133827264043,0.8389252654101786,1.1920012916896316,0.04244518065182473,36.47,36.1904,36.5,35.34,35.12,36.32
united bankshares inc/wv,UBSI,2021-04-01,2021-06-30,4393713000.0,34.12566115991332,0.7344641983363236,0.8384125277675354,-6.188598572551279,0.02190091311854475,39.06,38.4,38.58,37.52,36.53,36.63
