company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
unitedhealth group inc,UNH,2023-10-01,2023-12-31,98919000000.0,-49459.5,-2727.5,0.6386124506795265,0.7918610051083248,7.017750318721192,509.85,503.8,504.19,525.98,523.92,526.47
unitedhealth group inc,UNH,2023-07-01,2023-09-30,93980000000.0,101.49028077753779,6.3077753779697625,0.6668120242640828,0.8049203443715569,-0.016049594693512383,478.0,475.12,480.64,509.85,503.8,504.19
unitedhealth group inc,UNH,2023-04-01,2023-06-30,92156000000.0,99.09247311827957,5.886021505376344,0.6710640910323953,0.7954346306016056,-0.023851027653418275,471.52,470.1,472.59,475.08,473.08,476.44
unitedhealth group inc,UNH,2023-01-01,2023-03-31,90622000000.0,97.12968917470525,6.013933547695606,0.6805473792561311,0.8060902113631291,0.02667394689478048,530.0,524.84,530.18,466.57,461.075,470.06
unitedhealth group inc,UNH,2022-10-01,2022-12-31,86347000000.0,-86347.0,-4761.0,0.6485745100832299,0.7739950917220435,-8.593230287614947,511.1,504.84,505.04,530.0,524.84,530.18
unitedhealth group inc,UNH,2022-07-01,2022-09-30,82921000000.0,88.6855614973262,5.627807486631016,0.6588511667708916,0.8216872244513796,-0.007114158184848364,513.55,509.72,513.63,514.77,502.47,508.83
unitedhealth group inc,UNH,2022-04-01,2022-06-30,81127000000.0,86.58164354322305,5.4108858057630735,0.6475374937003632,0.7706599923335362,0.001952436903369027,517.1,509.67,509.97,508.85,506.01,515.71
unitedhealth group inc,UNH,2022-01-01,2022-03-31,77647000000.0,82.5154091392136,5.342189160467588,0.6490340719044648,0.782908018600431,0.004820465587932667,507.93,503.65,504.43,515.11,512.48,520.82
unitedhealth group inc,UNH,2021-10-01,2021-12-31,76479000000.0,-76479.0,-4071.0,0.639600199805849,0.7888162264343739,9.03384891279982,401.49,390.46,390.74,507.93,503.65,504.43
unitedhealth group inc,UNH,2021-07-01,2021-09-30,74632000000.0,79.14316012725345,4.332979851537646,0.6496890328334389,0.7742381401193842,-0.011729079757795703,397.54,396.8,400.44,397.0,395.8,400.41
unitedhealth group inc,UNH,2021-04-01,2021-06-30,73321000000.0,77.67055084745763,4.5190677966101696,0.6513371882905674,0.7695703854644252,-0.0006194533352731504,372.8,371.8,372.07,401.97,397.48,398.1
unitedhealth group inc,UNH,2021-01-01,2021-03-31,70582000000.0,74.6899470899471,5.144973544973545,0.6559845202294672,0.7379372775635222,0.0024136454695230488,345.04,344.05,350.68,377.55,371.8,373.56
unitedhealth group inc,UNH,2020-10-01,2020-12-31,70539000000.0,,,0.642458525310585,0.7417564208782105,,304.02,303.99,311.77,347.08,344.47,344.99
unitedhealth group inc,UNH,2020-07-01,2020-09-30,69951000000.0,73.63263157894737,3.3389473684210524,0.6337049468761946,0.8231752181029175,-0.018304415785278774,288.57,287.66,294.95,303.67,300.68,304.15
unitedhealth group inc,UNH,2020-04-01,2020-06-30,68357000000.0,72.03055848261327,6.993677555321391,0.644867338933828,0.8430948871685532,-0.027174463430936355,243.48,243.0,249.38,288.45,286.615,289.76
unitedhealth group inc,UNH,2020-01-01,2020-03-31,61604000000.0,64.91464699683878,3.5637513171759747,0.674168416487277,0.7481235529094471,0.033381973963710926,293.66,291.15,293.98,242.64,242.64,251.28
unitedhealth group inc,UNH,2019-10-01,2019-12-31,62162000000.0,-62162.0,-3541.0,0.6425190782625698,0.6900715418730374,29.0769518816701,213.64,213.12,217.32,296.05,293.45,293.85
unitedhealth group inc,UNH,2019-07-01,2019-09-30,59747000000.0,62.957850368809275,3.7281348788198105,0.6560512120845783,0.6950878817387973,-0.000239389386073095,246.5,238.65,244.01,218.18,215.02,215.26
unitedhealth group inc,UNH,2019-04-01,2019-06-30,58056000000.0,61.11157894736842,3.466315789473684,0.6527751196172249,0.6744641252727506,,,,,246.5,238.65,244.01
unitedhealth group inc,UNH,2019-01-01,2019-03-31,56505000000.0,58.98225469728601,3.6189979123173277,0.6494661811324032,0.7265029779580201,,,,,,,
unitedhealth group inc,UNH,2018-10-01,2018-12-31,56227000000.0,,,0.6306225816411665,0.727170215565036,,,,,,,
unitedhealth group inc,UNH,2018-07-01,2018-09-30,54365000000.0,56.512474012474016,3.313929313929314,0.640174204266416,0.6874079855260123,,,,,,,
unitedhealth group inc,UNH,2018-04-01,2018-06-30,52622000000.0,54.757544224765866,3.040582726326743,0.6596490547244375,0.7515309740217881,,,,,,,
unitedhealth group inc,UNH,2018-01-01,2018-03-31,51926000000.0,53.7536231884058,2.9358178053830226,0.6662188482281174,0.7145728346165783,,,,,,,
unitedhealth group inc,UNH,2017-10-01,2017-12-31,52022000000.0,26011.0,1808.5,0.6258971076816868,0.7348750569724353,,,,,,,
unitedhealth group inc,UNH,2017-07-01,2017-09-30,49480000000.0,51.11570247933884,2.5671487603305785,0.6476586532983936,0.7044656383418262,,,,,,,
unitedhealth group inc,UNH,2017-04-01,2017-06-30,46993000000.0,48.74792531120332,2.3692946058091287,0.6597102036974011,0.7219586491833127,,,,,,,
unitedhealth group inc,UNH,2017-01-01,2017-03-31,45662000000.0,47.863731656184484,2.2767295597484276,0.6670822488097582,0.7123194828215421,,,,,,,
unitedhealth group inc,UNH,2016-10-01,2016-12-31,40189000000.0,,,0.6727546616725022,0.6878705433281898,,,,,,,
unitedhealth group inc,UNH,2016-07-01,2016-09-30,39491000000.0,41.482142857142854,2.0672268907563027,0.6806020607884052,0.7000156568028808,,,,,,,
unitedhealth group inc,UNH,2016-04-01,2016-06-30,38031000000.0,39.99053627760252,1.8443743427970558,0.6820230261782732,0.7028453225261736,,,,,,,
unitedhealth group inc,UNH,2016-01-01,2016-03-31,36891000000.0,38.71038824763903,1.6904512067156348,0.686979763268423,0.7290698930539051,,,,,,,
unitedhealth group inc,UNH,2015-10-01,2015-12-31,35461000000.0,,,0.6816300512645557,0.7375402116648795,,,,,,,
unitedhealth group inc,UNH,2015-07-01,2015-09-30,34693000000.0,36.40398740818468,1.6757607555089191,0.6795755135215014,0.7492553750657022,,,,,,,
unitedhealth group inc,UNH,2015-04-01,2015-06-30,34635000000.0,36.3813025210084,1.6649159663865547,0.621156601730418,0.7712710892252596,,,,,,,
unitedhealth group inc,UNH,2015-01-01,2015-03-31,33330000000.0,34.937106918238996,1.4811320754716981,0.628506782286918,0.7654525701869747,,,,,,,
unitedhealth group inc,UNH,2014-10-01,2014-12-31,33842000000.0,-6768.4,-302.0,0.6082285661364636,0.7692257453547987,,,,,,,
unitedhealth group inc,UNH,2014-07-01,2014-09-30,33990000000.0,35.077399380804955,1.653250773993808,0.6021117692505794,0.7376485705107613,,,,,,,
unitedhealth group inc,UNH,2014-04-01,2014-06-30,34238000000.0,34.972420837589375,1.4382022471910112,0.5993962511408045,0.7424941512867169,,,,,,,
unitedhealth group inc,UNH,2014-01-01,2014-03-31,33817000000.0,34.40183112919634,1.118006103763988,0.6003757888019664,0.7280895949993489,,,,,,,
unitedhealth group inc,UNH,2013-10-01,2013-12-31,33324000000.0,-11108.0,-475.6666666666667,0.5930241078625339,0.7309637387468169,,,,,,,
unitedhealth group inc,UNH,2013-07-01,2013-09-30,33146000000.0,33.01394422310757,1.5637450199203187,0.5951040152449825,0.7605411418523702,,,,,,,
unitedhealth group inc,UNH,2013-04-01,2013-06-30,32150000000.0,31.86323092170466,1.423191278493558,0.5991321803967532,0.780836962696459,,,,,,,
unitedhealth group inc,UNH,2013-01-01,2013-03-31,33945000000.0,33.41043307086614,1.1732283464566928,0.5916440102976205,0.8357061398668285,,,,,,,
unitedhealth group inc,UNH,2012-10-01,2012-12-31,33299000000.0,-11099.666666666666,-414.6666666666667,0.5883167459974037,0.7763681958991001,,,,,,,
unitedhealth group inc,UNH,2012-07-01,2012-09-30,30223000000.0,29.572407045009786,1.5234833659491194,0.5784797768479777,0.8180501347925804,,,,,,,
unitedhealth group inc,UNH,2012-04-01,2012-06-30,29375000000.0,28.57490272373541,1.3005836575875487,0.6001497311645001,0.8227563986532962,,,,,,,
unitedhealth group inc,UNH,2012-01-01,2012-03-31,28856000000.0,27.77285851780558,1.3358999037536092,0.6030265511074425,0.8262326123370476,,,,,,,
unitedhealth group inc,UNH,2011-10-01,2011-12-31,28292000000.0,-7073.0,-314.5,0.5832609111932714,0.8506813811554218,,,,,,,
unitedhealth group inc,UNH,2011-07-01,2011-09-30,27872000000.0,26.17089201877934,1.1934272300469484,0.6069383725849669,0.8563840939268992,,,,,,,
unitedhealth group inc,UNH,2011-04-01,2011-06-30,27363000000.0,25.453953488372093,1.1786046511627908,0.5861302276336686,0.8381472060392221,,,,,,,
unitedhealth group inc,UNH,2011-01-01,2011-03-31,26571000000.0,24.46685082872928,1.2394106813996317,0.5933113951174714,0.8080075019366413,,,,,,,
unitedhealth group inc,UNH,2010-04-01,2010-06-30,24829000000.0,22.03105590062112,0.9964507542147294,0.5890871177015755,0.8216248971994979,,,,,,,
unitedhealth group inc,UNH,2010-01-01,2010-03-31,24319000000.0,21.23930131004367,1.040174672489083,0.5915587578307385,0.8011071397437015,,,,,,,
unitedhealth group inc,UNH,2009-10-01,2009-12-31,23606000000.0,-4721.2,-188.8,0.6002032348208993,0.821188467265262,,,,,,,
unitedhealth group inc,UNH,2009-07-01,2009-09-30,22898000000.0,19.85949696444059,0.8976582827406765,0.6014203902591864,0.8763737655102558,,,,,,,
unitedhealth group inc,UNH,2009-04-01,2009-06-30,21545000000.0,18.414529914529915,0.7341880341880341,0.6145106459116121,0.7980867087319357,,,,,,,
unitedhealth group inc,UNH,2009-01-01,2009-03-30,,,70.28571428571429,,,,,,,,,
