company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"universal insurance holdings, inc.",UVE,2023-10-01,2023-12-31,341297000.0,-1322.8565891472867,-77.51550387596899,0.852670834050992,1.1727855112025531,3.5447855446845056,13.81,13.6,14.02,16.05,15.85,15.98
"universal insurance holdings, inc.",UVE,2023-07-01,2023-09-30,301502000.0,10.180031738528548,-0.19981767228281055,0.8821730813195746,1.1335644004282892,-0.03789163331384141,15.56,15.28,15.43,13.81,13.6,14.02
"universal insurance holdings, inc.",UVE,2023-04-01,2023-06-30,334672000.0,11.058053857591277,0.9437964645630266,0.8853081380804041,-8.719014438016924,-0.020438224822451577,18.37,18.0,18.22,15.22,15.22,15.46
"universal insurance holdings, inc.",UVE,2023-01-01,2023-03-31,321806000.0,10.591995260351524,0.7955368310183661,0.8738520278163244,-7.927198374175745,-0.017894346220505602,10.42,10.34,10.59,18.9,18.2,18.26
"universal insurance holdings, inc.",UVE,2022-10-01,2022-12-31,287896000.0,-2690.6168224299067,-234.6822429906542,0.9003873150012075,1.110633150133461,10.691022373265364,9.9,9.7701,9.85,10.42,10.34,10.59
"universal insurance holdings, inc.",UVE,2022-07-01,2022-09-30,260637000.0,8.516435760031369,-2.3617174225591424,0.9166466787809244,1.0909328786637067,-0.01998969761738181,12.58,12.54,13.03,9.23,9.03,9.73
"universal insurance holdings, inc.",UVE,2022-04-01,2022-06-30,366551000.0,11.88981154108145,0.23899575075416005,0.8461658877406445,-6.500508796865921,-0.021742613458205922,13.2,13.2,13.49,12.99,12.64,12.72
"universal insurance holdings, inc.",UVE,2022-01-01,2022-03-31,396341000.0,12.724853115869907,0.5629434616495971,0.7733841065093155,-4.412753159526771,-0.018223712484828382,16.89,16.6,16.82,13.47,13.16,13.22
"universal insurance holdings, inc.",UVE,2021-10-01,2021-12-31,429702000.0,-30693.0,3437.5,0.7910153048842468,1.264198042471928,-472.77771733217276,13.13,12.98,13.04,16.89,16.6,16.82
"universal insurance holdings, inc.",UVE,2021-07-01,2021-09-30,494275000.0,15.818318558581623,0.6458219989118955,0.769378246271512,1.2997508115755876,-0.015625847907486074,13.8,13.74,13.88,13.07,12.9,13.09
"universal insurance holdings, inc.",UVE,2021-04-01,2021-06-30,480842000.0,15.391869398207426,0.7022727272727273,0.7946466740834538,-4.869655728908873,-0.01261737089201878,14.4,14.1,14.34,13.93,13.73,13.8
"universal insurance holdings, inc.",UVE,2021-01-01,2021-03-31,454665000.0,14.568860548577288,0.8460971545757499,0.7352678646810131,-3.777403142973398,-0.013374309303509847,14.84,14.63,15.11,14.58,14.45,14.52
"universal insurance holdings, inc.",UVE,2020-10-01,2020-12-31,449262000.0,-1936.4741379310344,76.1853448275862,0.744554769576646,1.3430845397291595,3.7274757817597752,13.74,13.66,13.84,14.74,14.59,14.86
"universal insurance holdings, inc.",UVE,2020-07-01,2020-09-30,474763000.0,14.996146435452793,-0.1001926782273603,0.7684290775852314,1.301356272386873,-0.02853989231816037,17.21,17.21,17.75,14.45,13.65,13.69
"universal insurance holdings, inc.",UVE,2020-04-01,2020-06-30,527701000.0,16.438259298486077,0.6192760575665067,0.7421949006765844,-3.878899225129382,-0.028228339421216324,17.62,17.53,17.92,17.07,16.92,17.33
"universal insurance holdings, inc.",UVE,2020-01-01,2020-03-31,494288000.0,15.166395630695591,0.6156300819244577,0.6801786850062083,-3.126745945683488,-0.01418290320037365,27.83,27.82,27.99,17.13,16.26,17.92
"universal insurance holdings, inc.",UVE,2019-10-01,2019-12-31,493901000.0,-1465.5816023738873,151.55192878338278,0.7128235452818034,1.4028717297836537,2.6683282813064366,29.74,29.7,29.99,28.08,27.86,27.88
"universal insurance holdings, inc.",UVE,2019-07-01,2019-09-30,568981000.0,16.909298939047222,0.598621058575292,0.6889587039258112,1.4514658052824057,-0.03432310831242944,27.54,27.54,27.9,29.3,29.1,29.58
"universal insurance holdings, inc.",UVE,2019-04-01,2019-06-30,566066000.0,16.498090991227304,1.086852612864679,0.7257595598711899,-3.6464352213346145,,,,,27.54,27.54,27.9
"universal insurance holdings, inc.",UVE,2019-01-01,2019-03-31,539050000.0,15.516248812642123,1.15555107797703,0.682513786399304,-3.14974306650589,,,,,,,
"universal insurance holdings, inc.",UVE,2018-10-01,2018-12-31,501633000.0,-35830.92857142857,462.0,0.7300711906542761,1.369729435705878,,,,,,,
"universal insurance holdings, inc.",UVE,2018-07-01,2018-09-30,531024000.0,15.23260950632512,1.0721723415851525,0.691850778955578,1.4453983870764817,,,,,,,
"universal insurance holdings, inc.",UVE,2018-04-01,2018-06-30,492073000.0,14.095877853848577,1.3200607293248159,0.7124527472758647,1.4036018582616199,,,,,,,
"universal insurance holdings, inc.",UVE,2018-01-01,2018-03-31,465094000.0,13.349809121961021,1.14963116048107,0.641050021339701,1.5599406703242062,,,,,,,
