company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
marriott vacations worldwide corp,VAC,2023-10-01,2023-12-31,2382000000.0,-5955.0,-87.5,0.7539256198347107,1.3263907919978075,-0.32146389713155293,101.1,99.54,100.63,86.14,84.57,84.89
marriott vacations worldwide corp,VAC,2023-07-01,2023-09-30,2410000000.0,66.20879120879121,1.1538461538461537,0.7450544800592405,1.3421837285247764,-0.014350002296000369,124.44,122.68,122.72,101.1,99.54,100.63
marriott vacations worldwide corp,VAC,2023-04-01,2023-06-30,2478000000.0,67.15447154471545,2.4390243902439024,0.738662729381987,-3.8264729620661826,-0.031384802790048225,133.84,133.84,134.86,120.92,120.92,123.47
marriott vacations worldwide corp,VAC,2023-01-01,2023-03-31,2480000000.0,66.31016042780749,2.3262032085561497,0.7417204749010623,-3.871774193548387,-0.03924913570975386,132.16,132.16,134.59,133.26,132.54,132.62
marriott vacations worldwide corp,VAC,2022-10-01,2022-12-31,2498000000.0,-3568.5714285714284,-125.71428571428571,0.7408444859425252,1.3498109508472202,-2.307701228068141,123.19,121.42,121.86,132.16,132.16,134.59
marriott vacations worldwide corp,VAC,2022-07-01,2022-09-30,2628000000.0,66.53164556962025,2.759493670886076,0.715492042871062,1.3976395823876533,,116.02,112.7,116.2,123.57,120.82,124.31
marriott vacations worldwide corp,VAC,2022-03-31,2022-06-30,,,,,,,158.12,156.8,158.13,120.86,116.955,118.81
marriott vacations worldwide corp,VAC,2022-01-01,2022-03-31,2824000000.0,66.60377358490567,1.3679245283018868,0.7028306850468273,-3.365084985835694,-0.03773584905660378,170.0,168.63,168.64,158.12,156.8,158.13
marriott vacations worldwide corp,VAC,2021-10-01,2021-12-31,2986000000.0,29860.0,610.0,0.689378965983564,1.4505809566923193,-5.6393281843815135,163.14,157.22,157.33,170.0,168.63,168.64
marriott vacations worldwide corp,VAC,2021-07-01,2021-09-30,3004000000.0,70.02331002331002,0.2331002331002331,0.6852142931992036,1.459397461385533,-0.1385993424411218,158.26,157.75,159.3,165.47,161.94,162.7
marriott vacations worldwide corp,VAC,2021-04-01,2021-06-30,3012000000.0,70.20979020979021,0.1864801864801865,0.7107739581332821,-3.457503320053121,0.06117106361883501,175.67,172.48,174.18,158.08,156.27,158.77
marriott vacations worldwide corp,VAC,2021-01-01,2021-03-31,2738000000.0,66.13526570048309,-0.6038647342995169,0.7019701752476325,-3.3553688823959096,0.04504475859189024,136.74,135.16,137.22,170.4,170.3633,175.49
marriott vacations worldwide corp,VAC,2020-10-01,2020-12-31,2682000000.0,,,0.698583951449764,1.4314671814671815,,91.68,90.23,90.81,134.06,134.06,137.19
marriott vacations worldwide corp,VAC,2020-07-01,2020-09-30,2683000000.0,65.12135922330097,-1.5048543689320388,0.7022528021307292,1.4239886219974716,-0.03786322953356137,80.13,80.13,82.21,94.53,89.73,90.95
marriott vacations worldwide corp,VAC,2020-04-01,2020-06-30,2720000000.0,66.01941747572816,-1.6990291262135921,0.7016562465723374,-3.351838235294118,-0.06371466849430184,56.38,54.67,55.58,78.08,76.81,81.1
marriott vacations worldwide corp,VAC,2020-01-01,2020-03-31,2772000000.0,66.79518072289157,-2.5542168674698793,0.7061068702290076,-3.4025974025974026,0.08707519445397993,129.51,128.7,128.76,59.17,46.89,56.93
marriott vacations worldwide corp,VAC,2019-10-01,2019-12-31,3031000000.0,-5051.666666666667,-123.33333333333333,0.6710440633818103,1.49021510593563,0.6656924825458678,102.65,102.46,103.61,130.56,129.435,129.63
marriott vacations worldwide corp,VAC,2019-07-01,2019-09-30,3122000000.0,71.93548387096774,-0.2073732718894009,0.6553703499282482,1.5258548088260064,-0.028602223632205912,96.67,95.99,96.4,103.71,101.65,102.05
marriott vacations worldwide corp,VAC,2019-04-01,2019-06-30,3270000000.0,73.15436241610739,1.0961968680089484,0.6375928183530977,-2.7593272171253824,,,,,96.67,95.99,96.4
marriott vacations worldwide corp,VAC,2019-01-01,2019-03-31,3351000000.0,73.48684210526316,0.5263157894736842,0.632243195785777,-2.719188301999403,,,,,,,
