company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
westwood holdings group inc,WHG,2023-10-01,2023-12-31,122446000.0,8358.088737201366,-213.31058020477815,0.21087602389683374,3.8739743658497345,-8.2842993285464,10.11,9.98,10.15,12.4664,12.465,12.57
westwood holdings group inc,WHG,2023-07-01,2023-09-30,119803000.0,14.970627439773162,-0.14682843703190626,0.20529217053286544,4.011632133769538,-0.012466046704938696,12.5,12.29,12.4,10.11,9.98,10.15
westwood holdings group inc,WHG,2023-04-01,2023-06-30,115099000.0,14.403168073792914,-0.04730186649661354,0.1900425741529151,3.762860220845677,-0.014239347027505341,10.66,10.66,11.21,12.46,12.14,12.5
westwood holdings group inc,WHG,2023-01-01,2023-03-31,111870000.0,14.243840751644942,0.006366246872103755,0.21106636859216216,4.000454579892416,-0.031184707916965697,10.93,10.61,11.1337,10.57,10.57,10.84
westwood holdings group inc,WHG,2022-10-01,2022-12-31,110648000.0,-4770.955501897206,134.74473956536735,0.24434701250452445,3.3037356648120815,5.160930824952902,9.75,9.55,9.63,10.93,10.61,11.1337
westwood holdings group inc,WHG,2022-07-01,2022-09-30,113507000.0,14.563269977393041,-0.150755832005399,0.1334483574705887,7.220090105122643,-0.024137063476380075,14.0438,13.8,13.8,9.9,9.62,9.8
westwood holdings group inc,WHG,2022-04-01,2022-06-30,115718000.0,14.566328290332635,-0.047581811764338615,0.10934770059649798,8.817909522825863,-0.020876479137230255,15.05,15.05,15.32,14.09,13.83,13.83
westwood holdings group inc,WHG,2022-01-01,2022-03-31,117260000.0,14.908761077631596,0.006357138443472452,0.10499480979422361,9.72601653641409,-0.021521201893328398,16.53,16.53,16.74,15.25,14.76,15.04
westwood holdings group inc,WHG,2021-10-01,2021-12-31,117906000.0,-10753.921926304269,-256.56694636993797,0.15543139572364886,5.9248200984724155,7.836989843395538,19.005,18.7,19.0,16.53,16.53,16.74
westwood holdings group inc,WHG,2021-07-01,2021-09-30,115728000.0,14.67277795746279,0.23823231873075298,0.14441602223832267,6.683462435135745,-0.12123658551154443,21.93,21.67,21.76,19.25,18.4,18.93
westwood holdings group inc,WHG,2021-04-01,2021-06-30,134676000.0,17.08052142541616,0.1230219622104434,0.1155099038512058,8.802842964084448,-0.012874970715964327,14.51,14.44,14.46,22.37,21.91,22.0
westwood holdings group inc,WHG,2021-01-01,2021-03-31,133445000.0,16.919520164969285,0.51996666938843,0.10836941415437246,9.959489946051987,-0.022772189829027803,15.2,14.5,14.5,14.53,14.45,14.48
westwood holdings group inc,WHG,2020-10-01,2020-12-31,130711000.0,-2472.636815920398,-53.25085598622855,0.12363897232353573,8.166355774122435,-0.0,11.56,11.05,11.14,14.04,14.04,15.21
westwood holdings group inc,WHG,2020-07-01,2020-09-30,126492000.0,16.15586632978597,-1.314136140365935,0.12391954787234043,8.316354880533432,0.0,15.51,15.15,15.75,11.6,11.09,11.2
westwood holdings group inc,WHG,2020-04-01,2020-06-30,131429000.0,16.679446344263447,-0.3267891738998119,0.10847843929969271,10.068909887070754,-0.08838438415570556,18.27,18.105,18.31,14.47,14.37,15.48
westwood holdings group inc,WHG,2020-01-01,2020-03-31,138389000.0,16.446700314568144,0.13096607206247676,0.12302125448346662,8.239528124465721,-0.05261942093087288,29.56,29.28,29.62,17.57,17.57,18.49
westwood holdings group inc,WHG,2019-10-01,2019-12-31,148287000.0,-23537.619047619046,-403.3333333333333,0.1702227668753882,5.476984312807305,41.06415320370464,28.09,27.65,27.67,29.68,29.17,29.64
westwood holdings group inc,WHG,2019-07-01,2019-09-30,150059000.0,17.7951089332137,0.13246214274651774,0.15370559406247708,6.538175150033341,-0.02356328712100531,33.07,33.02,35.2,28.21,28.06,28.07
westwood holdings group inc,WHG,2019-04-01,2019-06-30,153986000.0,18.230509044456888,0.22032507716113328,0.14207236218980868,7.560814185814186,,,,,33.07,33.02,35.2
westwood holdings group inc,WHG,2019-01-01,2019-03-31,156110000.0,18.666503091135127,0.046872520733617126,0.13822323060022412,7.956654934167644,,,,,,,
westwood holdings group inc,WHG,2018-10-01,2018-12-31,161149000.0,25693.399234693876,863.0420918367347,0.15400687718193035,5.438373224362716,,,,,,,
westwood holdings group inc,WHG,2018-07-01,2018-09-30,164672000.0,19.59751732092684,0.6388425049719155,0.14512503439289404,5.732336297493937,,,,,,,
westwood holdings group inc,WHG,2018-04-01,2018-06-30,161141000.0,19.18539832849713,0.9515250832584448,0.12550266732513146,6.645273631840796,,,,,,,
westwood holdings group inc,WHG,2018-01-01,2018-03-31,156020000.0,18.86397108475572,0.9645991623777792,0.10904771694191279,7.946361797339545,,,,,,,
westwood holdings group inc,WHG,2017-10-01,2017-12-31,156396000.0,13728.581460674157,254.30126404494382,0.18822375284829673,4.380260695823158,,,,,,,
westwood holdings group inc,WHG,2017-07-01,2017-09-30,155429000.0,19.020145967679863,0.5056407950797676,0.18777500235156405,4.035975666244634,,,,,,,
westwood holdings group inc,WHG,2017-04-01,2017-06-30,151324000.0,18.528084697017132,0.8443450613956157,0.13987222335902508,5.360295849625477,,,,,,,
westwood holdings group inc,WHG,2017-01-01,2017-03-31,144836000.0,17.956749619536748,0.7518139805909501,0.12804026393103116,5.698180007744648,,,,,,,
westwood holdings group inc,WHG,2016-10-01,2016-12-31,146069000.0,16315.089913995309,846.3084999441528,0.1870512806242278,3.9084872589995956,,,,,,,
westwood holdings group inc,WHG,2016-07-01,2016-09-30,140852000.0,17.616012646829287,0.7362725871970864,0.16998432509516906,4.148098732488325,,,,,,,
westwood holdings group inc,WHG,2016-04-01,2016-06-30,137616000.0,17.201539858808776,0.7076060715375864,0.15066531710568543,4.5686761672604534,,,,,,,
westwood holdings group inc,WHG,2016-01-01,2016-03-31,129011000.0,16.408500710147692,0.4479520312309816,0.21550969279789847,3.0327913941690605,,,,,,,
westwood holdings group inc,WHG,2015-10-01,2015-12-31,133967000.0,7036.451494301171,246.17889595041757,0.2612222614373318,2.621987381000156,,,,,,,
westwood holdings group inc,WHG,2015-07-01,2015-09-30,130137000.0,16.666626111214065,0.8981538603006388,0.21706564310509754,3.2572280178837554,,,,,,,
westwood holdings group inc,WHG,2015-04-01,2015-06-30,124351000.0,15.930118648004344,1.2547990137369427,0.20343477954506145,3.3174791914387636,,,,,,,
westwood holdings group inc,WHG,2015-01-01,2015-03-31,108927000.0,14.339626416970644,0.7385249221883033,0.14134701792555457,6.698943104866781,,,,,,,
westwood holdings group inc,WHG,2014-10-01,2014-12-31,110007000.0,24939.242802085693,1355.2482430287916,0.21352788938616182,4.3656815174239085,,,,,,,
westwood holdings group inc,WHG,2014-07-01,2014-09-30,104900000.0,13.939293513019553,0.9458521565841104,0.20898842514044413,4.317937997949041,,,,,,,
