company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
waste management inc,WM,2023-10-01,2023-12-31,6896000000.0,-7662.222222222223,-547.7777777777778,0.7899034213813484,0.9001419782300047,-0.007168458781362007,155.0,152.11,152.44,178.29,178.0,179.1
waste management inc,WM,2023-07-01,2023-09-30,6966000000.0,17.242574257425744,1.641089108910891,0.7818694222639737,0.8444760550023708,-0.008824048473439613,169.99,169.5493,173.42,155.0,152.11,152.44
waste management inc,WM,2023-04-01,2023-06-30,6928000000.0,17.068243409706824,1.5151515151515151,0.7808565825267286,0.8186309103740297,-0.009102756328270336,162.39,162.19,163.17,167.15,166.62,169.61
waste management inc,WM,2023-01-01,2023-03-31,6808000000.0,16.710849288168877,1.3082965144820815,0.7824224992010227,0.8742219917012448,-0.004940152912444694,158.5,155.55,156.88,158.03,158.03,161.53
waste management inc,WM,2022-10-01,2022-12-31,6864000000.0,-5720.0,-415.8333333333333,0.7811712946727453,0.8081474738279472,-0.8980991090856839,162.38,160.09,160.21,158.5,155.55,156.88
waste management inc,WM,2022-07-01,2022-09-30,7012000000.0,17.019417475728154,1.5509708737864079,0.7650212794477397,0.8513302034428795,-0.015910662278083448,150.11,150.04,152.98,164.58,160.79,161.91
waste management inc,WM,2022-04-01,2022-06-30,7192000000.0,17.355212355212355,1.4165057915057915,0.7612851832182688,1.0711982804943578,0.0034430103266148322,159.8,158.5,158.5,149.79,148.58,151.25
waste management inc,WM,2022-01-01,2022-03-31,7146000000.0,17.190281452970893,1.2340630262208323,0.7554331085937233,0.8037309511297951,-0.009146969472169445,167.0,165.44,165.73,158.13,157.8,159.45
waste management inc,WM,2021-10-01,2021-12-31,7126000000.0,-7917.777777777777,-562.2222222222222,0.7550950269787263,0.7518373346398824,1.5640187974595656,152.03,149.31,149.36,167.0,165.44,165.73
waste management inc,WM,2021-07-01,2021-09-30,7174000000.0,17.10131108462455,1.2824791418355184,0.7512568912312333,0.7762067284251585,-0.014978841104504863,139.41,139.16,140.11,150.5,149.95,151.6
waste management inc,WM,2021-04-01,2021-06-30,7354000000.0,17.443074003795065,0.8325426944971537,0.7467369218583187,0.8759163725224002,-0.018048592114047066,128.79,128.75,129.02,139.17,138.874,139.46
waste management inc,WM,2021-01-01,2021-03-31,7429000000.0,17.56680066209506,0.9955072121068811,0.7444444444444445,1.012785388127854,-0.016836569629672348,116.57,116.48,117.93,129.8,128.84,129.28
waste management inc,WM,2020-10-01,2020-12-31,7454000000.0,-74540.0,-4380.0,0.7459873913784291,0.9963411201801294,-235.9402460456942,113.8,112.54,113.17,116.87,116.46,116.93
waste management inc,WM,2020-07-01,2020-09-30,7157000000.0,16.931629997634257,0.9226401703335699,0.7110850960762151,1.1963649322879544,-0.06098880331033239,103.53,103.36,105.91,114.18,113.33,113.41
waste management inc,WM,2020-04-01,2020-06-30,6893000000.0,16.32251953587497,0.7269713473833768,0.7410496262068448,0.8846153846153846,-0.022951082008138196,93.58,90.82,92.56,103.59,102.37,103.56
waste management inc,WM,2020-01-01,2020-03-31,6745000000.0,15.9005186232909,0.851013672795851,0.7518213260725587,1.8355048859934853,-0.013851076624695001,113.69,113.1771,113.96,96.14,92.6,94.6
waste management inc,WM,2019-10-01,2019-12-31,7070000000.0,,,0.7451609414987564,1.9748727735368956,,113.59,113.53,115.0,113.5,113.1,113.77
waste management inc,WM,2019-07-01,2019-09-30,6787000000.0,15.988221436984688,1.1660777385159011,0.7496403408462134,1.8601538976246237,0.005244855467639852,115.88,115.35,115.37,115.43,112.68,113.59
waste management inc,WM,2019-04-01,2019-06-30,6467000000.0,15.223634651600753,0.8968926553672316,0.7511352266605095,1.6992269852424455,,,,,115.88,115.35,115.37
waste management inc,WM,2019-01-01,2019-03-31,6417000000.0,15.116607773851591,0.817432273262662,0.725452445128995,0.6888150609080842,,,,,,,
waste management inc,WM,2018-10-01,2018-12-31,6276000000.0,-5230.0,-442.5,0.7229139072847682,0.851029601029601,,,,,,,
waste management inc,WM,2018-07-01,2018-09-30,6241000000.0,14.585183454078056,1.166160317831269,0.7237395422956044,0.8713355048859935,,,,,,,
waste management inc,WM,2018-04-01,2018-06-30,6056000000.0,14.08699697604094,1.1607350546638753,0.7249023348778051,0.7476550680786687,,,,,,,
waste management inc,WM,2018-01-01,2018-03-31,6065000000.0,13.99723055619663,0.9139164551119316,0.7256400977110287,0.7385117106433442,,,,,,,
waste management inc,WM,2017-10-01,2017-12-31,6042000000.0,-4028.0,-602.0,0.7232122405973704,0.8044144696505211,,,,,,,
